application_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-APPLICATION_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,50.16,index,valid,synthetic_qos,126,121,39.34,0
QOS-APPLICATION_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,35.32,index,valid,synthetic_qos,214,212,25.55,0
QOS-APPLICATION_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,23.69,index,valid,synthetic_qos,281,276,22.66,0
QOS-APPLICATION_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,47.51,index,valid,synthetic_qos,168,165,25.14,0
QOS-APPLICATION_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,74.95,index,valid,synthetic_qos,269,260,19.96,0
QOS-APPLICATION_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,51.01,index,valid,synthetic_qos,371,362,36.89,0
QOS-APPLICATION_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,58.42,index,valid,synthetic_qos,289,283,15.66,0
QOS-APPLICATION_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,80.03,index,valid,synthetic_qos,306,298,21.99,0
QOS-APPLICATION_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,69.2,index,valid,synthetic_qos,298,294,16.5,0
QOS-APPLICATION_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,54.17,index,valid,synthetic_qos,344,343,42.89,0
QOS-APPLICATION_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,35.84,index,valid,synthetic_qos,223,222,39.56,0
QOS-APPLICATION_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,15.01,index,valid,synthetic_qos,166,156,19.79,0
QOS-APPLICATION_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,43.44,index,valid,synthetic_qos,151,150,31.69,0
QOS-APPLICATION_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,31.87,index,valid,synthetic_qos,380,370,17.3,0
QOS-APPLICATION_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,84.17,index,valid,synthetic_qos,211,207,39.43,0
QOS-APPLICATION_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,72.13,index,valid,synthetic_qos,240,232,28.12,0
QOS-APPLICATION_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,77.27,index,valid,synthetic_qos,287,281,36.81,0
QOS-APPLICATION_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,35.25,index,valid,synthetic_qos,132,123,43.47,0
QOS-APPLICATION_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,80.9,index,valid,synthetic_qos,307,306,18.78,0
QOS-APPLICATION_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,76.22,index,valid,synthetic_qos,288,286,36.78,0
QOS-APPLICATION_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,64.61,index,valid,synthetic_qos,367,364,36.48,0
QOS-APPLICATION_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,34.53,index,valid,synthetic_qos,244,241,33.99,0
