dns_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-DNS_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,34.53,index,valid,synthetic_qos,326,316,28.78,0
QOS-DNS_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,46.0,index,valid,synthetic_qos,142,134,30.22,0
QOS-DNS_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,67.24,index,valid,synthetic_qos,280,270,19.35,0
QOS-DNS_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,67.58,index,valid,synthetic_qos,222,216,23.46,0
QOS-DNS_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,46.88,index,valid,synthetic_qos,400,398,27.91,0
QOS-DNS_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,16.76,index,valid,synthetic_qos,170,168,35.32,0
QOS-DNS_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,29.4,index,valid,synthetic_qos,357,355,37.31,0
QOS-DNS_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,36.96,index,valid,synthetic_qos,338,331,25.93,0
QOS-DNS_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,36.38,index,valid,synthetic_qos,308,299,38.46,0
QOS-DNS_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,54.6,index,valid,synthetic_qos,127,118,39.03,0
QOS-DNS_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,18.92,index,valid,synthetic_qos,160,157,21.97,0
QOS-DNS_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,25.85,index,valid,synthetic_qos,293,285,20.49,0
QOS-DNS_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,37.01,index,valid,synthetic_qos,353,351,25.13,0
QOS-DNS_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,57.22,index,valid,synthetic_qos,363,360,43.71,0
QOS-DNS_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,64.71,index,valid,synthetic_qos,261,256,36.0,0
QOS-DNS_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,15.19,index,valid,synthetic_qos,336,329,37.87,0
QOS-DNS_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,24.55,index,valid,synthetic_qos,229,225,42.12,0
QOS-DNS_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,56.3,index,valid,synthetic_qos,321,320,28.5,0
QOS-DNS_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,30.47,index,valid,synthetic_qos,121,111,43.45,0
QOS-DNS_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,22.23,index,valid,synthetic_qos,198,194,29.83,0
QOS-DNS_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,45.58,index,valid,synthetic_qos,110,105,21.77,0
QOS-DNS_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,80.22,index,valid,synthetic_qos,106,104,27.79,0
QOS-DNS_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,73.03,index,valid,synthetic_qos,349,341,22.84,0
QOS-DNS_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,57.43,index,valid,synthetic_qos,294,287,32.7,0
QOS-DNS_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,54.8,index,valid,synthetic_qos,127,120,41.63,0
QOS-DNS_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,52.77,index,valid,synthetic_qos,323,315,35.61,0
QOS-DNS_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,54.32,index,valid,synthetic_qos,397,396,36.64,0
QOS-DNS_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,59.66,index,degraded,synthetic_qos,329,322,85.28,1
QOS-DNS_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,18.95,index,valid,synthetic_qos,375,371,38.0,0
QOS-DNS_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,33.43,index,valid,synthetic_qos,388,384,26.89,0
QOS-DNS_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,41.21,index,valid,synthetic_qos,145,141,25.17,0
QOS-DNS_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,18.77,index,valid,synthetic_qos,236,228,24.9,0
QOS-DNS_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,22.57,index,valid,synthetic_qos,155,146,30.91,0
QOS-DNS_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,84.59,index,valid,synthetic_qos,342,337,29.22,0
QOS-DNS_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,56.4,index,valid,synthetic_qos,128,118,15.99,0
QOS-DNS_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,59.27,index,valid,synthetic_qos,200,191,38.72,0
QOS-DNS_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,60.43,index,valid,synthetic_qos,122,118,17.18,0
QOS-DNS_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,40.54,index,valid,synthetic_qos,135,133,40.5,0
QOS-DNS_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,50.17,index,valid,synthetic_qos,369,362,34.49,0
QOS-DNS_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,54.71,index,valid,synthetic_qos,208,204,29.56,0
QOS-DNS_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,31.52,index,valid,synthetic_qos,322,315,20.64,0
QOS-DNS_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,17.1,index,valid,synthetic_qos,278,274,43.12,0
QOS-DNS_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,73.33,index,valid,synthetic_qos,218,208,22.77,0
QOS-DNS_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,74.86,index,valid,synthetic_qos,128,120,16.43,0
QOS-DNS_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,39.77,index,valid,synthetic_qos,334,333,18.86,0
QOS-DNS_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,70.61,index,valid,synthetic_qos,254,251,33.9,0
