download_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-DOWNLOAD_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,61.37,index,valid,synthetic_qos,347,344,35.66,0
QOS-DOWNLOAD_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,49.34,index,valid,synthetic_qos,119,115,33.77,0
QOS-DOWNLOAD_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,30.97,index,valid,synthetic_qos,227,222,40.19,0
QOS-DOWNLOAD_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,84.64,index,valid,synthetic_qos,309,306,17.46,0
QOS-DOWNLOAD_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,77.06,index,valid,synthetic_qos,136,128,33.24,0
QOS-DOWNLOAD_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,75.46,index,valid,synthetic_qos,295,287,32.26,0
QOS-DOWNLOAD_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,53.1,index,valid,synthetic_qos,314,310,22.88,0
QOS-DOWNLOAD_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,73.76,index,valid,synthetic_qos,233,223,22.82,0
QOS-DOWNLOAD_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,50.94,index,valid,synthetic_qos,255,249,33.79,0
QOS-DOWNLOAD_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,68.92,index,valid,synthetic_qos,292,291,27.72,0
QOS-DOWNLOAD_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,53.39,index,valid,synthetic_qos,268,265,39.65,0
QOS-DOWNLOAD_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,35.16,index,valid,synthetic_qos,216,214,38.52,0
QOS-DOWNLOAD_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,35.53,index,valid,synthetic_qos,175,169,19.37,0
QOS-DOWNLOAD_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,54.71,index,valid,synthetic_qos,356,350,27.35,0
QOS-DOWNLOAD_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,29.68,index,valid,synthetic_qos,253,250,42.45,0
QOS-DOWNLOAD_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,27.23,index,valid,synthetic_qos,118,112,15.76,0
QOS-DOWNLOAD_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,43.28,index,valid,synthetic_qos,223,216,31.98,0
QOS-DOWNLOAD_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,49.18,index,valid,synthetic_qos,204,194,18.97,0
QOS-DOWNLOAD_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,38.87,index,valid,synthetic_qos,259,252,34.54,0
QOS-DOWNLOAD_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,84.29,index,valid,synthetic_qos,391,384,21.2,0
QOS-DOWNLOAD_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,68.45,index,valid,synthetic_qos,109,101,21.01,0
QOS-DOWNLOAD_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,82.69,index,valid,synthetic_qos,310,302,32.22,0
QOS-DOWNLOAD_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,36.13,index,valid,synthetic_qos,238,233,33.26,0
QOS-DOWNLOAD_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,65.79,index,valid,synthetic_qos,366,363,28.5,0
QOS-DOWNLOAD_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,26.1,index,valid,synthetic_qos,245,236,39.82,0
QOS-DOWNLOAD_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,44.04,index,valid,synthetic_qos,387,381,24.72,0
QOS-DOWNLOAD_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,79.96,index,valid,synthetic_qos,255,247,30.05,0
QOS-DOWNLOAD_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,61.14,index,degraded,synthetic_qos,293,288,94.14,1
QOS-DOWNLOAD_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,50.56,index,valid,synthetic_qos,351,345,17.28,0
QOS-DOWNLOAD_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,74.04,index,valid,synthetic_qos,294,290,16.14,0
QOS-DOWNLOAD_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,30.06,index,valid,synthetic_qos,101,94,20.88,0
QOS-DOWNLOAD_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,66.29,index,valid,synthetic_qos,115,114,41.0,0
QOS-DOWNLOAD_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,62.4,index,valid,synthetic_qos,104,101,18.56,0
QOS-DOWNLOAD_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,24.54,index,valid,synthetic_qos,308,303,17.83,0
QOS-DOWNLOAD_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,21.67,index,valid,synthetic_qos,309,303,25.71,0
QOS-DOWNLOAD_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,33.03,index,valid,synthetic_qos,264,256,28.3,0
QOS-DOWNLOAD_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,35.08,index,valid,synthetic_qos,104,101,20.11,0
QOS-DOWNLOAD_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,73.15,index,valid,synthetic_qos,308,298,25.54,0
QOS-DOWNLOAD_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,81.55,index,valid,synthetic_qos,243,241,21.54,0
QOS-DOWNLOAD_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,69.95,index,valid,synthetic_qos,356,354,22.75,0
QOS-DOWNLOAD_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,37.99,index,valid,synthetic_qos,346,340,30.1,0
QOS-DOWNLOAD_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,81.27,index,valid,synthetic_qos,146,140,27.57,0
QOS-DOWNLOAD_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,49.81,index,valid,synthetic_qos,195,188,31.51,0
QOS-DOWNLOAD_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,63.88,index,valid,synthetic_qos,395,389,25.14,0
QOS-DOWNLOAD_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,67.47,index,valid,synthetic_qos,184,179,30.23,0
QOS-DOWNLOAD_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,70.56,index,valid,synthetic_qos,164,154,39.46,0
QOS-DOWNLOAD_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,35.78,index,valid,synthetic_qos,175,166,40.39,0
QOS-DOWNLOAD_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,51.82,index,valid,synthetic_qos,258,257,15.45,0
QOS-DOWNLOAD_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,67.74,index,valid,synthetic_qos,282,272,41.12,0
QOS-DOWNLOAD_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,71.56,index,valid,synthetic_qos,142,138,26.04,0
QOS-DOWNLOAD_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,59.92,index,valid,synthetic_qos,386,383,27.52,0
QOS-DOWNLOAD_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,83.29,index,valid,synthetic_qos,300,292,20.75,0
QOS-DOWNLOAD_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,49.09,index,valid,synthetic_qos,359,358,38.25,0
QOS-DOWNLOAD_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,43.43,index,valid,synthetic_qos,387,378,43.51,0
QOS-DOWNLOAD_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,70.55,index,valid,synthetic_qos,114,109,23.07,0
