gaming_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-GAMING_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,56.46,index,valid,synthetic_qos,186,177,20.27,0
QOS-GAMING_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,61.37,index,valid,synthetic_qos,116,107,22.88,0
QOS-GAMING_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,64.83,index,valid,synthetic_qos,173,172,43.4,0
QOS-GAMING_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,56.08,index,valid,synthetic_qos,178,168,33.96,0
QOS-GAMING_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,39.17,index,valid,synthetic_qos,154,150,21.06,0
QOS-GAMING_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,81.61,index,valid,synthetic_qos,262,252,19.38,0
QOS-GAMING_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,31.1,index,valid,synthetic_qos,362,359,23.26,0
QOS-GAMING_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,25.37,index,valid,synthetic_qos,220,216,36.86,0
QOS-GAMING_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,54.66,index,valid,synthetic_qos,243,241,30.31,0
QOS-GAMING_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,63.79,index,valid,synthetic_qos,158,154,41.04,0
QOS-GAMING_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,53.91,index,valid,synthetic_qos,133,126,28.58,0
QOS-GAMING_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,78.73,index,valid,synthetic_qos,340,336,16.53,0
QOS-GAMING_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,66.52,index,valid,synthetic_qos,363,356,37.52,0
QOS-GAMING_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,83.92,index,valid,synthetic_qos,378,369,16.25,0
QOS-GAMING_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,36.4,index,valid,synthetic_qos,115,114,31.93,0
QOS-GAMING_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,27.08,index,valid,synthetic_qos,184,176,16.19,0
QOS-GAMING_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,47.39,index,valid,synthetic_qos,390,387,17.91,0
QOS-GAMING_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,27.72,index,valid,synthetic_qos,270,265,25.3,0
QOS-GAMING_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,31.23,index,valid,synthetic_qos,269,267,24.14,0
QOS-GAMING_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,42.81,index,valid,synthetic_qos,362,358,22.91,0
QOS-GAMING_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,78.45,index,valid,synthetic_qos,394,385,37.42,0
QOS-GAMING_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,74.52,index,valid,synthetic_qos,238,237,24.44,0
QOS-GAMING_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,49.52,index,valid,synthetic_qos,374,371,19.42,0
QOS-GAMING_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,56.53,index,valid,synthetic_qos,148,145,16.76,0
QOS-GAMING_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,35.66,index,valid,synthetic_qos,270,267,37.04,0
QOS-GAMING_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,24.56,index,valid,synthetic_qos,265,255,33.8,0
QOS-GAMING_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,47.43,index,valid,synthetic_qos,346,336,28.84,0
QOS-GAMING_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,92.8,index,degraded,synthetic_qos,254,248,65.37,1
QOS-GAMING_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,83.7,index,valid,synthetic_qos,217,207,26.64,0
QOS-GAMING_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,59.73,index,valid,synthetic_qos,359,356,42.3,0
QOS-GAMING_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,36.01,index,valid,synthetic_qos,344,335,19.38,0
QOS-GAMING_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,34.68,index,valid,synthetic_qos,330,326,39.09,0
QOS-GAMING_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,54.56,index,valid,synthetic_qos,220,213,21.37,0
QOS-GAMING_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,47.28,index,valid,synthetic_qos,307,298,18.39,0
QOS-GAMING_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,81.01,index,valid,synthetic_qos,197,190,24.27,0
QOS-GAMING_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,63.8,index,valid,synthetic_qos,387,377,42.28,0
QOS-GAMING_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,44.8,index,valid,synthetic_qos,376,366,18.64,0
QOS-GAMING_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,30.08,index,valid,synthetic_qos,143,133,20.54,0
QOS-GAMING_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,22.55,index,valid,synthetic_qos,367,360,42.05,0
QOS-GAMING_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,69.32,index,valid,synthetic_qos,124,116,28.77,0
QOS-GAMING_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,28.23,index,valid,synthetic_qos,333,326,42.01,0
QOS-GAMING_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,46.64,index,valid,synthetic_qos,342,338,39.4,0
QOS-GAMING_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,31.45,index,valid,synthetic_qos,225,216,27.93,0
QOS-GAMING_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,81.97,index,valid,synthetic_qos,100,96,17.04,0
QOS-GAMING_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,34.18,index,valid,synthetic_qos,388,386,27.04,0
QOS-GAMING_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,64.4,index,valid,synthetic_qos,176,174,28.13,0
QOS-GAMING_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,33.77,index,valid,synthetic_qos,139,135,33.27,0
QOS-GAMING_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,73.84,index,valid,synthetic_qos,239,230,44.24,0
QOS-GAMING_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,40.61,index,valid,synthetic_qos,231,222,30.02,0
QOS-GAMING_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,40.68,index,valid,synthetic_qos,239,233,38.6,0
QOS-GAMING_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,21.12,index,valid,synthetic_qos,214,210,39.04,0
QOS-GAMING_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,24.39,index,valid,synthetic_qos,202,199,30.0,0
QOS-GAMING_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,47.24,index,valid,synthetic_qos,112,106,32.58,0
