jitter_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-JITTER_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,80.84,index,valid,synthetic_qos,303,300,44.87,0
QOS-JITTER_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,75.06,index,valid,synthetic_qos,261,255,21.03,0
QOS-JITTER_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,66.27,index,valid,synthetic_qos,306,302,20.59,0
QOS-JITTER_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,32.79,index,valid,synthetic_qos,243,233,44.99,0
QOS-JITTER_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,39.71,index,valid,synthetic_qos,393,388,43.65,0
QOS-JITTER_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,53.99,index,valid,synthetic_qos,303,299,29.02,0
QOS-JITTER_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,54.78,index,valid,synthetic_qos,223,213,29.12,0
QOS-JITTER_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,71.44,index,valid,synthetic_qos,276,269,20.39,0
QOS-JITTER_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,49.88,index,valid,synthetic_qos,212,206,28.76,0
QOS-JITTER_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,43.37,index,valid,synthetic_qos,264,259,18.0,0
QOS-JITTER_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,25.91,index,valid,synthetic_qos,391,384,15.21,0
QOS-JITTER_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,65.6,index,valid,synthetic_qos,371,364,22.99,0
QOS-JITTER_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,19.06,index,valid,synthetic_qos,221,215,42.55,0
QOS-JITTER_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,26.19,index,valid,synthetic_qos,280,274,33.16,0
QOS-JITTER_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,47.82,index,valid,synthetic_qos,322,314,17.69,0
QOS-JITTER_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,74.06,index,valid,synthetic_qos,271,262,18.6,0
QOS-JITTER_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,36.9,index,valid,synthetic_qos,196,191,44.47,0
QOS-JITTER_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,75.23,index,valid,synthetic_qos,101,96,40.98,0
QOS-JITTER_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,59.24,index,valid,synthetic_qos,250,246,43.21,0
QOS-JITTER_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,49.32,index,valid,synthetic_qos,265,257,39.26,0
QOS-JITTER_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,58.84,index,valid,synthetic_qos,328,326,30.32,0
QOS-JITTER_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,31.51,index,valid,synthetic_qos,281,279,41.24,0
QOS-JITTER_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,40.53,index,valid,synthetic_qos,185,177,40.24,0
QOS-JITTER_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,24.74,index,valid,synthetic_qos,237,232,43.17,0
QOS-JITTER_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,44.34,index,valid,synthetic_qos,136,134,28.02,0
QOS-JITTER_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,82.91,index,valid,synthetic_qos,119,110,44.61,0
QOS-JITTER_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,78.84,index,valid,synthetic_qos,211,209,36.99,0
QOS-JITTER_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,121.01,index,degraded,synthetic_qos,182,180,80.24,1
QOS-JITTER_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,84.53,index,valid,synthetic_qos,196,192,44.51,0
QOS-JITTER_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,16.86,index,valid,synthetic_qos,359,355,32.53,0
QOS-JITTER_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,28.93,index,valid,synthetic_qos,207,206,33.24,0
QOS-JITTER_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,62.98,index,valid,synthetic_qos,287,277,35.31,0
QOS-JITTER_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,17.15,index,valid,synthetic_qos,151,144,36.06,0
QOS-JITTER_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,77.73,index,valid,synthetic_qos,187,177,23.99,0
