latency_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-LATENCY_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,52.8,index,valid,synthetic_qos,183,182,33.01,0
QOS-LATENCY_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,80.55,index,valid,synthetic_qos,133,126,17.46,0
QOS-LATENCY_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,20.43,index,valid,synthetic_qos,313,303,38.73,0
QOS-LATENCY_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,49.98,index,valid,synthetic_qos,163,154,41.25,0
QOS-LATENCY_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,41.59,index,valid,synthetic_qos,232,231,28.45,0
QOS-LATENCY_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,17.2,index,valid,synthetic_qos,230,224,29.29,0
QOS-LATENCY_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,15.81,index,valid,synthetic_qos,226,220,31.17,0
QOS-LATENCY_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,66.21,index,valid,synthetic_qos,352,351,29.94,0
QOS-LATENCY_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,78.31,index,valid,synthetic_qos,286,276,44.77,0
QOS-LATENCY_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,64.55,index,valid,synthetic_qos,165,158,26.8,0
QOS-LATENCY_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,24.85,index,valid,synthetic_qos,232,227,40.89,0
QOS-LATENCY_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,68.7,index,valid,synthetic_qos,270,266,20.7,0
QOS-LATENCY_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,45.36,index,valid,synthetic_qos,113,103,27.63,0
QOS-LATENCY_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,80.7,index,valid,synthetic_qos,210,201,19.45,0
QOS-LATENCY_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,62.33,index,valid,synthetic_qos,135,131,29.2,0
QOS-LATENCY_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,46.26,index,valid,synthetic_qos,197,195,25.66,0
QOS-LATENCY_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,84.98,index,valid,synthetic_qos,106,103,35.95,0
QOS-LATENCY_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,67.94,index,valid,synthetic_qos,125,119,18.99,0
QOS-LATENCY_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,19.45,index,valid,synthetic_qos,144,141,43.07,0
QOS-LATENCY_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,45.12,index,valid,synthetic_qos,301,300,38.19,0
QOS-LATENCY_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,45.4,index,valid,synthetic_qos,378,372,16.34,0
QOS-LATENCY_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,27.11,index,valid,synthetic_qos,241,232,23.61,0
QOS-LATENCY_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,33.35,index,valid,synthetic_qos,189,180,44.49,0
QOS-LATENCY_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,71.61,index,valid,synthetic_qos,189,184,39.69,0
