packet_loss_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-PACKET_LOSS_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,58.55,index,valid,synthetic_qos,238,232,16.21,0
QOS-PACKET_LOSS_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,36.95,index,valid,synthetic_qos,170,165,30.51,0
QOS-PACKET_LOSS_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,22.23,index,valid,synthetic_qos,149,140,15.52,0
QOS-PACKET_LOSS_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,54.96,index,valid,synthetic_qos,379,375,15.72,0
QOS-PACKET_LOSS_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,45.31,index,valid,synthetic_qos,198,197,27.06,0
QOS-PACKET_LOSS_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,53.44,index,valid,synthetic_qos,266,264,25.62,0
QOS-PACKET_LOSS_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,67.18,index,valid,synthetic_qos,272,269,33.54,0
QOS-PACKET_LOSS_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,37.71,index,valid,synthetic_qos,358,355,22.43,0
QOS-PACKET_LOSS_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,80.12,index,valid,synthetic_qos,386,381,22.36,0
QOS-PACKET_LOSS_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,75.35,index,valid,synthetic_qos,290,287,42.28,0
QOS-PACKET_LOSS_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,76.01,index,valid,synthetic_qos,366,364,34.36,0
QOS-PACKET_LOSS_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,76.99,index,valid,synthetic_qos,128,125,16.24,0
QOS-PACKET_LOSS_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,43.52,index,valid,synthetic_qos,319,314,36.9,0
QOS-PACKET_LOSS_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,31.66,index,valid,synthetic_qos,165,155,22.58,0
QOS-PACKET_LOSS_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,19.12,index,valid,synthetic_qos,147,141,17.83,0
QOS-PACKET_LOSS_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,27.9,index,valid,synthetic_qos,244,235,16.16,0
QOS-PACKET_LOSS_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,38.49,index,valid,synthetic_qos,228,225,32.64,0
QOS-PACKET_LOSS_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,27.94,index,valid,synthetic_qos,138,129,34.0,0
QOS-PACKET_LOSS_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,33.18,index,valid,synthetic_qos,373,370,22.28,0
QOS-PACKET_LOSS_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,76.82,index,valid,synthetic_qos,245,239,42.06,0
QOS-PACKET_LOSS_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,74.01,index,valid,synthetic_qos,196,191,21.29,0
QOS-PACKET_LOSS_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,78.65,index,valid,synthetic_qos,138,137,15.99,0
QOS-PACKET_LOSS_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,20.5,index,valid,synthetic_qos,311,305,26.31,0
QOS-PACKET_LOSS_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,15.91,index,valid,synthetic_qos,332,322,40.83,0
QOS-PACKET_LOSS_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,41.52,index,valid,synthetic_qos,282,277,31.45,0
QOS-PACKET_LOSS_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,59.85,index,valid,synthetic_qos,215,210,34.13,0
QOS-PACKET_LOSS_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,45.3,index,valid,synthetic_qos,167,157,22.3,0
QOS-PACKET_LOSS_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,79.45,index,degraded,synthetic_qos,271,268,78.6,1
QOS-PACKET_LOSS_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,36.02,index,valid,synthetic_qos,181,180,34.13,0
QOS-PACKET_LOSS_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,84.73,index,valid,synthetic_qos,254,247,33.39,0
QOS-PACKET_LOSS_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,59.8,index,valid,synthetic_qos,271,264,24.46,0
QOS-PACKET_LOSS_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,22.98,index,valid,synthetic_qos,378,370,22.58,0
QOS-PACKET_LOSS_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,66.58,index,valid,synthetic_qos,180,178,21.37,0
QOS-PACKET_LOSS_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,62.36,index,valid,synthetic_qos,345,338,36.75,0
QOS-PACKET_LOSS_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,21.65,index,valid,synthetic_qos,340,336,16.09,0
QOS-PACKET_LOSS_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,61.7,index,valid,synthetic_qos,180,174,40.88,0
QOS-PACKET_LOSS_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,39.05,index,valid,synthetic_qos,126,117,15.67,0
QOS-PACKET_LOSS_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,62.74,index,valid,synthetic_qos,153,150,33.22,0
QOS-PACKET_LOSS_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,54.67,index,valid,synthetic_qos,315,311,31.66,0
QOS-PACKET_LOSS_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,50.87,index,valid,synthetic_qos,101,99,26.83,0
QOS-PACKET_LOSS_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,16.83,index,valid,synthetic_qos,300,295,40.79,0
QOS-PACKET_LOSS_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,48.23,index,valid,synthetic_qos,227,222,17.66,0
QOS-PACKET_LOSS_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,25.5,index,valid,synthetic_qos,143,140,34.11,0
QOS-PACKET_LOSS_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,73.81,index,valid,synthetic_qos,285,283,33.32,0
QOS-PACKET_LOSS_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,55.02,index,valid,synthetic_qos,211,206,15.88,0
QOS-PACKET_LOSS_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,28.28,index,valid,synthetic_qos,170,169,15.28,0
QOS-PACKET_LOSS_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,19.38,index,valid,synthetic_qos,110,102,39.25,0
QOS-PACKET_LOSS_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,84.71,index,valid,synthetic_qos,172,166,34.86,0
QOS-PACKET_LOSS_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,38.31,index,valid,synthetic_qos,140,134,24.25,0
QOS-PACKET_LOSS_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,84.66,index,valid,synthetic_qos,236,233,27.05,0
QOS-PACKET_LOSS_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,42.14,index,valid,synthetic_qos,167,163,17.47,0
QOS-PACKET_LOSS_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,16.37,index,valid,synthetic_qos,128,118,23.34,0
QOS-PACKET_LOSS_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,61.81,index,valid,synthetic_qos,309,302,43.39,0
QOS-PACKET_LOSS_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,37.36,index,valid,synthetic_qos,184,179,34.24,0
QOS-PACKET_LOSS_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,44.68,index,valid,synthetic_qos,296,293,38.98,0
