qos_breach_event_id,plan_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-QOS_BREACH_EVENT-00-00,PLAN01,DBN,KV1,active,2026-08-18 00:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,255,250,33.6,0
QOS-QOS_BREACH_EVENT-00-09,PLAN01,DBN,KV1,active,2026-08-18 09:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,176,174,29.2,0
QOS-QOS_BREACH_EVENT-00-18,PLAN01,DBN,KV1,active,2026-08-18 18:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,160,156,28.59,0
QOS-QOS_BREACH_EVENT-00-27,PLAN01,DBN,KV1,degraded,2026-08-19 03:00:00,QOS_BREACH_EVENT,major,failed,3600,synthetic_qos,312,310,77.37,1
QOS-QOS_BREACH_EVENT-00-36,PLAN01,DBN,KV1,active,2026-08-19 12:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,388,384,40.45,0
QOS-QOS_BREACH_EVENT-00-45,PLAN01,DBN,KV1,active,2026-08-19 21:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,315,311,36.96,0
QOS-QOS_BREACH_EVENT-00-54,PLAN01,DBN,KV1,active,2026-08-20 06:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,270,261,34.97,0
QOS-QOS_BREACH_EVENT-00-63,PLAN01,DBN,KV1,active,2026-08-20 15:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,159,158,18.38,0
QOS-QOS_BREACH_EVENT-01-00,PLAN02,SLA,KV1,active,2026-08-18 00:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,248,244,27.13,0
QOS-QOS_BREACH_EVENT-01-09,PLAN02,SLA,KV1,active,2026-08-18 09:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,124,120,17.56,0
