service_id,plan_id,province_code,date_hour,technology,request_count,success_count,p95_latency_ms,jitter_ms,packet_loss_pct,availability_pct,breach_count,status
SVC-FTTH,PLAN01,DBN,2026-08-18-00,FTTH,457,454,19.02,4.2,0.19,99.9,0,normal
SVC-FTTH,PLAN01,SLA,2026-08-18-00,FTTH,505,500,15.53,3.21,0.01,99.9,0,normal
SVC-FTTH,PLAN01,CMU,2026-08-18-00,FTTH,571,559,37.57,6.37,0.17,99.9,0,normal
SVC-FTTH,PLAN01,NBH,2026-08-18-00,FTTH,638,634,31.86,5.06,0.05,99.9,0,normal
SVC-FTTH,PLAN01,HCM,2026-08-18-00,FTTH,621,607,12.22,4.79,0.05,99.9,0,normal
SVC-FTTH,PLAN01,KHA,2026-08-18-00,FTTH,467,463,39.67,2.36,0.12,99.9,0,normal
SVC-FTTH,PLAN01,DBN,2026-08-18-01,FTTH,461,452,34.22,3.6,0.17,99.9,0,normal
SVC-FTTH,PLAN01,SLA,2026-08-18-01,FTTH,350,338,21.36,3.49,0.14,99.9,1,normal
SVC-FTTH,PLAN01,CMU,2026-08-18-01,FTTH,619,616,27.76,2.19,0.16,99.9,0,normal
SVC-FTTH,PLAN01,NBH,2026-08-18-01,FTTH,542,534,18.93,3.65,0.04,99.9,0,normal
SVC-FTTH,PLAN01,HCM,2026-08-18-01,FTTH,300,294,27.4,6.77,0.09,99.9,0,normal
SVC-FTTH,PLAN01,KHA,2026-08-18-01,FTTH,477,466,18.49,1.85,0.1,99.9,0,normal
SVC-FTTH,PLAN01,DBN,2026-08-18-02,FTTH,446,439,18.94,7.64,0.04,99.9,0,normal
SVC-FTTH,PLAN01,SLA,2026-08-18-02,FTTH,457,449,17.96,6.69,0.07,99.9,0,normal
SVC-FTTH,PLAN01,CMU,2026-08-18-02,FTTH,644,629,34.78,1.62,0.18,99.9,0,normal
SVC-FTTH,PLAN01,NBH,2026-08-18-02,FTTH,471,463,19.85,1.11,0.16,99.9,0,normal
SVC-FTTH,PLAN01,HCM,2026-08-18-02,FTTH,666,658,32.0,2.07,0.08,99.9,0,normal
SVC-FTTH,PLAN01,KHA,2026-08-18-02,FTTH,638,626,20.39,4.55,0.12,99.9,0,normal
SVC-FTTH,PLAN01,DBN,2026-08-18-03,FTTH,510,498,34.35,6.16,0.07,99.9,0,normal
SVC-FTTH,PLAN01,SLA,2026-08-18-03,FTTH,669,665,21.48,2.55,0.1,99.9,0,normal
SVC-FTTH,PLAN01,CMU,2026-08-18-03,FTTH,569,563,27.83,1.16,0.13,99.9,0,normal
SVC-FTTH,PLAN01,NBH,2026-08-18-03,FTTH,605,592,34.23,4.19,0.01,99.9,0,normal
SVC-FTTH,PLAN01,HCM,2026-08-18-03,FTTH,321,314,36.94,2.68,0.07,99.9,0,normal
SVC-FTTH,PLAN01,KHA,2026-08-18-03,FTTH,605,593,15.36,6.29,0.01,99.9,0,normal
SVC-FTTH,PLAN01,DBN,2026-08-18-04,FTTH,320,314,39.28,3.4,0.05,99.9,0,normal
SVC-FTTH,PLAN01,SLA,2026-08-18-04,FTTH,615,611,12.7,2.7,0.02,99.9,0,normal
SVC-FTTH,PLAN01,CMU,2026-08-18-04,FTTH,596,593,28.42,2.3,0.18,99.9,0,normal
SVC-FTTH,PLAN01,NBH,2026-08-18-04,FTTH,569,565,34.19,4.53,0.1,99.9,0,normal
SVC-FTTH,PLAN01,HCM,2026-08-18-04,FTTH,557,547,32.11,1.83,0.11,99.9,0,normal
SVC-FTTH,PLAN01,KHA,2026-08-18-04,FTTH,448,438,32.31,1.88,0.16,99.9,0,normal
SVC-FTTH,PLAN01,DBN,2026-08-18-05,FTTH,517,512,34.5,1.54,0.09,99.9,0,normal
SVC-FTTH,PLAN01,SLA,2026-08-18-05,FTTH,358,346,22.98,7.58,0.13,99.9,1,normal
SVC-FTTH,PLAN01,CMU,2026-08-18-05,FTTH,370,362,16.7,2.2,0.02,99.9,0,normal
SVC-FTTH,PLAN01,NBH,2026-08-18-05,FTTH,472,467,23.27,3.0,0.18,99.9,0,normal
SVC-FTTH,PLAN01,HCM,2026-08-18-05,FTTH,445,431,36.84,3.83,0.18,99.9,1,normal
SVC-FTTH,PLAN01,KHA,2026-08-18-05,FTTH,441,430,35.03,6.69,0.05,99.9,0,normal
SVC-FTTH,PLAN01,DBN,2026-08-18-06,FTTH,345,334,20.68,3.39,0.09,99.9,1,normal
SVC-FTTH,PLAN01,SLA,2026-08-18-06,FTTH,445,441,19.75,6.16,0.09,99.9,0,normal
SVC-FTTH,PLAN01,CMU,2026-08-18-06,FTTH,462,456,23.15,2.41,0.03,99.9,0,normal
SVC-FTTH,PLAN01,NBH,2026-08-18-06,FTTH,632,623,32.92,4.09,0.17,99.9,0,normal
SVC-FTTH,PLAN01,HCM,2026-08-18-06,FTTH,652,639,25.19,1.98,0.1,99.9,0,normal
SVC-FTTH,PLAN01,KHA,2026-08-18-06,FTTH,489,485,36.4,2.93,0.16,99.9,0,normal
SVC-FTTH,PLAN01,DBN,2026-08-18-07,FTTH,326,311,27.69,2.61,0.05,99.9,1,normal
SVC-FTTH,PLAN01,SLA,2026-08-18-07,FTTH,491,480,19.85,1.77,0.03,99.9,0,normal
SVC-FTTH,PLAN01,CMU,2026-08-18-07,FTTH,653,640,25.94,3.61,0.19,99.9,0,normal
SVC-FTTH,PLAN01,NBH,2026-08-18-07,FTTH,540,525,38.0,1.69,0.11,99.9,0,normal
SVC-FTTH,PLAN01,HCM,2026-08-18-07,FTTH,353,340,20.48,6.24,0.01,99.9,1,normal
