sla_result_daily_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-SLA_RESULT_DAILY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,45.21,index,valid,synthetic_qos,160,150,26.62,0
QOS-SLA_RESULT_DAILY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,77.18,index,valid,synthetic_qos,342,338,18.56,0
QOS-SLA_RESULT_DAILY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,76.16,index,valid,synthetic_qos,215,214,40.66,0
QOS-SLA_RESULT_DAILY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,60.97,index,valid,synthetic_qos,189,182,17.27,0
QOS-SLA_RESULT_DAILY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,70.06,index,valid,synthetic_qos,225,215,29.67,0
QOS-SLA_RESULT_DAILY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,24.07,index,valid,synthetic_qos,129,119,25.81,0
QOS-SLA_RESULT_DAILY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,67.44,index,valid,synthetic_qos,238,231,27.44,0
QOS-SLA_RESULT_DAILY-02-24,PLAN03,CMU,KV3,active,2026-08-19-00,2026-08-19 00:00:00,71.39,index,valid,synthetic_qos,384,382,34.52,0
QOS-SLA_RESULT_DAILY-02-48,PLAN03,CMU,KV3,active,2026-08-20-00,2026-08-20 00:00:00,83.84,index,valid,synthetic_qos,311,310,31.4,0
QOS-SLA_RESULT_DAILY-03-00,PLAN01,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,68.51,index,valid,synthetic_qos,178,172,31.53,0
QOS-SLA_RESULT_DAILY-03-24,PLAN01,NBH,KV1,active,2026-08-19-00,2026-08-19 00:00:00,83.68,index,valid,synthetic_qos,223,218,33.91,0
QOS-SLA_RESULT_DAILY-03-48,PLAN01,NBH,KV1,active,2026-08-20-00,2026-08-20 00:00:00,56.26,index,valid,synthetic_qos,164,162,41.71,0
QOS-SLA_RESULT_DAILY-04-00,PLAN02,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,82.62,index,valid,synthetic_qos,262,261,22.96,0
QOS-SLA_RESULT_DAILY-04-24,PLAN02,HCM,KV3,active,2026-08-19-00,2026-08-19 00:00:00,60.75,index,valid,synthetic_qos,180,174,34.16,0
QOS-SLA_RESULT_DAILY-04-48,PLAN02,HCM,KV3,active,2026-08-20-00,2026-08-20 00:00:00,33.5,index,valid,synthetic_qos,254,247,34.61,0
QOS-SLA_RESULT_DAILY-05-00,PLAN01,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,84.48,index,valid,synthetic_qos,229,221,30.87,0
QOS-SLA_RESULT_DAILY-05-24,PLAN01,KHA,KV2,active,2026-08-19-00,2026-08-19 00:00:00,42.75,index,valid,synthetic_qos,101,94,18.55,0
QOS-SLA_RESULT_DAILY-05-48,PLAN01,KHA,KV2,active,2026-08-20-00,2026-08-20 00:00:00,25.25,index,valid,synthetic_qos,368,364,21.06,0
