sla_result_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-SLA_RESULT_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,18.53,index,valid,synthetic_qos,273,266,26.02,0
QOS-SLA_RESULT_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,79.36,index,valid,synthetic_qos,286,276,27.84,0
QOS-SLA_RESULT_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,75.34,index,valid,synthetic_qos,190,187,38.18,0
QOS-SLA_RESULT_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,81.13,index,valid,synthetic_qos,267,260,26.78,0
QOS-SLA_RESULT_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,27.14,index,valid,synthetic_qos,399,396,25.83,0
QOS-SLA_RESULT_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,80.57,index,valid,synthetic_qos,265,255,15.36,0
QOS-SLA_RESULT_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,36.47,index,valid,synthetic_qos,333,330,18.0,0
QOS-SLA_RESULT_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,18.15,index,valid,synthetic_qos,394,390,38.8,0
QOS-SLA_RESULT_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,16.88,index,valid,synthetic_qos,175,165,35.13,0
QOS-SLA_RESULT_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,76.23,index,valid,synthetic_qos,276,269,18.22,0
QOS-SLA_RESULT_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,62.85,index,valid,synthetic_qos,179,173,35.12,0
QOS-SLA_RESULT_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,54.23,index,valid,synthetic_qos,227,223,25.31,0
QOS-SLA_RESULT_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,52.88,index,valid,synthetic_qos,103,99,31.11,0
QOS-SLA_RESULT_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,18.09,index,valid,synthetic_qos,273,266,24.42,0
QOS-SLA_RESULT_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,61.47,index,valid,synthetic_qos,372,366,33.06,0
QOS-SLA_RESULT_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,57.64,index,valid,synthetic_qos,153,150,43.93,0
QOS-SLA_RESULT_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,30.35,index,valid,synthetic_qos,244,238,34.94,0
QOS-SLA_RESULT_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,30.08,index,valid,synthetic_qos,353,343,37.68,0
QOS-SLA_RESULT_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,31.26,index,valid,synthetic_qos,259,254,15.56,0
QOS-SLA_RESULT_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,58.39,index,valid,synthetic_qos,215,212,16.62,0
QOS-SLA_RESULT_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,62.96,index,valid,synthetic_qos,197,191,44.34,0
