tcp_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-TCP_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,74.36,index,valid,synthetic_qos,285,280,15.94,0
QOS-TCP_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,66.78,index,valid,synthetic_qos,231,224,40.57,0
QOS-TCP_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,37.07,index,valid,synthetic_qos,256,254,19.66,0
QOS-TCP_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,55.48,index,valid,synthetic_qos,215,214,35.54,0
QOS-TCP_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,79.18,index,valid,synthetic_qos,131,126,29.47,0
QOS-TCP_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,17.66,index,valid,synthetic_qos,107,104,16.95,0
QOS-TCP_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,31.44,index,valid,synthetic_qos,313,311,20.97,0
QOS-TCP_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,44.11,index,valid,synthetic_qos,112,109,44.71,0
QOS-TCP_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,22.37,index,valid,synthetic_qos,212,202,33.71,0
QOS-TCP_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,44.15,index,valid,synthetic_qos,196,188,31.55,0
QOS-TCP_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,17.55,index,valid,synthetic_qos,245,239,25.04,0
QOS-TCP_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,63.65,index,valid,synthetic_qos,345,343,28.2,0
QOS-TCP_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,31.35,index,valid,synthetic_qos,357,355,36.72,0
QOS-TCP_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,83.73,index,valid,synthetic_qos,198,188,41.99,0
QOS-TCP_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,76.36,index,valid,synthetic_qos,253,248,21.4,0
QOS-TCP_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,78.87,index,valid,synthetic_qos,243,233,34.6,0
QOS-TCP_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,27.33,index,valid,synthetic_qos,322,315,25.7,0
QOS-TCP_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,75.35,index,valid,synthetic_qos,207,197,19.38,0
QOS-TCP_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,52.02,index,valid,synthetic_qos,295,288,29.54,0
QOS-TCP_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,23.25,index,valid,synthetic_qos,348,341,38.91,0
QOS-TCP_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,22.86,index,valid,synthetic_qos,274,272,27.97,0
QOS-TCP_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,62.93,index,valid,synthetic_qos,267,260,22.76,0
QOS-TCP_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,80.61,index,valid,synthetic_qos,247,238,16.95,0
QOS-TCP_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,35.69,index,valid,synthetic_qos,203,199,34.73,0
QOS-TCP_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,67.2,index,valid,synthetic_qos,302,300,36.2,0
