throughput_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-THROUGHPUT_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,56.52,index,valid,synthetic_qos,384,379,17.91,0
QOS-THROUGHPUT_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,39.05,index,valid,synthetic_qos,141,137,38.73,0
QOS-THROUGHPUT_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,72.36,index,valid,synthetic_qos,244,239,28.8,0
QOS-THROUGHPUT_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,61.61,index,valid,synthetic_qos,179,171,25.65,0
QOS-THROUGHPUT_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,62.08,index,valid,synthetic_qos,368,359,36.75,0
QOS-THROUGHPUT_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,21.32,index,valid,synthetic_qos,318,315,42.08,0
QOS-THROUGHPUT_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,76.0,index,valid,synthetic_qos,323,315,37.53,0
QOS-THROUGHPUT_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,33.96,index,valid,synthetic_qos,167,166,30.74,0
QOS-THROUGHPUT_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,71.75,index,valid,synthetic_qos,217,211,21.72,0
QOS-THROUGHPUT_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,62.59,index,valid,synthetic_qos,154,150,36.11,0
QOS-THROUGHPUT_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,30.69,index,valid,synthetic_qos,386,383,18.6,0
QOS-THROUGHPUT_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,53.13,index,valid,synthetic_qos,265,256,19.81,0
QOS-THROUGHPUT_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,72.16,index,valid,synthetic_qos,137,133,15.57,0
QOS-THROUGHPUT_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,65.83,index,valid,synthetic_qos,299,292,39.03,0
QOS-THROUGHPUT_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,30.16,index,valid,synthetic_qos,222,220,17.3,0
QOS-THROUGHPUT_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,65.81,index,valid,synthetic_qos,202,201,43.56,0
QOS-THROUGHPUT_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,83.58,index,valid,synthetic_qos,360,357,35.46,0
QOS-THROUGHPUT_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,60.33,index,valid,synthetic_qos,178,170,42.46,0
QOS-THROUGHPUT_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,79.44,index,valid,synthetic_qos,121,117,35.35,0
QOS-THROUGHPUT_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,66.45,index,valid,synthetic_qos,211,205,31.44,0
QOS-THROUGHPUT_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,45.57,index,valid,synthetic_qos,230,221,24.89,0
QOS-THROUGHPUT_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,25.25,index,valid,synthetic_qos,292,290,16.29,0
QOS-THROUGHPUT_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,61.16,index,valid,synthetic_qos,144,136,19.14,0
QOS-THROUGHPUT_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,67.71,index,valid,synthetic_qos,352,342,40.47,0
QOS-THROUGHPUT_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,22.61,index,valid,synthetic_qos,198,188,21.87,0
QOS-THROUGHPUT_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,48.34,index,valid,synthetic_qos,153,143,19.37,0
QOS-THROUGHPUT_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,26.94,index,valid,synthetic_qos,383,374,24.35,0
QOS-THROUGHPUT_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,30.66,index,degraded,synthetic_qos,280,275,78.99,1
