udp_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-UDP_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,36.09,index,valid,synthetic_qos,385,380,31.73,0
QOS-UDP_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,25.57,index,valid,synthetic_qos,354,350,19.05,0
QOS-UDP_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,28.2,index,valid,synthetic_qos,177,167,19.32,0
QOS-UDP_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,31.7,index,valid,synthetic_qos,208,201,30.29,0
QOS-UDP_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,56.32,index,valid,synthetic_qos,206,204,42.13,0
QOS-UDP_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,67.6,index,valid,synthetic_qos,148,142,28.06,0
QOS-UDP_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,33.66,index,valid,synthetic_qos,275,272,19.15,0
QOS-UDP_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,22.67,index,valid,synthetic_qos,241,235,40.43,0
QOS-UDP_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,56.21,index,valid,synthetic_qos,243,242,18.43,0
QOS-UDP_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,50.06,index,valid,synthetic_qos,362,356,34.24,0
QOS-UDP_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,40.99,index,valid,synthetic_qos,314,306,25.92,0
QOS-UDP_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,68.41,index,valid,synthetic_qos,202,199,23.77,0
QOS-UDP_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,23.17,index,valid,synthetic_qos,351,341,34.66,0
QOS-UDP_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,55.02,index,valid,synthetic_qos,280,270,24.1,0
QOS-UDP_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,35.2,index,valid,synthetic_qos,213,211,44.85,0
QOS-UDP_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,59.43,index,valid,synthetic_qos,194,191,15.35,0
QOS-UDP_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,40.14,index,valid,synthetic_qos,225,219,22.07,0
QOS-UDP_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,48.13,index,valid,synthetic_qos,363,358,22.74,0
QOS-UDP_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,34.79,index,valid,synthetic_qos,105,100,36.82,0
QOS-UDP_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,33.22,index,valid,synthetic_qos,214,213,37.3,0
QOS-UDP_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,79.01,index,valid,synthetic_qos,265,256,36.45,0
QOS-UDP_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,58.73,index,valid,synthetic_qos,394,390,26.21,0
QOS-UDP_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,40.06,index,valid,synthetic_qos,144,143,43.77,0
QOS-UDP_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,36.11,index,valid,synthetic_qos,349,344,30.76,0
QOS-UDP_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,54.96,index,valid,synthetic_qos,184,174,19.79,0
QOS-UDP_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,19.5,index,valid,synthetic_qos,371,362,31.84,0
QOS-UDP_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,47.2,index,valid,synthetic_qos,357,351,27.74,0
QOS-UDP_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,44.73,index,degraded,synthetic_qos,307,306,66.57,1
QOS-UDP_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,66.12,index,valid,synthetic_qos,373,371,25.11,0
QOS-UDP_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,35.94,index,valid,synthetic_qos,366,364,16.91,0
QOS-UDP_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,65.29,index,valid,synthetic_qos,371,366,37.68,0
QOS-UDP_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,84.86,index,valid,synthetic_qos,251,249,25.37,0
QOS-UDP_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,23.51,index,valid,synthetic_qos,297,293,33.09,0
QOS-UDP_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,28.34,index,valid,synthetic_qos,322,312,23.43,0
QOS-UDP_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,37.92,index,valid,synthetic_qos,298,297,37.11,0
QOS-UDP_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,77.01,index,valid,synthetic_qos,344,335,16.99,0
QOS-UDP_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,51.91,index,valid,synthetic_qos,199,189,26.03,0
QOS-UDP_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,64.48,index,valid,synthetic_qos,219,214,25.82,0
QOS-UDP_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,20.75,index,valid,synthetic_qos,274,269,21.77,0
QOS-UDP_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,29.24,index,valid,synthetic_qos,392,389,34.37,0
QOS-UDP_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,38.72,index,valid,synthetic_qos,281,273,18.01,0
