upload_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-UPLOAD_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,75.92,index,valid,synthetic_qos,366,363,18.07,0
QOS-UPLOAD_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,32.17,index,valid,synthetic_qos,375,365,24.0,0
QOS-UPLOAD_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,45.1,index,valid,synthetic_qos,162,154,29.85,0
QOS-UPLOAD_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,77.28,index,valid,synthetic_qos,242,235,41.61,0
QOS-UPLOAD_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,51.13,index,valid,synthetic_qos,284,282,40.07,0
QOS-UPLOAD_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,64.73,index,valid,synthetic_qos,327,319,30.04,0
QOS-UPLOAD_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,38.69,index,valid,synthetic_qos,372,368,42.53,0
QOS-UPLOAD_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,53.82,index,valid,synthetic_qos,206,205,17.26,0
QOS-UPLOAD_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,17.77,index,valid,synthetic_qos,156,150,22.87,0
QOS-UPLOAD_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,45.51,index,valid,synthetic_qos,359,353,21.76,0
QOS-UPLOAD_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,23.46,index,valid,synthetic_qos,217,215,33.7,0
QOS-UPLOAD_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,23.06,index,valid,synthetic_qos,376,373,26.47,0
QOS-UPLOAD_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,20.01,index,valid,synthetic_qos,100,98,34.46,0
QOS-UPLOAD_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,47.63,index,valid,synthetic_qos,382,380,35.59,0
QOS-UPLOAD_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,50.7,index,valid,synthetic_qos,393,388,32.12,0
QOS-UPLOAD_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,23.45,index,valid,synthetic_qos,363,359,35.45,0
QOS-UPLOAD_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,78.31,index,valid,synthetic_qos,130,123,17.37,0
QOS-UPLOAD_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,55.12,index,valid,synthetic_qos,397,389,36.86,0
QOS-UPLOAD_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,19.16,index,valid,synthetic_qos,115,110,44.3,0
QOS-UPLOAD_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,65.13,index,valid,synthetic_qos,316,310,33.91,0
QOS-UPLOAD_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,70.39,index,valid,synthetic_qos,260,259,32.76,0
QOS-UPLOAD_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,52.2,index,valid,synthetic_qos,198,192,35.77,0
QOS-UPLOAD_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,19.16,index,valid,synthetic_qos,317,307,39.71,0
QOS-UPLOAD_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,23.73,index,valid,synthetic_qos,124,119,31.99,0
QOS-UPLOAD_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,43.53,index,valid,synthetic_qos,360,358,41.06,0
QOS-UPLOAD_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,63.24,index,valid,synthetic_qos,354,347,36.56,0
QOS-UPLOAD_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,27.21,index,valid,synthetic_qos,271,267,24.31,0
QOS-UPLOAD_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,37.02,index,degraded,synthetic_qos,197,189,67.09,1
QOS-UPLOAD_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,83.73,index,valid,synthetic_qos,169,162,21.61,0
QOS-UPLOAD_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,79.74,index,valid,synthetic_qos,291,282,39.8,0
QOS-UPLOAD_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,63.47,index,valid,synthetic_qos,346,342,27.31,0
QOS-UPLOAD_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,79.78,index,valid,synthetic_qos,225,217,24.35,0
QOS-UPLOAD_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,74.5,index,valid,synthetic_qos,309,300,24.8,0
QOS-UPLOAD_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,30.77,index,valid,synthetic_qos,102,99,18.16,0
QOS-UPLOAD_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,47.88,index,valid,synthetic_qos,230,229,44.41,0
QOS-UPLOAD_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,83.93,index,valid,synthetic_qos,227,221,23.54,0
QOS-UPLOAD_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,30.22,index,valid,synthetic_qos,287,283,32.15,0
QOS-UPLOAD_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,16.3,index,valid,synthetic_qos,397,393,20.83,0
QOS-UPLOAD_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,38.33,index,valid,synthetic_qos,337,330,28.79,0
QOS-UPLOAD_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,59.79,index,valid,synthetic_qos,133,132,39.34,0
QOS-UPLOAD_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,57.75,index,valid,synthetic_qos,180,179,23.1,0
