video_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-VIDEO_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,68.2,index,valid,synthetic_qos,187,180,44.76,0
QOS-VIDEO_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,52.77,index,valid,synthetic_qos,312,310,37.33,0
QOS-VIDEO_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,36.75,index,valid,synthetic_qos,200,194,15.17,0
QOS-VIDEO_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,52.1,index,valid,synthetic_qos,342,335,31.36,0
QOS-VIDEO_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,59.86,index,valid,synthetic_qos,338,334,18.84,0
QOS-VIDEO_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,58.57,index,valid,synthetic_qos,340,330,37.52,0
QOS-VIDEO_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,62.01,index,valid,synthetic_qos,292,289,17.29,0
QOS-VIDEO_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,33.27,index,valid,synthetic_qos,195,191,29.83,0
QOS-VIDEO_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,62.91,index,valid,synthetic_qos,227,223,19.87,0
QOS-VIDEO_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,24.88,index,valid,synthetic_qos,123,113,19.87,0
QOS-VIDEO_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,33.9,index,valid,synthetic_qos,229,224,27.88,0
QOS-VIDEO_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,21.88,index,valid,synthetic_qos,391,382,19.1,0
QOS-VIDEO_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,26.72,index,valid,synthetic_qos,343,342,16.15,0
QOS-VIDEO_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,43.75,index,valid,synthetic_qos,151,150,39.21,0
QOS-VIDEO_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,32.38,index,valid,synthetic_qos,212,204,31.28,0
QOS-VIDEO_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,30.01,index,valid,synthetic_qos,274,264,17.79,0
QOS-VIDEO_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,45.34,index,valid,synthetic_qos,310,300,33.1,0
QOS-VIDEO_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,58.87,index,valid,synthetic_qos,125,118,16.65,0
QOS-VIDEO_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,43.05,index,valid,synthetic_qos,129,126,15.49,0
QOS-VIDEO_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,79.76,index,valid,synthetic_qos,196,195,37.53,0
QOS-VIDEO_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,41.87,index,valid,synthetic_qos,146,138,41.54,0
QOS-VIDEO_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,73.88,index,valid,synthetic_qos,239,233,40.59,0
QOS-VIDEO_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,30.18,index,valid,synthetic_qos,107,104,42.05,0
QOS-VIDEO_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,20.71,index,valid,synthetic_qos,120,112,40.54,0
QOS-VIDEO_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,61.52,index,valid,synthetic_qos,168,160,40.66,0
