voice_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-VOICE_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,81.82,index,valid,synthetic_qos,148,143,33.0,0
QOS-VOICE_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,41.32,index,valid,synthetic_qos,398,388,43.75,0
QOS-VOICE_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,22.94,index,valid,synthetic_qos,205,199,27.8,0
QOS-VOICE_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,37.87,index,valid,synthetic_qos,319,317,32.75,0
QOS-VOICE_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,39.4,index,valid,synthetic_qos,150,147,28.61,0
QOS-VOICE_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,80.54,index,valid,synthetic_qos,205,200,26.49,0
QOS-VOICE_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,33.13,index,valid,synthetic_qos,119,115,33.09,0
QOS-VOICE_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,62.09,index,valid,synthetic_qos,375,365,20.42,0
QOS-VOICE_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,76.01,index,valid,synthetic_qos,373,366,43.5,0
QOS-VOICE_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,40.48,index,valid,synthetic_qos,297,292,35.32,0
QOS-VOICE_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,81.34,index,valid,synthetic_qos,169,161,34.03,0
QOS-VOICE_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,20.12,index,valid,synthetic_qos,350,340,43.44,0
QOS-VOICE_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,51.37,index,valid,synthetic_qos,321,318,24.53,0
QOS-VOICE_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,79.0,index,valid,synthetic_qos,325,316,42.57,0
QOS-VOICE_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,33.63,index,valid,synthetic_qos,179,174,21.14,0
QOS-VOICE_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,58.43,index,valid,synthetic_qos,225,217,36.6,0
QOS-VOICE_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,57.29,index,valid,synthetic_qos,191,185,16.7,0
QOS-VOICE_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,31.93,index,valid,synthetic_qos,125,120,38.69,0
QOS-VOICE_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,68.72,index,valid,synthetic_qos,168,162,39.56,0
QOS-VOICE_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,54.2,index,valid,synthetic_qos,227,218,33.04,0
QOS-VOICE_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,57.18,index,valid,synthetic_qos,115,106,28.21,0
QOS-VOICE_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,65.9,index,valid,synthetic_qos,199,194,36.46,0
QOS-VOICE_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,68.14,index,valid,synthetic_qos,342,336,21.62,0
