web_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-WEB_HOURLY-00-00,PLAN01,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,65.15,index,valid,synthetic_qos,161,154,30.46,0
QOS-WEB_HOURLY-00-01,PLAN01,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,22.86,index,valid,synthetic_qos,400,392,26.15,0
QOS-WEB_HOURLY-00-02,PLAN01,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,17.62,index,valid,synthetic_qos,351,341,20.15,0
QOS-WEB_HOURLY-00-03,PLAN01,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,56.22,index,valid,synthetic_qos,251,243,15.79,0
QOS-WEB_HOURLY-00-04,PLAN01,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,61.63,index,valid,synthetic_qos,221,216,40.87,0
QOS-WEB_HOURLY-00-05,PLAN01,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,40.16,index,valid,synthetic_qos,114,113,35.99,0
QOS-WEB_HOURLY-00-06,PLAN01,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,76.88,index,valid,synthetic_qos,140,130,39.16,0
QOS-WEB_HOURLY-00-07,PLAN01,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,76.58,index,valid,synthetic_qos,334,329,40.48,0
QOS-WEB_HOURLY-00-08,PLAN01,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,44.01,index,valid,synthetic_qos,136,135,35.98,0
QOS-WEB_HOURLY-00-09,PLAN01,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,20.18,index,valid,synthetic_qos,280,277,38.27,0
QOS-WEB_HOURLY-00-10,PLAN01,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,59.91,index,valid,synthetic_qos,186,184,31.92,0
QOS-WEB_HOURLY-00-11,PLAN01,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,27.09,index,valid,synthetic_qos,318,314,19.81,0
QOS-WEB_HOURLY-00-12,PLAN01,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,64.14,index,valid,synthetic_qos,242,240,42.73,0
QOS-WEB_HOURLY-00-13,PLAN01,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,51.65,index,valid,synthetic_qos,376,375,43.7,0
QOS-WEB_HOURLY-00-14,PLAN01,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,81.4,index,valid,synthetic_qos,193,190,18.66,0
QOS-WEB_HOURLY-00-15,PLAN01,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,81.05,index,valid,synthetic_qos,207,202,16.02,0
QOS-WEB_HOURLY-00-16,PLAN01,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,76.63,index,valid,synthetic_qos,384,377,17.88,0
QOS-WEB_HOURLY-00-17,PLAN01,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,37.97,index,valid,synthetic_qos,377,374,23.34,0
QOS-WEB_HOURLY-00-18,PLAN01,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,24.17,index,valid,synthetic_qos,157,149,41.91,0
QOS-WEB_HOURLY-00-19,PLAN01,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,56.47,index,valid,synthetic_qos,240,234,34.4,0
QOS-WEB_HOURLY-00-20,PLAN01,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,19.03,index,valid,synthetic_qos,324,314,19.8,0
QOS-WEB_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,26.08,index,valid,synthetic_qos,229,224,24.14,0
QOS-WEB_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,72.7,index,valid,synthetic_qos,339,338,37.68,0
QOS-WEB_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,17.91,index,valid,synthetic_qos,273,266,25.66,0
QOS-WEB_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,43.71,index,valid,synthetic_qos,391,390,33.21,0
QOS-WEB_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,33.89,index,valid,synthetic_qos,107,100,18.16,0
QOS-WEB_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,38.67,index,valid,synthetic_qos,349,345,27.78,0
QOS-WEB_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,32.53,index,degraded,synthetic_qos,227,217,75.03,1
QOS-WEB_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,52.09,index,valid,synthetic_qos,298,293,21.76,0
QOS-WEB_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,84.76,index,valid,synthetic_qos,367,357,38.45,0
QOS-WEB_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,75.54,index,valid,synthetic_qos,272,266,32.66,0
QOS-WEB_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,72.67,index,valid,synthetic_qos,154,145,27.85,0
QOS-WEB_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,32.48,index,valid,synthetic_qos,195,190,15.94,0
QOS-WEB_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,41.38,index,valid,synthetic_qos,236,227,40.12,0
QOS-WEB_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,82.22,index,valid,synthetic_qos,348,344,44.35,0
QOS-WEB_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,19.3,index,valid,synthetic_qos,289,280,27.06,0
QOS-WEB_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,50.6,index,valid,synthetic_qos,191,190,17.31,0
QOS-WEB_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,36.93,index,valid,synthetic_qos,224,217,33.58,0
QOS-WEB_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,54.74,index,valid,synthetic_qos,114,104,22.66,0
QOS-WEB_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,24.01,index,valid,synthetic_qos,387,386,22.68,0
QOS-WEB_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,24.84,index,valid,synthetic_qos,362,354,21.23,0
QOS-WEB_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,59.92,index,valid,synthetic_qos,217,216,24.93,0
QOS-WEB_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,55.73,index,valid,synthetic_qos,224,222,29.48,0
QOS-WEB_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,17.79,index,valid,synthetic_qos,237,235,31.01,0
QOS-WEB_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,73.8,index,valid,synthetic_qos,300,298,43.15,0
QOS-WEB_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,34.49,index,valid,synthetic_qos,286,278,44.12,0
QOS-WEB_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,18.16,index,valid,synthetic_qos,253,246,27.28,0
QOS-WEB_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,77.73,index,valid,synthetic_qos,219,218,24.86,0
QOS-WEB_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,76.26,index,valid,synthetic_qos,335,326,31.01,0
QOS-WEB_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,34.37,index,valid,synthetic_qos,180,171,16.66,0
QOS-WEB_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,47.84,index,valid,synthetic_qos,157,154,28.08,0
QOS-WEB_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,62.88,index,valid,synthetic_qos,261,259,25.89,0
QOS-WEB_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,16.46,index,valid,synthetic_qos,103,94,37.17,0
QOS-WEB_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,68.55,index,valid,synthetic_qos,278,268,25.41,0
QOS-WEB_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,37.07,index,valid,synthetic_qos,207,201,42.12,0
QOS-WEB_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,40.41,index,valid,synthetic_qos,307,302,24.52,0
QOS-WEB_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,59.96,index,valid,synthetic_qos,224,223,18.96,0
QOS-WEB_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,80.91,index,valid,synthetic_qos,161,159,42.59,0
QOS-WEB_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,47.95,index,valid,synthetic_qos,129,119,20.68,0
QOS-WEB_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,80.09,index,valid,synthetic_qos,314,305,27.6,0
QOS-WEB_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,67.56,index,valid,synthetic_qos,386,377,42.3,0
QOS-WEB_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,53.11,index,valid,synthetic_qos,359,352,18.6,0
QOS-WEB_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,54.52,index,valid,synthetic_qos,162,154,33.21,0
QOS-WEB_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,45.21,index,valid,synthetic_qos,316,310,32.94,0
QOS-WEB_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,19.93,index,valid,synthetic_qos,347,342,38.54,0
QOS-WEB_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,51.95,index,valid,synthetic_qos,245,242,33.55,0
QOS-WEB_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,75.45,index,valid,synthetic_qos,261,252,33.18,0
QOS-WEB_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,34.34,index,valid,synthetic_qos,237,232,18.64,0
QOS-WEB_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,61.94,index,valid,synthetic_qos,320,318,37.61,0
