cell_id,station_id,province_code,object_id,technology,band,frequency_mhz,bandwidth_mhz,vendor,sector,azimuth_deg,launch_date,status,capacity_users,area_code
CELL010101,ST0101,DBN,gdb00005_30n411,5G,n78,3500,100,zte,1,0,2025-01-01,active,600,KV1
CELL010102,ST0101,DBN,gdb0001811_20n411,5G,n78,3500,100,zte,2,120,2025-01-01,active,600,KV1
CELL010201,ST0102,DBN,gdb00064_30n411,5G,n78,3500,100,nokia,1,0,2025-01-01,active,600,KV1
CELL010202,ST0102,DBN,gdb00016_20n411,5G,n78,3500,100,nokia,2,120,2025-01-01,active,600,KV1
CELL020101,ST0201,SLA,gsl00011_30n411,5G,n78,3500,100,zte,1,0,2025-01-01,active,600,KV1
CELL020102,ST0201,SLA,gsl00047_10n411,5G,n78,3500,100,zte,2,120,2025-01-01,active,600,KV1
CELL020201,ST0202,SLA,gsl00125_12_30n411,5G,n78,3500,100,nokia,1,0,2025-01-01,active,600,KV1
CELL020202,ST0202,SLA,gsl00375_10n411,5G,n78,3500,100,nokia,2,120,2025-01-01,active,600,KV1
CELL030101,ST0301,CMU,gbl00024_30n411,5G,n78,3500,100,zte,1,0,2025-01-01,active,600,KV3
CELL030102,ST0301,CMU,gcm00042_11_10n411,5G,n78,3500,100,zte,2,120,2025-01-01,active,600,KV3
CELL030201,ST0302,CMU,gbl00181_30n411,5G,n78,3500,100,nokia,1,0,2025-01-01,active,600,KV3
CELL030202,ST0302,CMU,gbl00024_30n411,5G,n78,3500,100,nokia,2,120,2025-01-01,active,600,KV3
CELL040101,ST0401,NBH,SYNTH-NBH-1-1,5G,n78,3500,100,zte,1,0,2025-01-01,active,600,KV1
CELL040102,ST0401,NBH,SYNTH-NBH-1-2,5G,n78,3500,100,zte,2,120,2025-01-01,active,600,KV1
CELL040201,ST0402,NBH,SYNTH-NBH-2-1,5G,n78,3500,100,nokia,1,0,2025-01-01,active,600,KV1
CELL040202,ST0402,NBH,SYNTH-NBH-2-2,5G,n78,3500,100,nokia,2,120,2025-01-01,active,600,KV1
CELL050101,ST0501,HCM,SYNTH-HCM-1-1,5G,n78,3500,100,zte,1,0,2025-01-01,active,600,KV3
CELL050102,ST0501,HCM,SYNTH-HCM-1-2,5G,n78,3500,100,zte,2,120,2025-01-01,active,600,KV3
CELL050201,ST0502,HCM,SYNTH-HCM-2-1,5G,n78,3500,100,nokia,1,0,2025-01-01,active,600,KV3
CELL050202,ST0502,HCM,SYNTH-HCM-2-2,5G,n78,3500,100,nokia,2,120,2025-01-01,active,600,KV3
CELL060101,ST0601,KHA,SYNTH-KHA-1-1,5G,n78,3500,100,zte,1,0,2025-01-01,active,600,KV2
CELL060102,ST0601,KHA,SYNTH-KHA-1-2,5G,n78,3500,100,zte,2,120,2025-01-01,active,600,KV2
CELL060201,ST0602,KHA,SYNTH-KHA-2-1,5G,n78,3500,100,nokia,1,0,2025-01-01,active,600,KV2
CELL060202,ST0602,KHA,SYNTH-KHA-2-2,5G,n78,3500,100,nokia,2,120,2025-01-01,active,600,KV2
