cell_activation_event_id,cell_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,frequency_mhz,bandwidth_mhz,tx_power_dbm,sector_count
RAN-CELL_ACTIVATION_EVENT-00-00,CELL010101,DBN,KV1,active,2026-08-18 00:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,31.19,2
RAN-CELL_ACTIVATION_EVENT-00-09,CELL010101,DBN,KV1,active,2026-08-18 09:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,22.54,2
RAN-CELL_ACTIVATION_EVENT-00-18,CELL010101,DBN,KV1,active,2026-08-18 18:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,43.44,2
RAN-CELL_ACTIVATION_EVENT-00-27,CELL010101,DBN,KV1,degraded,2026-08-19 03:00:00,CELL_ACTIVATION_EVENT,major,failed,3600,synthetic_ran,3500,100,31.93,2
RAN-CELL_ACTIVATION_EVENT-00-36,CELL010101,DBN,KV1,active,2026-08-19 12:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,42.05,2
RAN-CELL_ACTIVATION_EVENT-00-45,CELL010101,DBN,KV1,active,2026-08-19 21:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,37.36,2
RAN-CELL_ACTIVATION_EVENT-00-54,CELL010101,DBN,KV1,active,2026-08-20 06:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,24.97,2
RAN-CELL_ACTIVATION_EVENT-00-63,CELL010101,DBN,KV1,active,2026-08-20 15:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,41.87,2
RAN-CELL_ACTIVATION_EVENT-01-00,CELL020201,SLA,KV1,active,2026-08-18 00:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,28.87,2
RAN-CELL_ACTIVATION_EVENT-01-09,CELL020201,SLA,KV1,active,2026-08-18 09:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,35.08,2
RAN-CELL_ACTIVATION_EVENT-01-18,CELL020201,SLA,KV1,active,2026-08-18 18:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,34.33,2
RAN-CELL_ACTIVATION_EVENT-01-27,CELL020201,SLA,KV1,active,2026-08-19 03:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,41.97,2
RAN-CELL_ACTIVATION_EVENT-01-36,CELL020201,SLA,KV1,active,2026-08-19 12:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,23.5,2
RAN-CELL_ACTIVATION_EVENT-01-45,CELL020201,SLA,KV1,degraded,2026-08-19 21:00:00,CELL_ACTIVATION_EVENT,major,failed,3600,synthetic_ran,3500,100,21.23,2
RAN-CELL_ACTIVATION_EVENT-01-54,CELL020201,SLA,KV1,active,2026-08-20 06:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,37.0,2
RAN-CELL_ACTIVATION_EVENT-01-63,CELL020201,SLA,KV1,active,2026-08-20 15:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,20.58,2
RAN-CELL_ACTIVATION_EVENT-02-00,CELL030101,CMU,KV3,active,2026-08-18 00:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,22.0,2
RAN-CELL_ACTIVATION_EVENT-02-09,CELL030101,CMU,KV3,active,2026-08-18 09:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,42.52,2
RAN-CELL_ACTIVATION_EVENT-02-18,CELL030101,CMU,KV3,active,2026-08-18 18:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,35.3,2
RAN-CELL_ACTIVATION_EVENT-02-27,CELL030101,CMU,KV3,active,2026-08-19 03:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,31.52,2
RAN-CELL_ACTIVATION_EVENT-02-36,CELL030101,CMU,KV3,active,2026-08-19 12:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,44.28,2
RAN-CELL_ACTIVATION_EVENT-02-45,CELL030101,CMU,KV3,active,2026-08-19 21:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,38.96,2
RAN-CELL_ACTIVATION_EVENT-02-54,CELL030101,CMU,KV3,active,2026-08-20 06:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,35.71,2
RAN-CELL_ACTIVATION_EVENT-02-63,CELL030101,CMU,KV3,active,2026-08-20 15:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,43.95,2
RAN-CELL_ACTIVATION_EVENT-03-00,CELL040201,NBH,KV1,active,2026-08-18 00:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,34.7,2
RAN-CELL_ACTIVATION_EVENT-03-09,CELL040201,NBH,KV1,active,2026-08-18 09:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,39.68,2
RAN-CELL_ACTIVATION_EVENT-03-18,CELL040201,NBH,KV1,active,2026-08-18 18:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,28.99,2
RAN-CELL_ACTIVATION_EVENT-03-27,CELL040201,NBH,KV1,active,2026-08-19 03:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,27.72,2
RAN-CELL_ACTIVATION_EVENT-03-36,CELL040201,NBH,KV1,active,2026-08-19 12:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,22.98,2
RAN-CELL_ACTIVATION_EVENT-03-45,CELL040201,NBH,KV1,active,2026-08-19 21:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,21.87,2
RAN-CELL_ACTIVATION_EVENT-03-54,CELL040201,NBH,KV1,active,2026-08-20 06:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,26.49,2
RAN-CELL_ACTIVATION_EVENT-03-63,CELL040201,NBH,KV1,active,2026-08-20 15:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,35.96,2
RAN-CELL_ACTIVATION_EVENT-04-00,CELL050101,HCM,KV3,active,2026-08-18 00:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,21.98,2
RAN-CELL_ACTIVATION_EVENT-04-09,CELL050101,HCM,KV3,active,2026-08-18 09:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,21.17,2
RAN-CELL_ACTIVATION_EVENT-04-18,CELL050101,HCM,KV3,active,2026-08-18 18:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,23.28,2
RAN-CELL_ACTIVATION_EVENT-04-27,CELL050101,HCM,KV3,active,2026-08-19 03:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,27.21,2
RAN-CELL_ACTIVATION_EVENT-04-36,CELL050101,HCM,KV3,active,2026-08-19 12:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,37.95,2
RAN-CELL_ACTIVATION_EVENT-04-45,CELL050101,HCM,KV3,active,2026-08-19 21:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,31.08,2
RAN-CELL_ACTIVATION_EVENT-04-54,CELL050101,HCM,KV3,active,2026-08-20 06:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,23.06,2
RAN-CELL_ACTIVATION_EVENT-04-63,CELL050101,HCM,KV3,active,2026-08-20 15:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,38.21,2
RAN-CELL_ACTIVATION_EVENT-05-00,CELL060101,KHA,KV2,active,2026-08-18 00:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,27.53,2
RAN-CELL_ACTIVATION_EVENT-05-09,CELL060101,KHA,KV2,active,2026-08-18 09:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,36.37,2
RAN-CELL_ACTIVATION_EVENT-05-18,CELL060101,KHA,KV2,active,2026-08-18 18:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,28.96,2
RAN-CELL_ACTIVATION_EVENT-05-27,CELL060101,KHA,KV2,active,2026-08-19 03:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,32.76,2
RAN-CELL_ACTIVATION_EVENT-05-36,CELL060101,KHA,KV2,active,2026-08-19 12:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,34.01,2
RAN-CELL_ACTIVATION_EVENT-05-45,CELL060101,KHA,KV2,active,2026-08-19 21:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,21.35,2
RAN-CELL_ACTIVATION_EVENT-05-54,CELL060101,KHA,KV2,active,2026-08-20 06:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,43.56,2
RAN-CELL_ACTIVATION_EVENT-05-63,CELL060101,KHA,KV2,active,2026-08-20 15:00:00,CELL_ACTIVATION_EVENT,info,success,60,synthetic_ran,3500,100,24.29,2
