cell_state_history_id,cell_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,frequency_mhz,bandwidth_mhz,tx_power_dbm,sector_count
RAN-CELL_STATE_HISTORY-00-00,CELL010101,DBN,KV1,active,2026-08-18 00:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,22.55,2
RAN-CELL_STATE_HISTORY-00-09,CELL010101,DBN,KV1,active,2026-08-18 09:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,35.03,2
RAN-CELL_STATE_HISTORY-00-18,CELL010101,DBN,KV1,active,2026-08-18 18:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,21.61,2
RAN-CELL_STATE_HISTORY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19 03:00:00,CELL_STATE_HISTORY,major,failed,3600,synthetic_ran,3500,100,28.39,2
RAN-CELL_STATE_HISTORY-00-36,CELL010101,DBN,KV1,active,2026-08-19 12:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,28.0,2
RAN-CELL_STATE_HISTORY-00-45,CELL010101,DBN,KV1,active,2026-08-19 21:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,33.78,2
RAN-CELL_STATE_HISTORY-00-54,CELL010101,DBN,KV1,active,2026-08-20 06:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,35.0,2
RAN-CELL_STATE_HISTORY-00-63,CELL010101,DBN,KV1,active,2026-08-20 15:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,22.02,2
RAN-CELL_STATE_HISTORY-01-00,CELL020201,SLA,KV1,active,2026-08-18 00:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,36.4,2
RAN-CELL_STATE_HISTORY-01-09,CELL020201,SLA,KV1,active,2026-08-18 09:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,29.07,2
RAN-CELL_STATE_HISTORY-01-18,CELL020201,SLA,KV1,active,2026-08-18 18:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,23.93,2
RAN-CELL_STATE_HISTORY-01-27,CELL020201,SLA,KV1,active,2026-08-19 03:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,41.12,2
