handover_relation_id,cell_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,frequency_mhz,bandwidth_mhz,tx_power_dbm,sector_count
RAN-HANDOVER_RELATION-00-00,CELL010101,DBN,KV1,active,2026-08-18 00:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,21.21,2
RAN-HANDOVER_RELATION-00-09,CELL010101,DBN,KV1,active,2026-08-18 09:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,24.04,2
RAN-HANDOVER_RELATION-00-18,CELL010101,DBN,KV1,active,2026-08-18 18:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,33.89,2
RAN-HANDOVER_RELATION-00-27,CELL010101,DBN,KV1,degraded,2026-08-19 03:00:00,HANDOVER_RELATION,major,failed,3600,synthetic_ran,3500,100,29.02,2
RAN-HANDOVER_RELATION-00-36,CELL010101,DBN,KV1,active,2026-08-19 12:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,33.06,2
RAN-HANDOVER_RELATION-00-45,CELL010101,DBN,KV1,active,2026-08-19 21:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,35.58,2
RAN-HANDOVER_RELATION-00-54,CELL010101,DBN,KV1,active,2026-08-20 06:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,29.83,2
RAN-HANDOVER_RELATION-00-63,CELL010101,DBN,KV1,active,2026-08-20 15:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,26.88,2
RAN-HANDOVER_RELATION-01-00,CELL020201,SLA,KV1,active,2026-08-18 00:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,27.08,2
RAN-HANDOVER_RELATION-01-09,CELL020201,SLA,KV1,active,2026-08-18 09:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,38.72,2
RAN-HANDOVER_RELATION-01-18,CELL020201,SLA,KV1,active,2026-08-18 18:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,38.07,2
