cell_access_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_ACCESS_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,19.64,index,valid,synthetic_ran_kpi,191,186,2.39,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,80.32,index,valid,synthetic_ran_kpi,163,155,3.7,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,23.74,index,valid,synthetic_ran_kpi,260,256,0.95,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,38.12,index,valid,synthetic_ran_kpi,152,148,5.19,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,35.49,index,valid,synthetic_ran_kpi,170,164,7.15,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,47.38,index,valid,synthetic_ran_kpi,274,270,2.66,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,53.1,index,valid,synthetic_ran_kpi,205,200,2.2,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,63.31,index,valid,synthetic_ran_kpi,215,212,1.98,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,22.88,index,valid,synthetic_ran_kpi,107,104,1.23,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,25.09,index,valid,synthetic_ran_kpi,123,118,1.57,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,52.67,index,valid,synthetic_ran_kpi,134,128,6.45,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,77.19,index,valid,synthetic_ran_kpi,246,243,7.47,99.9
