cell_availability_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,68.53,index,valid,synthetic_ran_kpi,276,274,5.8,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,72.09,index,valid,synthetic_ran_kpi,127,119,7.61,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,22.29,index,valid,synthetic_ran_kpi,284,279,3.78,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,84.83,index,valid,synthetic_ran_kpi,165,160,6.02,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,74.91,index,valid,synthetic_ran_kpi,141,140,7.73,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,67.07,index,valid,synthetic_ran_kpi,161,156,2.14,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,25.41,index,valid,synthetic_ran_kpi,231,225,1.34,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,53.43,index,valid,synthetic_ran_kpi,116,112,2.02,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,84.1,index,valid,synthetic_ran_kpi,121,116,3.04,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,27.82,index,valid,synthetic_ran_kpi,269,268,2.74,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,78.58,index,valid,synthetic_ran_kpi,220,213,4.35,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,63.34,index,valid,synthetic_ran_kpi,217,215,1.34,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,16.75,index,valid,synthetic_ran_kpi,110,106,4.67,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,31.35,index,valid,synthetic_ran_kpi,92,84,2.14,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,44.09,index,valid,synthetic_ran_kpi,265,264,1.14,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,24.77,index,valid,synthetic_ran_kpi,262,259,1.7,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,33.64,index,valid,synthetic_ran_kpi,192,185,1.53,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,24.81,index,valid,synthetic_ran_kpi,84,83,5.93,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,34.04,index,valid,synthetic_ran_kpi,96,93,5.41,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,63.68,index,valid,synthetic_ran_kpi,146,141,5.13,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,51.34,index,valid,synthetic_ran_kpi,149,144,0.94,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,30.78,index,valid,synthetic_ran_kpi,246,238,2.75,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,37.61,index,valid,synthetic_ran_kpi,282,279,4.84,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,16.8,index,valid,synthetic_ran_kpi,226,220,4.96,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,22.32,index,valid,synthetic_ran_kpi,190,182,6.91,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,71.16,index,valid,synthetic_ran_kpi,266,263,5.93,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,38.57,index,valid,synthetic_ran_kpi,235,227,7.01,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,99.18,index,degraded,synthetic_ran_kpi,238,215,6.28,98.0
