cell_bler_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_BLER_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,33.03,index,valid,synthetic_ran_kpi,91,90,7.9,99.9
RAN_KPI-CELL_BLER_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,57.3,index,valid,synthetic_ran_kpi,221,213,4.44,99.9
RAN_KPI-CELL_BLER_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,71.59,index,valid,synthetic_ran_kpi,194,188,0.61,99.9
RAN_KPI-CELL_BLER_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,51.75,index,valid,synthetic_ran_kpi,267,263,2.88,99.9
RAN_KPI-CELL_BLER_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,74.49,index,valid,synthetic_ran_kpi,109,105,4.48,99.9
RAN_KPI-CELL_BLER_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,27.38,index,valid,synthetic_ran_kpi,258,251,3.26,99.9
RAN_KPI-CELL_BLER_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,75.47,index,valid,synthetic_ran_kpi,291,288,4.34,99.9
RAN_KPI-CELL_BLER_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,24.87,index,valid,synthetic_ran_kpi,145,142,1.47,99.9
RAN_KPI-CELL_BLER_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,28.0,index,valid,synthetic_ran_kpi,231,229,2.82,99.9
RAN_KPI-CELL_BLER_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,15.38,index,valid,synthetic_ran_kpi,183,180,6.26,99.9
RAN_KPI-CELL_BLER_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,66.19,index,valid,synthetic_ran_kpi,300,295,3.73,99.9
RAN_KPI-CELL_BLER_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,28.43,index,valid,synthetic_ran_kpi,101,98,3.94,99.9
RAN_KPI-CELL_BLER_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,50.7,index,valid,synthetic_ran_kpi,150,145,1.05,99.9
RAN_KPI-CELL_BLER_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,79.29,index,valid,synthetic_ran_kpi,143,139,7.12,99.9
RAN_KPI-CELL_BLER_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,37.45,index,valid,synthetic_ran_kpi,201,199,6.47,99.9
RAN_KPI-CELL_BLER_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,38.8,index,valid,synthetic_ran_kpi,215,210,5.16,99.9
RAN_KPI-CELL_BLER_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,38.37,index,valid,synthetic_ran_kpi,85,82,1.43,99.9
RAN_KPI-CELL_BLER_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,64.28,index,valid,synthetic_ran_kpi,87,80,7.46,99.9
RAN_KPI-CELL_BLER_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,30.76,index,valid,synthetic_ran_kpi,120,112,4.58,99.9
RAN_KPI-CELL_BLER_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,22.87,index,valid,synthetic_ran_kpi,174,168,7.33,99.9
RAN_KPI-CELL_BLER_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,26.18,index,valid,synthetic_ran_kpi,262,255,5.16,99.9
RAN_KPI-CELL_BLER_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,47.66,index,valid,synthetic_ran_kpi,117,111,3.51,99.9
RAN_KPI-CELL_BLER_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,24.95,index,valid,synthetic_ran_kpi,187,182,1.73,99.9
RAN_KPI-CELL_BLER_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,68.55,index,valid,synthetic_ran_kpi,85,82,1.75,99.9
RAN_KPI-CELL_BLER_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,83.34,index,valid,synthetic_ran_kpi,135,129,5.34,99.9
RAN_KPI-CELL_BLER_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,20.3,index,valid,synthetic_ran_kpi,136,128,1.21,99.9
RAN_KPI-CELL_BLER_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,43.42,index,valid,synthetic_ran_kpi,251,244,3.39,99.9
RAN_KPI-CELL_BLER_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,120.72,index,degraded,synthetic_ran_kpi,155,133,7.31,98.0
RAN_KPI-CELL_BLER_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,46.94,index,valid,synthetic_ran_kpi,263,262,5.05,99.9
RAN_KPI-CELL_BLER_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,84.73,index,valid,synthetic_ran_kpi,171,165,3.09,99.9
RAN_KPI-CELL_BLER_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,82.78,index,valid,synthetic_ran_kpi,138,137,4.78,99.9
RAN_KPI-CELL_BLER_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,72.32,index,valid,synthetic_ran_kpi,166,160,6.03,99.9
RAN_KPI-CELL_BLER_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,58.19,index,valid,synthetic_ran_kpi,229,225,5.05,99.9
RAN_KPI-CELL_BLER_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,21.66,index,valid,synthetic_ran_kpi,112,111,3.83,99.9
RAN_KPI-CELL_BLER_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,36.71,index,valid,synthetic_ran_kpi,216,215,1.92,99.9
RAN_KPI-CELL_BLER_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,65.66,index,valid,synthetic_ran_kpi,179,177,6.05,99.9
RAN_KPI-CELL_BLER_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,73.45,index,valid,synthetic_ran_kpi,280,276,5.26,99.9
RAN_KPI-CELL_BLER_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,51.92,index,valid,synthetic_ran_kpi,275,272,2.43,99.9
RAN_KPI-CELL_BLER_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,74.02,index,valid,synthetic_ran_kpi,176,174,2.38,99.9
RAN_KPI-CELL_BLER_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,59.65,index,valid,synthetic_ran_kpi,159,158,4.61,99.9
RAN_KPI-CELL_BLER_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,49.27,index,valid,synthetic_ran_kpi,263,262,6.51,99.9
RAN_KPI-CELL_BLER_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,25.39,index,valid,synthetic_ran_kpi,104,101,4.6,99.9
RAN_KPI-CELL_BLER_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,37.35,index,valid,synthetic_ran_kpi,252,250,2.99,99.9
RAN_KPI-CELL_BLER_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,69.36,index,valid,synthetic_ran_kpi,233,227,2.6,99.9
RAN_KPI-CELL_BLER_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,27.73,index,valid,synthetic_ran_kpi,134,127,1.46,99.9
RAN_KPI-CELL_BLER_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,29.53,index,valid,synthetic_ran_kpi,243,242,2.75,99.9
RAN_KPI-CELL_BLER_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,78.0,index,valid,synthetic_ran_kpi,127,122,2.36,99.9
RAN_KPI-CELL_BLER_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,81.61,index,valid,synthetic_ran_kpi,98,97,6.77,99.9
RAN_KPI-CELL_BLER_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,55.88,index,valid,synthetic_ran_kpi,138,136,4.01,99.9
RAN_KPI-CELL_BLER_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,20.11,index,valid,synthetic_ran_kpi,176,174,2.01,99.9
RAN_KPI-CELL_BLER_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,36.77,index,valid,synthetic_ran_kpi,217,213,5.51,99.9
RAN_KPI-CELL_BLER_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,37.78,index,valid,synthetic_ran_kpi,266,265,4.06,99.9
RAN_KPI-CELL_BLER_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,57.77,index,valid,synthetic_ran_kpi,103,101,4.41,99.9
RAN_KPI-CELL_BLER_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,76.72,index,valid,synthetic_ran_kpi,84,76,5.68,99.9
