cell_congestion_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_CONGESTION_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,66.89,index,valid,synthetic_ran_kpi,144,142,4.69,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,15.09,index,valid,synthetic_ran_kpi,101,96,4.7,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,70.43,index,valid,synthetic_ran_kpi,136,129,1.13,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,55.68,index,valid,synthetic_ran_kpi,276,275,2.85,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,30.89,index,valid,synthetic_ran_kpi,297,294,1.4,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,44.3,index,valid,synthetic_ran_kpi,218,216,2.59,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,22.16,index,valid,synthetic_ran_kpi,235,230,1.34,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,80.28,index,valid,synthetic_ran_kpi,223,221,4.73,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,81.1,index,valid,synthetic_ran_kpi,253,246,1.09,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,32.43,index,valid,synthetic_ran_kpi,118,114,4.39,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,62.59,index,valid,synthetic_ran_kpi,186,183,4.14,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,61.72,index,valid,synthetic_ran_kpi,263,261,2.09,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,47.8,index,valid,synthetic_ran_kpi,83,76,0.8,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,47.31,index,valid,synthetic_ran_kpi,150,145,7.09,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,33.86,index,valid,synthetic_ran_kpi,219,211,7.17,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,58.85,index,valid,synthetic_ran_kpi,170,165,7.73,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,20.41,index,valid,synthetic_ran_kpi,177,170,2.03,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,35.88,index,valid,synthetic_ran_kpi,107,100,3.99,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,55.08,index,valid,synthetic_ran_kpi,289,284,7.79,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,49.78,index,valid,synthetic_ran_kpi,178,170,1.09,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,25.51,index,valid,synthetic_ran_kpi,166,161,2.49,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,42.21,index,valid,synthetic_ran_kpi,141,140,2.16,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,82.15,index,valid,synthetic_ran_kpi,281,273,3.98,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,25.0,index,valid,synthetic_ran_kpi,133,128,5.47,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,45.64,index,valid,synthetic_ran_kpi,244,238,3.28,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,41.52,index,valid,synthetic_ran_kpi,167,163,3.13,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,65.66,index,valid,synthetic_ran_kpi,249,248,7.56,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,35.71,index,degraded,synthetic_ran_kpi,100,72,0.69,98.0
RAN_KPI-CELL_CONGESTION_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,59.65,index,valid,synthetic_ran_kpi,176,173,7.39,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,61.64,index,valid,synthetic_ran_kpi,141,138,5.05,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,81.0,index,valid,synthetic_ran_kpi,112,106,3.9,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,56.3,index,valid,synthetic_ran_kpi,259,251,2.15,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,68.12,index,valid,synthetic_ran_kpi,299,294,6.05,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,72.79,index,valid,synthetic_ran_kpi,267,264,5.17,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,73.21,index,valid,synthetic_ran_kpi,216,214,2.97,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,33.24,index,valid,synthetic_ran_kpi,209,207,1.29,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,23.77,index,valid,synthetic_ran_kpi,250,246,1.85,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,57.69,index,valid,synthetic_ran_kpi,170,165,7.09,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,69.23,index,valid,synthetic_ran_kpi,99,93,2.29,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,70.86,index,valid,synthetic_ran_kpi,157,151,3.13,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,44.15,index,valid,synthetic_ran_kpi,218,212,2.58,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,80.5,index,valid,synthetic_ran_kpi,249,243,3.62,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,24.41,index,valid,synthetic_ran_kpi,133,128,1.48,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,30.43,index,valid,synthetic_ran_kpi,229,221,5.41,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,35.08,index,valid,synthetic_ran_kpi,253,247,2.55,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,83.96,index,valid,synthetic_ran_kpi,104,97,5.15,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,51.62,index,valid,synthetic_ran_kpi,242,237,7.28,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,38.25,index,valid,synthetic_ran_kpi,215,210,6.14,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,20.84,index,valid,synthetic_ran_kpi,203,201,3.17,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,26.85,index,valid,synthetic_ran_kpi,210,208,7.8,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,27.49,index,valid,synthetic_ran_kpi,272,269,6.86,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,57.59,index,valid,synthetic_ran_kpi,263,257,1.64,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,72.54,index,valid,synthetic_ran_kpi,163,162,2.96,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,81.84,index,valid,synthetic_ran_kpi,291,289,5.74,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,23.56,index,valid,synthetic_ran_kpi,203,199,3.28,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,75.22,index,valid,synthetic_ran_kpi,275,273,7.95,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,44.22,index,valid,synthetic_ran_kpi,181,180,7.7,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,40.49,index,valid,synthetic_ran_kpi,255,252,6.4,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,61.97,index,valid,synthetic_ran_kpi,270,269,0.71,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,70.0,index,valid,synthetic_ran_kpi,156,148,6.61,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,62.63,index,valid,synthetic_ran_kpi,144,143,2.77,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,71.61,index,valid,synthetic_ran_kpi,100,96,7.97,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,16.94,index,valid,synthetic_ran_kpi,272,269,3.33,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,39.52,index,valid,synthetic_ran_kpi,293,292,3.06,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,34.96,index,valid,synthetic_ran_kpi,146,139,0.51,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,36.45,index,valid,synthetic_ran_kpi,261,257,6.23,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,33.41,index,valid,synthetic_ran_kpi,147,146,7.74,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,19.64,index,valid,synthetic_ran_kpi,222,218,4.44,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,38.7,index,valid,synthetic_ran_kpi,198,190,2.46,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,51.74,index,valid,synthetic_ran_kpi,149,141,2.58,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,33.6,index,valid,synthetic_ran_kpi,113,107,6.02,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,68.59,index,valid,synthetic_ran_kpi,193,188,2.49,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,29.73,index,valid,synthetic_ran_kpi,296,291,6.38,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,19.59,index,valid,synthetic_ran_kpi,289,282,6.75,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,77.13,index,valid,synthetic_ran_kpi,150,142,5.73,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,81.96,index,valid,synthetic_ran_kpi,136,132,3.07,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,73.57,index,valid,synthetic_ran_kpi,209,203,4.33,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,72.24,index,valid,synthetic_ran_kpi,266,264,2.33,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,32.44,index,valid,synthetic_ran_kpi,170,169,6.3,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,39.84,index,valid,synthetic_ran_kpi,201,197,1.16,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,76.39,index,valid,synthetic_ran_kpi,282,274,3.61,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,61.74,index,valid,synthetic_ran_kpi,244,239,0.75,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,61.76,index,valid,synthetic_ran_kpi,180,177,2.48,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,22.75,index,valid,synthetic_ran_kpi,193,185,2.28,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,81.62,index,valid,synthetic_ran_kpi,214,212,3.42,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,84.53,index,valid,synthetic_ran_kpi,195,194,0.6,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,46.39,index,valid,synthetic_ran_kpi,149,142,5.89,99.9
