cell_cqi_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_CQI_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,74.47,index,valid,synthetic_ran_kpi,226,223,1.12,99.9
RAN_KPI-CELL_CQI_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,45.97,index,valid,synthetic_ran_kpi,291,287,4.18,99.9
RAN_KPI-CELL_CQI_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,51.25,index,valid,synthetic_ran_kpi,277,269,5.24,99.9
RAN_KPI-CELL_CQI_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,82.94,index,valid,synthetic_ran_kpi,216,215,6.85,99.9
RAN_KPI-CELL_CQI_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,80.64,index,valid,synthetic_ran_kpi,147,142,1.25,99.9
RAN_KPI-CELL_CQI_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,22.43,index,valid,synthetic_ran_kpi,192,191,7.47,99.9
RAN_KPI-CELL_CQI_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,34.13,index,valid,synthetic_ran_kpi,134,127,2.58,99.9
RAN_KPI-CELL_CQI_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,19.88,index,valid,synthetic_ran_kpi,251,246,7.49,99.9
RAN_KPI-CELL_CQI_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,42.6,index,valid,synthetic_ran_kpi,171,165,5.09,99.9
RAN_KPI-CELL_CQI_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,76.31,index,valid,synthetic_ran_kpi,297,289,0.92,99.9
RAN_KPI-CELL_CQI_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,50.07,index,valid,synthetic_ran_kpi,245,239,4.41,99.9
RAN_KPI-CELL_CQI_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,72.93,index,valid,synthetic_ran_kpi,93,90,1.04,99.9
