cell_handover_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_HANDOVER_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,55.35,index,valid,synthetic_ran_kpi,122,119,1.93,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,31.97,index,valid,synthetic_ran_kpi,257,255,3.51,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,19.95,index,valid,synthetic_ran_kpi,228,225,3.51,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,77.0,index,valid,synthetic_ran_kpi,180,176,4.93,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,34.91,index,valid,synthetic_ran_kpi,139,133,4.3,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,22.56,index,valid,synthetic_ran_kpi,108,107,4.8,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,74.29,index,valid,synthetic_ran_kpi,95,90,6.53,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,32.89,index,valid,synthetic_ran_kpi,165,161,4.82,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,66.66,index,valid,synthetic_ran_kpi,225,217,6.44,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,81.26,index,valid,synthetic_ran_kpi,246,242,4.69,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,73.64,index,valid,synthetic_ran_kpi,98,94,0.78,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,22.64,index,valid,synthetic_ran_kpi,212,209,2.28,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,42.91,index,valid,synthetic_ran_kpi,99,92,3.5,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,44.29,index,valid,synthetic_ran_kpi,80,77,7.03,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,58.36,index,valid,synthetic_ran_kpi,131,124,7.75,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,25.09,index,valid,synthetic_ran_kpi,281,279,4.74,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,79.5,index,valid,synthetic_ran_kpi,185,179,7.73,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,51.84,index,valid,synthetic_ran_kpi,216,211,5.19,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,57.86,index,valid,synthetic_ran_kpi,192,185,6.73,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,68.48,index,valid,synthetic_ran_kpi,296,292,0.88,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,41.39,index,valid,synthetic_ran_kpi,119,112,6.51,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,55.68,index,valid,synthetic_ran_kpi,296,290,3.52,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,26.9,index,valid,synthetic_ran_kpi,183,181,5.77,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,67.3,index,valid,synthetic_ran_kpi,164,159,6.74,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,37.16,index,valid,synthetic_ran_kpi,124,116,5.03,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,66.34,index,valid,synthetic_ran_kpi,91,85,2.88,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,42.3,index,valid,synthetic_ran_kpi,230,223,6.01,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,79.46,index,degraded,synthetic_ran_kpi,281,254,7.54,98.0
RAN_KPI-CELL_HANDOVER_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,23.04,index,valid,synthetic_ran_kpi,277,274,3.78,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,63.98,index,valid,synthetic_ran_kpi,185,181,4.12,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,80.91,index,valid,synthetic_ran_kpi,157,152,6.28,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,50.77,index,valid,synthetic_ran_kpi,161,158,5.12,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,19.88,index,valid,synthetic_ran_kpi,124,119,5.7,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,60.12,index,valid,synthetic_ran_kpi,123,121,3.79,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,76.74,index,valid,synthetic_ran_kpi,93,88,4.82,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,64.81,index,valid,synthetic_ran_kpi,134,133,1.78,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,57.92,index,valid,synthetic_ran_kpi,185,183,3.04,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,39.41,index,valid,synthetic_ran_kpi,132,130,5.93,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,28.89,index,valid,synthetic_ran_kpi,274,273,7.83,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,18.08,index,valid,synthetic_ran_kpi,277,276,4.08,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,61.23,index,valid,synthetic_ran_kpi,92,91,7.25,99.9
