cell_id,station_id,province_code,area_code,date_hour,utc_time_ms,availability_pct,dl_traffic_gb,ul_traffic_gb,dl_throughput_mbps,ul_throughput_mbps,rrc_attempt,rrc_success,ho_attempt,ho_success,prb_dl_util_pct,latency_ms,packet_loss_pct,active_users,kpi_quality_flag
CELL010101,ST0101,DBN,KV1,2026-08-18-00,1786986000000,99.48,1.92,0.43,34.56,5.16,89,88,40,37,22.78,17.89,0.08,103,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-01,1786989600000,99.88,1.75,0.5,31.5,6.0,214,212,23,19,19.29,23.54,0.09,103,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-02,1786993200000,99.89,2.06,0.61,37.08,7.32,217,212,36,36,20.77,13.01,0.05,138,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-03,1786996800000,99.79,1.79,0.56,32.22,6.72,196,194,43,39,22.6,24.1,0.11,131,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-04,1787000400000,99.93,1.74,0.4,31.32,4.8,119,113,25,22,13.22,20.78,0.02,150,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-05,1787004000000,99.51,1.32,0.33,23.76,3.96,104,103,43,41,11.3,20.16,0.16,89,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-06,1787007600000,99.62,1.19,0.34,21.42,4.08,116,115,64,63,20.74,18.91,0.19,35,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-07,1787011200000,99.29,3.31,0.85,59.58,10.2,72,66,39,37,35.52,16.98,0.1,97,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-08,1787014800000,99.75,3.06,1.08,55.08,12.96,122,116,33,30,33.46,14.36,0.12,102,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-09,1787018400000,99.98,3.47,0.92,62.46,11.04,119,113,28,26,37.38,12.98,0.09,159,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-10,1787022000000,99.88,2.4,0.89,43.2,10.68,192,186,61,61,36.38,12.97,0.14,43,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-11,1787025600000,99.41,3.47,1.18,62.46,14.16,210,205,50,49,37.32,27.33,0.08,109,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-12,1787029200000,99.22,3.22,1.18,57.96,14.16,105,99,20,19,33.01,13.16,0.14,80,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-13,1787032800000,99.78,3.43,1.06,61.74,12.72,149,143,69,68,34.96,19.13,0.17,128,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-14,1787036400000,99.33,2.67,0.99,48.06,11.88,211,205,30,26,33.15,28.06,0.02,120,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-15,1787040000000,99.8,2.96,0.99,53.28,11.88,100,96,78,76,39.74,28.29,0.11,155,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-16,1787043600000,99.21,2.82,0.93,50.76,11.16,100,95,25,25,41.05,13.9,0.17,106,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-17,1787047200000,99.33,3.35,1.12,60.3,13.44,196,191,42,39,42.04,14.84,0.07,39,normal
