cell_latency_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_LATENCY_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,77.02,index,valid,synthetic_ran_kpi,156,149,5.76,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,81.78,index,valid,synthetic_ran_kpi,219,218,2.18,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,27.76,index,valid,synthetic_ran_kpi,232,229,0.56,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,29.04,index,valid,synthetic_ran_kpi,278,271,6.5,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,43.39,index,valid,synthetic_ran_kpi,226,224,7.62,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,79.94,index,valid,synthetic_ran_kpi,190,184,4.58,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,67.35,index,valid,synthetic_ran_kpi,249,245,7.08,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,41.12,index,valid,synthetic_ran_kpi,235,232,5.74,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,38.41,index,valid,synthetic_ran_kpi,282,276,7.3,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,35.22,index,valid,synthetic_ran_kpi,176,172,1.21,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,79.31,index,valid,synthetic_ran_kpi,147,145,6.68,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,71.28,index,valid,synthetic_ran_kpi,276,274,2.97,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,30.88,index,valid,synthetic_ran_kpi,288,284,3.92,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,74.16,index,valid,synthetic_ran_kpi,119,114,0.57,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,62.44,index,valid,synthetic_ran_kpi,285,281,4.84,99.9
