cell_mcs_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_MCS_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,56.37,index,valid,synthetic_ran_kpi,195,191,4.79,99.9
RAN_KPI-CELL_MCS_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,31.22,index,valid,synthetic_ran_kpi,285,279,1.5,99.9
RAN_KPI-CELL_MCS_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,82.42,index,valid,synthetic_ran_kpi,204,197,6.53,99.9
RAN_KPI-CELL_MCS_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,22.1,index,valid,synthetic_ran_kpi,85,83,0.62,99.9
RAN_KPI-CELL_MCS_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,22.34,index,valid,synthetic_ran_kpi,180,173,5.03,99.9
RAN_KPI-CELL_MCS_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,39.06,index,valid,synthetic_ran_kpi,206,199,1.77,99.9
RAN_KPI-CELL_MCS_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,73.79,index,valid,synthetic_ran_kpi,277,276,7.19,99.9
RAN_KPI-CELL_MCS_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,44.81,index,valid,synthetic_ran_kpi,131,127,2.71,99.9
RAN_KPI-CELL_MCS_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,63.5,index,valid,synthetic_ran_kpi,183,180,5.31,99.9
RAN_KPI-CELL_MCS_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,42.8,index,valid,synthetic_ran_kpi,148,141,4.73,99.9
