cell_mobility_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_MOBILITY_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,79.84,index,valid,synthetic_ran_kpi,116,110,1.92,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,55.21,index,valid,synthetic_ran_kpi,190,188,7.23,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,22.23,index,valid,synthetic_ran_kpi,257,251,5.22,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,68.7,index,valid,synthetic_ran_kpi,87,85,0.84,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,49.18,index,valid,synthetic_ran_kpi,199,193,7.33,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,22.19,index,valid,synthetic_ran_kpi,103,96,1.69,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,79.1,index,valid,synthetic_ran_kpi,280,277,2.8,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,54.55,index,valid,synthetic_ran_kpi,192,190,2.62,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,50.27,index,valid,synthetic_ran_kpi,188,181,7.77,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,35.0,index,valid,synthetic_ran_kpi,217,211,1.63,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,70.25,index,valid,synthetic_ran_kpi,81,78,1.12,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,74.09,index,valid,synthetic_ran_kpi,194,187,5.89,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,39.63,index,valid,synthetic_ran_kpi,258,252,6.38,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,21.89,index,valid,synthetic_ran_kpi,212,207,0.92,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,60.48,index,valid,synthetic_ran_kpi,233,230,3.9,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,55.41,index,valid,synthetic_ran_kpi,271,267,5.1,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,30.92,index,valid,synthetic_ran_kpi,199,195,6.65,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,71.06,index,valid,synthetic_ran_kpi,218,210,6.6,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,66.37,index,valid,synthetic_ran_kpi,255,254,3.9,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,47.5,index,valid,synthetic_ran_kpi,208,203,4.66,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,58.54,index,valid,synthetic_ran_kpi,144,136,1.6,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,71.65,index,valid,synthetic_ran_kpi,219,218,2.38,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,19.63,index,valid,synthetic_ran_kpi,82,80,2.91,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,68.62,index,valid,synthetic_ran_kpi,169,165,1.87,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,24.65,index,valid,synthetic_ran_kpi,211,205,3.68,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,77.88,index,valid,synthetic_ran_kpi,90,87,5.55,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,51.2,index,valid,synthetic_ran_kpi,274,268,2.23,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,104.11,index,degraded,synthetic_ran_kpi,213,191,2.27,98.0
RAN_KPI-CELL_MOBILITY_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,25.07,index,valid,synthetic_ran_kpi,295,291,2.46,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,43.03,index,valid,synthetic_ran_kpi,249,244,7.1,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,45.02,index,valid,synthetic_ran_kpi,281,275,6.11,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,25.45,index,valid,synthetic_ran_kpi,254,247,4.21,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,49.5,index,valid,synthetic_ran_kpi,271,266,4.54,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,36.08,index,valid,synthetic_ran_kpi,184,179,7.68,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,34.03,index,valid,synthetic_ran_kpi,237,229,3.18,99.9
