cell_modulation_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_MODULATION_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,83.37,index,valid,synthetic_ran_kpi,126,124,3.98,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,55.17,index,valid,synthetic_ran_kpi,239,235,5.55,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,72.69,index,valid,synthetic_ran_kpi,276,269,7.65,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,48.86,index,valid,synthetic_ran_kpi,170,163,1.79,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,69.78,index,valid,synthetic_ran_kpi,187,182,1.51,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,67.44,index,valid,synthetic_ran_kpi,130,126,2.1,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,32.17,index,valid,synthetic_ran_kpi,237,234,1.75,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,51.47,index,valid,synthetic_ran_kpi,222,219,6.07,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,82.58,index,valid,synthetic_ran_kpi,235,231,6.69,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,61.61,index,valid,synthetic_ran_kpi,237,232,3.29,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,75.82,index,valid,synthetic_ran_kpi,227,223,2.48,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,74.26,index,valid,synthetic_ran_kpi,154,148,5.08,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,55.13,index,valid,synthetic_ran_kpi,126,121,5.15,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,55.6,index,valid,synthetic_ran_kpi,288,283,2.92,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,32.25,index,valid,synthetic_ran_kpi,110,104,3.91,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,46.47,index,valid,synthetic_ran_kpi,287,283,1.85,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,82.91,index,valid,synthetic_ran_kpi,205,201,3.33,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,53.36,index,valid,synthetic_ran_kpi,218,211,2.21,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,46.52,index,valid,synthetic_ran_kpi,146,138,6.07,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,73.88,index,valid,synthetic_ran_kpi,259,254,3.27,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,27.29,index,valid,synthetic_ran_kpi,100,92,5.43,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,73.87,index,valid,synthetic_ran_kpi,186,183,3.58,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,36.46,index,valid,synthetic_ran_kpi,240,236,1.58,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,19.91,index,valid,synthetic_ran_kpi,135,130,1.3,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,59.49,index,valid,synthetic_ran_kpi,175,173,7.94,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,29.82,index,valid,synthetic_ran_kpi,265,258,3.25,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,81.51,index,valid,synthetic_ran_kpi,108,102,4.34,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,61.18,index,degraded,synthetic_ran_kpi,196,172,0.67,98.0
RAN_KPI-CELL_MODULATION_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,69.8,index,valid,synthetic_ran_kpi,171,164,7.83,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,35.93,index,valid,synthetic_ran_kpi,204,201,1.62,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,29.5,index,valid,synthetic_ran_kpi,242,236,2.92,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,66.34,index,valid,synthetic_ran_kpi,283,276,0.87,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,84.89,index,valid,synthetic_ran_kpi,110,109,3.35,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,38.26,index,valid,synthetic_ran_kpi,197,190,1.08,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,59.28,index,valid,synthetic_ran_kpi,127,119,1.59,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,28.27,index,valid,synthetic_ran_kpi,231,226,2.42,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,19.55,index,valid,synthetic_ran_kpi,92,90,3.37,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,36.35,index,valid,synthetic_ran_kpi,215,214,6.8,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,18.3,index,valid,synthetic_ran_kpi,124,121,6.29,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,80.97,index,valid,synthetic_ran_kpi,275,271,5.94,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,50.03,index,valid,synthetic_ran_kpi,248,244,6.74,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,56.01,index,valid,synthetic_ran_kpi,282,277,5.31,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,39.77,index,valid,synthetic_ran_kpi,170,166,2.36,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,30.84,index,valid,synthetic_ran_kpi,280,276,6.98,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,75.23,index,valid,synthetic_ran_kpi,219,211,5.21,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,65.47,index,valid,synthetic_ran_kpi,231,228,0.77,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,72.22,index,valid,synthetic_ran_kpi,211,205,6.42,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,59.71,index,valid,synthetic_ran_kpi,124,120,4.98,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,84.2,index,valid,synthetic_ran_kpi,119,113,2.87,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,77.28,index,valid,synthetic_ran_kpi,177,171,6.87,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,22.17,index,valid,synthetic_ran_kpi,84,77,4.69,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,79.19,index,valid,synthetic_ran_kpi,168,166,6.08,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,66.34,index,valid,synthetic_ran_kpi,151,144,7.57,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,82.13,index,valid,synthetic_ran_kpi,205,202,0.6,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,42.44,index,valid,synthetic_ran_kpi,172,171,2.49,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,51.15,index,valid,synthetic_ran_kpi,129,122,3.62,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,22.7,index,valid,synthetic_ran_kpi,190,188,4.87,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,60.55,index,valid,synthetic_ran_kpi,116,112,2.06,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,80.11,index,valid,synthetic_ran_kpi,137,132,4.73,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,45.02,index,valid,synthetic_ran_kpi,106,102,2.16,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,77.95,index,valid,synthetic_ran_kpi,251,250,5.63,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,65.83,index,valid,synthetic_ran_kpi,263,256,0.54,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,52.82,index,valid,synthetic_ran_kpi,280,276,7.17,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,52.07,index,valid,synthetic_ran_kpi,136,135,6.3,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,83.22,index,valid,synthetic_ran_kpi,123,120,7.7,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,32.58,index,valid,synthetic_ran_kpi,144,140,6.51,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,55.19,index,valid,synthetic_ran_kpi,166,159,2.58,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,60.21,index,valid,synthetic_ran_kpi,166,164,4.89,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,58.38,index,valid,synthetic_ran_kpi,138,134,7.05,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,41.99,index,valid,synthetic_ran_kpi,167,159,1.6,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,80.76,index,valid,synthetic_ran_kpi,97,91,3.8,99.9
RAN_KPI-CELL_MODULATION_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,77.92,index,valid,synthetic_ran_kpi,201,193,5.5,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,23.3,index,valid,synthetic_ran_kpi,109,106,3.27,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,29.89,index,valid,synthetic_ran_kpi,186,181,4.26,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,20.14,index,valid,synthetic_ran_kpi,196,194,2.71,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,44.63,index,valid,synthetic_ran_kpi,116,108,6.82,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,46.42,index,valid,synthetic_ran_kpi,275,273,4.38,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,55.41,index,valid,synthetic_ran_kpi,155,151,2.53,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,74.79,index,valid,synthetic_ran_kpi,300,294,4.02,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,47.82,index,valid,synthetic_ran_kpi,293,292,5.03,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,16.89,index,valid,synthetic_ran_kpi,104,97,2.83,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,28.85,index,valid,synthetic_ran_kpi,116,111,7.78,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,60.85,index,valid,synthetic_ran_kpi,292,284,4.84,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,54.02,index,valid,synthetic_ran_kpi,166,163,3.88,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,65.94,index,valid,synthetic_ran_kpi,226,218,4.11,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,65.76,index,valid,synthetic_ran_kpi,212,204,6.13,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,55.1,index,valid,synthetic_ran_kpi,90,84,4.07,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,54.64,index,valid,synthetic_ran_kpi,217,212,3.62,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,34.57,index,valid,synthetic_ran_kpi,99,92,2.9,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,41.64,index,valid,synthetic_ran_kpi,98,92,7.74,99.9
