cell_packet_loss_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,41.29,index,valid,synthetic_ran_kpi,258,255,2.21,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,56.76,index,valid,synthetic_ran_kpi,140,137,7.27,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,54.29,index,valid,synthetic_ran_kpi,265,262,3.57,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,61.11,index,valid,synthetic_ran_kpi,262,254,2.27,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,43.62,index,valid,synthetic_ran_kpi,280,279,0.66,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,68.64,index,valid,synthetic_ran_kpi,95,90,3.92,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,78.6,index,valid,synthetic_ran_kpi,219,215,6.34,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,72.39,index,valid,synthetic_ran_kpi,139,137,1.01,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,66.68,index,valid,synthetic_ran_kpi,137,136,2.98,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,38.18,index,valid,synthetic_ran_kpi,212,207,4.64,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,78.38,index,valid,synthetic_ran_kpi,227,226,7.61,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,55.91,index,valid,synthetic_ran_kpi,230,222,5.91,99.9
