cell_prb_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_PRB_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,35.71,index,valid,synthetic_ran_kpi,236,234,5.13,99.9
RAN_KPI-CELL_PRB_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,50.47,index,valid,synthetic_ran_kpi,257,250,2.19,99.9
RAN_KPI-CELL_PRB_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,17.24,index,valid,synthetic_ran_kpi,236,232,7.55,99.9
RAN_KPI-CELL_PRB_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,53.63,index,valid,synthetic_ran_kpi,200,196,6.55,99.9
RAN_KPI-CELL_PRB_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,61.39,index,valid,synthetic_ran_kpi,294,292,7.77,99.9
RAN_KPI-CELL_PRB_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,68.01,index,valid,synthetic_ran_kpi,218,214,0.57,99.9
RAN_KPI-CELL_PRB_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,33.2,index,valid,synthetic_ran_kpi,92,88,3.37,99.9
RAN_KPI-CELL_PRB_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,82.73,index,valid,synthetic_ran_kpi,145,139,3.73,99.9
RAN_KPI-CELL_PRB_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,70.85,index,valid,synthetic_ran_kpi,97,92,3.12,99.9
RAN_KPI-CELL_PRB_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,67.42,index,valid,synthetic_ran_kpi,240,235,4.05,99.9
RAN_KPI-CELL_PRB_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,65.45,index,valid,synthetic_ran_kpi,159,157,4.39,99.9
RAN_KPI-CELL_PRB_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,19.53,index,valid,synthetic_ran_kpi,192,185,5.39,99.9
RAN_KPI-CELL_PRB_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,56.15,index,valid,synthetic_ran_kpi,243,239,1.85,99.9
RAN_KPI-CELL_PRB_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,25.38,index,valid,synthetic_ran_kpi,97,96,3.38,99.9
RAN_KPI-CELL_PRB_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,18.63,index,valid,synthetic_ran_kpi,262,254,1.12,99.9
RAN_KPI-CELL_PRB_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,55.79,index,valid,synthetic_ran_kpi,181,175,7.66,99.9
RAN_KPI-CELL_PRB_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,38.69,index,valid,synthetic_ran_kpi,91,88,3.12,99.9
RAN_KPI-CELL_PRB_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,36.74,index,valid,synthetic_ran_kpi,124,121,5.18,99.9
RAN_KPI-CELL_PRB_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,64.53,index,valid,synthetic_ran_kpi,163,155,3.34,99.9
RAN_KPI-CELL_PRB_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,72.02,index,valid,synthetic_ran_kpi,145,139,7.87,99.9
RAN_KPI-CELL_PRB_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,32.9,index,valid,synthetic_ran_kpi,138,131,0.78,99.9
RAN_KPI-CELL_PRB_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,31.62,index,valid,synthetic_ran_kpi,132,127,6.1,99.9
RAN_KPI-CELL_PRB_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,32.39,index,valid,synthetic_ran_kpi,206,205,3.75,99.9
RAN_KPI-CELL_PRB_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,70.78,index,valid,synthetic_ran_kpi,114,113,3.37,99.9
RAN_KPI-CELL_PRB_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,71.58,index,valid,synthetic_ran_kpi,88,87,2.02,99.9
