cell_rach_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_RACH_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,50.46,index,valid,synthetic_ran_kpi,206,205,7.97,99.9
RAN_KPI-CELL_RACH_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,39.94,index,valid,synthetic_ran_kpi,294,286,5.86,99.9
RAN_KPI-CELL_RACH_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,28.17,index,valid,synthetic_ran_kpi,189,184,6.58,99.9
RAN_KPI-CELL_RACH_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,36.22,index,valid,synthetic_ran_kpi,101,99,3.21,99.9
RAN_KPI-CELL_RACH_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,72.97,index,valid,synthetic_ran_kpi,105,98,5.24,99.9
RAN_KPI-CELL_RACH_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,64.66,index,valid,synthetic_ran_kpi,129,124,5.07,99.9
RAN_KPI-CELL_RACH_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,55.67,index,valid,synthetic_ran_kpi,187,183,0.62,99.9
RAN_KPI-CELL_RACH_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,56.88,index,valid,synthetic_ran_kpi,155,148,7.91,99.9
RAN_KPI-CELL_RACH_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,56.84,index,valid,synthetic_ran_kpi,282,276,0.73,99.9
RAN_KPI-CELL_RACH_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,79.92,index,valid,synthetic_ran_kpi,130,125,3.91,99.9
