cell_retention_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_RETENTION_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,81.85,index,valid,synthetic_ran_kpi,130,128,4.24,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,47.99,index,valid,synthetic_ran_kpi,248,243,5.48,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,57.55,index,valid,synthetic_ran_kpi,81,77,1.29,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,46.61,index,valid,synthetic_ran_kpi,89,85,7.53,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,55.87,index,valid,synthetic_ran_kpi,226,221,6.51,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,54.29,index,valid,synthetic_ran_kpi,128,122,2.7,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,49.95,index,valid,synthetic_ran_kpi,106,99,4.07,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,46.37,index,valid,synthetic_ran_kpi,266,259,3.85,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,37.17,index,valid,synthetic_ran_kpi,146,141,2.89,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,52.1,index,valid,synthetic_ran_kpi,249,241,1.3,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,33.89,index,valid,synthetic_ran_kpi,181,178,7.99,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,47.84,index,valid,synthetic_ran_kpi,263,262,0.63,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,71.51,index,valid,synthetic_ran_kpi,86,79,1.49,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,24.78,index,valid,synthetic_ran_kpi,126,123,1.55,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,69.53,index,valid,synthetic_ran_kpi,83,76,2.93,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,44.6,index,valid,synthetic_ran_kpi,238,233,5.76,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,84.52,index,valid,synthetic_ran_kpi,140,137,5.78,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,42.33,index,valid,synthetic_ran_kpi,233,228,3.04,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,79.71,index,valid,synthetic_ran_kpi,103,96,0.86,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,28.76,index,valid,synthetic_ran_kpi,103,100,7.84,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,32.87,index,valid,synthetic_ran_kpi,100,98,4.54,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,56.73,index,valid,synthetic_ran_kpi,191,186,7.78,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,32.45,index,valid,synthetic_ran_kpi,211,204,3.16,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,59.74,index,valid,synthetic_ran_kpi,262,255,6.24,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,20.68,index,valid,synthetic_ran_kpi,165,162,4.55,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,57.95,index,valid,synthetic_ran_kpi,216,209,6.53,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,60.36,index,valid,synthetic_ran_kpi,203,202,4.1,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,31.65,index,degraded,synthetic_ran_kpi,243,220,6.82,98.0
RAN_KPI-CELL_RETENTION_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,35.26,index,valid,synthetic_ran_kpi,234,227,7.98,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,40.86,index,valid,synthetic_ran_kpi,164,158,5.02,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,36.8,index,valid,synthetic_ran_kpi,274,271,4.06,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,44.16,index,valid,synthetic_ran_kpi,196,193,5.04,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,35.0,index,valid,synthetic_ran_kpi,215,209,0.89,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,16.64,index,valid,synthetic_ran_kpi,90,86,2.27,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,69.9,index,valid,synthetic_ran_kpi,256,251,4.97,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,39.24,index,valid,synthetic_ran_kpi,215,211,4.38,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,32.59,index,valid,synthetic_ran_kpi,254,253,1.8,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,53.79,index,valid,synthetic_ran_kpi,196,189,6.31,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,73.3,index,valid,synthetic_ran_kpi,113,105,7.01,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,50.97,index,valid,synthetic_ran_kpi,133,127,4.58,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,25.13,index,valid,synthetic_ran_kpi,147,140,7.39,99.9
