cell_rrc_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_RRC_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,84.84,index,valid,synthetic_ran_kpi,208,206,3.49,99.9
RAN_KPI-CELL_RRC_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,29.67,index,valid,synthetic_ran_kpi,199,191,3.37,99.9
RAN_KPI-CELL_RRC_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,50.9,index,valid,synthetic_ran_kpi,237,235,6.51,99.9
RAN_KPI-CELL_RRC_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,68.36,index,valid,synthetic_ran_kpi,103,101,0.7,99.9
RAN_KPI-CELL_RRC_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,35.07,index,valid,synthetic_ran_kpi,158,155,4.16,99.9
RAN_KPI-CELL_RRC_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,24.32,index,valid,synthetic_ran_kpi,139,137,4.13,99.9
RAN_KPI-CELL_RRC_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,79.09,index,valid,synthetic_ran_kpi,206,202,4.34,99.9
RAN_KPI-CELL_RRC_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,46.82,index,valid,synthetic_ran_kpi,98,90,6.49,99.9
RAN_KPI-CELL_RRC_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,31.78,index,valid,synthetic_ran_kpi,202,195,3.72,99.9
RAN_KPI-CELL_RRC_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,29.29,index,valid,synthetic_ran_kpi,260,253,7.78,99.9
RAN_KPI-CELL_RRC_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,29.59,index,valid,synthetic_ran_kpi,188,186,2.84,99.9
RAN_KPI-CELL_RRC_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,31.06,index,valid,synthetic_ran_kpi,87,85,3.88,99.9
RAN_KPI-CELL_RRC_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,56.39,index,valid,synthetic_ran_kpi,231,228,2.34,99.9
RAN_KPI-CELL_RRC_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,60.48,index,valid,synthetic_ran_kpi,225,218,4.54,99.9
RAN_KPI-CELL_RRC_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,23.65,index,valid,synthetic_ran_kpi,218,214,1.61,99.9
RAN_KPI-CELL_RRC_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,74.63,index,valid,synthetic_ran_kpi,231,223,3.18,99.9
RAN_KPI-CELL_RRC_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,53.55,index,valid,synthetic_ran_kpi,282,274,1.43,99.9
RAN_KPI-CELL_RRC_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,22.24,index,valid,synthetic_ran_kpi,155,147,4.29,99.9
RAN_KPI-CELL_RRC_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,64.19,index,valid,synthetic_ran_kpi,211,208,2.96,99.9
RAN_KPI-CELL_RRC_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,59.97,index,valid,synthetic_ran_kpi,148,145,5.54,99.9
RAN_KPI-CELL_RRC_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,69.66,index,valid,synthetic_ran_kpi,117,111,1.05,99.9
RAN_KPI-CELL_RRC_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,50.18,index,valid,synthetic_ran_kpi,252,248,1.08,99.9
RAN_KPI-CELL_RRC_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,79.47,index,valid,synthetic_ran_kpi,171,163,2.94,99.9
RAN_KPI-CELL_RRC_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,51.96,index,valid,synthetic_ran_kpi,153,148,7.01,99.9
RAN_KPI-CELL_RRC_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,72.5,index,valid,synthetic_ran_kpi,89,82,4.93,99.9
RAN_KPI-CELL_RRC_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,74.87,index,valid,synthetic_ran_kpi,173,168,6.23,99.9
RAN_KPI-CELL_RRC_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,18.17,index,valid,synthetic_ran_kpi,144,138,1.99,99.9
