cell_sinr_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_SINR_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,81.34,index,valid,synthetic_ran_kpi,277,270,5.68,99.9
RAN_KPI-CELL_SINR_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,71.52,index,valid,synthetic_ran_kpi,87,84,6.37,99.9
RAN_KPI-CELL_SINR_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,59.38,index,valid,synthetic_ran_kpi,180,172,1.84,99.9
RAN_KPI-CELL_SINR_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,46.53,index,valid,synthetic_ran_kpi,141,134,5.05,99.9
RAN_KPI-CELL_SINR_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,36.02,index,valid,synthetic_ran_kpi,180,175,2.03,99.9
RAN_KPI-CELL_SINR_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,62.43,index,valid,synthetic_ran_kpi,198,194,1.06,99.9
RAN_KPI-CELL_SINR_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,39.91,index,valid,synthetic_ran_kpi,250,243,5.23,99.9
RAN_KPI-CELL_SINR_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,44.87,index,valid,synthetic_ran_kpi,119,112,6.42,99.9
RAN_KPI-CELL_SINR_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,36.98,index,valid,synthetic_ran_kpi,260,254,2.03,99.9
RAN_KPI-CELL_SINR_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,30.56,index,valid,synthetic_ran_kpi,224,218,2.73,99.9
RAN_KPI-CELL_SINR_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,80.09,index,valid,synthetic_ran_kpi,208,202,5.1,99.9
