cell_throughput_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,69.63,index,valid,synthetic_ran_kpi,95,88,6.57,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,50.41,index,valid,synthetic_ran_kpi,151,146,6.19,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,66.5,index,valid,synthetic_ran_kpi,151,144,7.56,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,42.64,index,valid,synthetic_ran_kpi,264,256,7.02,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,42.3,index,valid,synthetic_ran_kpi,81,75,6.75,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,51.75,index,valid,synthetic_ran_kpi,184,183,4.28,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,36.11,index,valid,synthetic_ran_kpi,277,271,2.71,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,46.62,index,valid,synthetic_ran_kpi,108,100,1.79,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,77.98,index,valid,synthetic_ran_kpi,157,152,5.48,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,36.68,index,valid,synthetic_ran_kpi,155,154,5.42,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,57.1,index,valid,synthetic_ran_kpi,200,198,2.51,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,61.82,index,valid,synthetic_ran_kpi,157,150,3.31,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,23.72,index,valid,synthetic_ran_kpi,256,254,7.09,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,75.36,index,valid,synthetic_ran_kpi,297,295,3.94,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,83.0,index,valid,synthetic_ran_kpi,219,217,7.97,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,81.25,index,valid,synthetic_ran_kpi,264,261,4.7,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,46.6,index,valid,synthetic_ran_kpi,178,176,6.21,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,59.27,index,valid,synthetic_ran_kpi,161,154,7.53,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,64.13,index,valid,synthetic_ran_kpi,127,124,2.25,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,74.88,index,valid,synthetic_ran_kpi,131,129,1.39,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,72.29,index,valid,synthetic_ran_kpi,159,155,1.12,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,46.06,index,valid,synthetic_ran_kpi,116,112,2.28,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,25.4,index,valid,synthetic_ran_kpi,258,250,7.0,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,28.85,index,valid,synthetic_ran_kpi,135,129,4.68,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,80.77,index,valid,synthetic_ran_kpi,80,77,2.92,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,46.57,index,valid,synthetic_ran_kpi,85,78,6.91,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,64.46,index,valid,synthetic_ran_kpi,95,92,5.91,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,100.38,index,degraded,synthetic_ran_kpi,105,82,7.4,98.0
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,65.64,index,valid,synthetic_ran_kpi,83,78,5.2,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,49.94,index,valid,synthetic_ran_kpi,271,266,6.36,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,82.66,index,valid,synthetic_ran_kpi,148,145,6.56,99.9
