cell_traffic_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_TRAFFIC_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,69.77,index,valid,synthetic_ran_kpi,284,282,4.52,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,26.24,index,valid,synthetic_ran_kpi,117,115,7.64,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,26.0,index,valid,synthetic_ran_kpi,155,151,7.98,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,23.98,index,valid,synthetic_ran_kpi,289,287,0.61,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,46.25,index,valid,synthetic_ran_kpi,243,235,1.42,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,57.23,index,valid,synthetic_ran_kpi,236,231,2.25,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,60.36,index,valid,synthetic_ran_kpi,125,124,4.12,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,52.8,index,valid,synthetic_ran_kpi,261,258,4.94,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,84.18,index,valid,synthetic_ran_kpi,110,102,6.31,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,45.07,index,valid,synthetic_ran_kpi,221,216,4.77,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,39.12,index,valid,synthetic_ran_kpi,205,203,1.82,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,42.81,index,valid,synthetic_ran_kpi,229,222,6.15,99.9
