cell_users_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_USERS_HOURLY-00-00,CELL010101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,80.35,index,valid,synthetic_ran_kpi,155,152,1.51,99.9
RAN_KPI-CELL_USERS_HOURLY-00-01,CELL010101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,58.13,index,valid,synthetic_ran_kpi,178,174,3.84,99.9
RAN_KPI-CELL_USERS_HOURLY-00-02,CELL010101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,72.05,index,valid,synthetic_ran_kpi,249,248,5.65,99.9
RAN_KPI-CELL_USERS_HOURLY-00-03,CELL010101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,15.45,index,valid,synthetic_ran_kpi,96,88,2.23,99.9
RAN_KPI-CELL_USERS_HOURLY-00-04,CELL010101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,49.53,index,valid,synthetic_ran_kpi,91,90,5.14,99.9
RAN_KPI-CELL_USERS_HOURLY-00-05,CELL010101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,83.63,index,valid,synthetic_ran_kpi,131,125,1.49,99.9
RAN_KPI-CELL_USERS_HOURLY-00-06,CELL010101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,56.83,index,valid,synthetic_ran_kpi,288,287,3.56,99.9
RAN_KPI-CELL_USERS_HOURLY-00-07,CELL010101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,45.61,index,valid,synthetic_ran_kpi,293,286,2.18,99.9
RAN_KPI-CELL_USERS_HOURLY-00-08,CELL010101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,24.12,index,valid,synthetic_ran_kpi,257,252,6.4,99.9
RAN_KPI-CELL_USERS_HOURLY-00-09,CELL010101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,44.18,index,valid,synthetic_ran_kpi,245,242,6.67,99.9
RAN_KPI-CELL_USERS_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,38.66,index,valid,synthetic_ran_kpi,137,130,4.2,99.9
RAN_KPI-CELL_USERS_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,18.42,index,valid,synthetic_ran_kpi,172,170,2.82,99.9
RAN_KPI-CELL_USERS_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,40.57,index,valid,synthetic_ran_kpi,251,247,6.27,99.9
RAN_KPI-CELL_USERS_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,80.88,index,valid,synthetic_ran_kpi,288,281,3.91,99.9
RAN_KPI-CELL_USERS_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,28.59,index,valid,synthetic_ran_kpi,157,151,6.11,99.9
RAN_KPI-CELL_USERS_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,73.38,index,valid,synthetic_ran_kpi,232,227,7.44,99.9
RAN_KPI-CELL_USERS_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,25.55,index,valid,synthetic_ran_kpi,210,207,2.66,99.9
RAN_KPI-CELL_USERS_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,82.77,index,valid,synthetic_ran_kpi,281,280,6.4,99.9
RAN_KPI-CELL_USERS_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,71.17,index,valid,synthetic_ran_kpi,216,208,2.49,99.9
RAN_KPI-CELL_USERS_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,36.64,index,valid,synthetic_ran_kpi,277,275,4.21,99.9
RAN_KPI-CELL_USERS_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,22.84,index,valid,synthetic_ran_kpi,294,291,7.54,99.9
RAN_KPI-CELL_USERS_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,75.54,index,valid,synthetic_ran_kpi,229,222,5.35,99.9
