from_table,primary_key,from_column,to_table,to_column,cardinality,basis
geo.area,area_code,country_code,geo.country,country_code,many_to_one,synthetic_core
geo.province,province_code,area_code,geo.area,area_code,many_to_one,synthetic_core
geo.province,province_code,country_code,geo.country,country_code,many_to_one,synthetic_core
geo.district,district_code,province_code,geo.province,province_code,many_to_one,synthetic_core
geo.ward,ward_code,district_code,geo.district,district_code,many_to_one,synthetic_core
geo.village,village_code,ward_code,geo.ward,ward_code,many_to_one,synthetic_core
geo.location,location_id,country_code,geo.country,country_code,many_to_one,synthetic_core
geo.location,location_id,area_code,geo.area,area_code,many_to_one,synthetic_core
geo.location,location_id,province_code,geo.province,province_code,many_to_one,synthetic_core
geo.location,location_id,district_code,geo.district,district_code,many_to_one,synthetic_core
aaa.ftth_account_pppoe,account_id,customer_id,customer.subscriber,customer_id,many_to_one,synthetic_core
aaa.ftth_account_pppoe,account_id,plan_id,product.plan,plan_id,many_to_one,synthetic_core
aaa.authentication,auth_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_core
aaa.accounting,accounting_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_core
aaa.accounting,accounting_id,session_id,aaa.authentication,session_id,many_to_one,synthetic_core
aaa.access_event,event_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_core
aaa.access_event,event_id,customer_id,customer.subscriber,customer_id,many_to_one,synthetic_core
aaa.access_event,event_id,device_id,acs.device_info,device_id,many_to_one,synthetic_core
aam.kpi_aam_daily_tlgd,kpi_id,province_code,geo.province,province_code,many_to_one,synthetic_core
acs.device_info,device_id,customer_id,customer.subscriber,customer_id,many_to_one,synthetic_core
acs.device_info,device_id,account_id,aaa.ftth_account_pppoe,account_id,many_to_one,synthetic_core
acs.device_info,device_id,station_id,inventory.station,station_id,many_to_one,synthetic_core
acs.f_uptime,uptime_id,device_id,acs.device_info,device_id,many_to_one,synthetic_core
acs.f_uptime,uptime_id,station_id,inventory.station,station_id,many_to_one,synthetic_core
acs.g_uptime,ne_id+date_hour,ne_id,acs.device_info,ne_id,many_to_one,synthetic_core
acs.f_wifi,wifi_id,device_id,acs.device_info,device_id,many_to_one,synthetic_core
inventory.station,station_id,location_id,geo.location,location_id,many_to_one,synthetic_core
ran.cell,cell_id,station_id,inventory.station,station_id,many_to_one,synthetic_core
ran_kpi.cell_hourly,cell_id+date_hour,cell_id,ran.cell,cell_id,many_to_one,synthetic_core
ran_kpi.cell_hourly,cell_id+date_hour,station_id,inventory.station,station_id,many_to_one,synthetic_core
transport.link_hourly,link_id+date_hour,from_station_id,inventory.station,station_id,many_to_one,synthetic_core
transport.link_hourly,link_id+date_hour,to_station_id,inventory.station,station_id,many_to_one,synthetic_core
core.gateway_hourly,gateway_id+date_hour,province_code,geo.province,province_code,many_to_one,synthetic_core
qos.service_hourly,service_id+plan_id+province_code+date_hour,plan_id,product.plan,plan_id,many_to_one,synthetic_core
qos.service_hourly,service_id+plan_id+province_code+date_hour,province_code,geo.province,province_code,many_to_one,synthetic_core
fault.alarm,alarm_id,entity_id,ran.cell,cell_id,many_to_one,synthetic_core
fault.alarm,alarm_id,station_id,inventory.station,station_id,many_to_one,synthetic_core
fault.alarm,alarm_id,ticket_id,ops.ticket,ticket_id,many_to_one,synthetic_core
