activation_event_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-ACTIVATION_EVENT-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,244,239,25,24.94
SERVICE-ACTIVATION_EVENT-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,294,293,98,27.53
SERVICE-ACTIVATION_EVENT-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,121,120,80,24.9
SERVICE-ACTIVATION_EVENT-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,ACTIVATION_EVENT,major,failed,3600,synthetic_service,263,262,53,16.79
SERVICE-ACTIVATION_EVENT-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,178,176,77,31.19
SERVICE-ACTIVATION_EVENT-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,225,223,93,14.42
SERVICE-ACTIVATION_EVENT-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,300,298,56,6.79
SERVICE-ACTIVATION_EVENT-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,210,206,29,31.43
SERVICE-ACTIVATION_EVENT-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,149,146,79,29.58
SERVICE-ACTIVATION_EVENT-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,252,249,56,28.8
SERVICE-ACTIVATION_EVENT-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,220,216,33,33.43
SERVICE-ACTIVATION_EVENT-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,69,67,27,27.18
SERVICE-ACTIVATION_EVENT-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,84,79,79,28.82
SERVICE-ACTIVATION_EVENT-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,ACTIVATION_EVENT,major,failed,3600,synthetic_service,75,73,68,28.33
SERVICE-ACTIVATION_EVENT-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,133,132,80,8.12
SERVICE-ACTIVATION_EVENT-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,167,165,51,32.77
SERVICE-ACTIVATION_EVENT-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,223,222,23,28.56
SERVICE-ACTIVATION_EVENT-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,187,183,97,10.93
SERVICE-ACTIVATION_EVENT-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,146,144,67,19.65
SERVICE-ACTIVATION_EVENT-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,113,112,57,26.86
SERVICE-ACTIVATION_EVENT-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,268,265,51,31.38
SERVICE-ACTIVATION_EVENT-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,199,197,61,11.9
SERVICE-ACTIVATION_EVENT-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,82,80,20,34.69
SERVICE-ACTIVATION_EVENT-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,148,144,54,9.88
SERVICE-ACTIVATION_EVENT-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,117,114,43,15.88
SERVICE-ACTIVATION_EVENT-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,156,155,100,27.65
SERVICE-ACTIVATION_EVENT-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,287,283,24,25.04
SERVICE-ACTIVATION_EVENT-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,92,91,60,18.27
SERVICE-ACTIVATION_EVENT-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,232,231,91,25.33
SERVICE-ACTIVATION_EVENT-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,145,143,58,26.21
SERVICE-ACTIVATION_EVENT-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,222,218,73,23.76
SERVICE-ACTIVATION_EVENT-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,289,288,43,27.95
SERVICE-ACTIVATION_EVENT-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,155,151,66,8.18
SERVICE-ACTIVATION_EVENT-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,65,60,55,23.0
SERVICE-ACTIVATION_EVENT-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,120,119,71,27.72
