order_item_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-ORDER_ITEM-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,ORDER_ITEM,info,success,60,synthetic_service,153,151,23,30.18
SERVICE-ORDER_ITEM-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,ORDER_ITEM,info,success,60,synthetic_service,77,72,40,29.51
SERVICE-ORDER_ITEM-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,ORDER_ITEM,info,success,60,synthetic_service,76,72,76,20.64
SERVICE-ORDER_ITEM-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,ORDER_ITEM,major,failed,3600,synthetic_service,222,219,58,18.9
SERVICE-ORDER_ITEM-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,ORDER_ITEM,info,success,60,synthetic_service,149,145,21,12.41
SERVICE-ORDER_ITEM-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,ORDER_ITEM,info,success,60,synthetic_service,145,143,100,10.79
SERVICE-ORDER_ITEM-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,ORDER_ITEM,info,success,60,synthetic_service,72,67,88,14.66
SERVICE-ORDER_ITEM-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,ORDER_ITEM,info,success,60,synthetic_service,237,235,50,26.95
SERVICE-ORDER_ITEM-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,ORDER_ITEM,info,success,60,synthetic_service,157,153,65,7.42
SERVICE-ORDER_ITEM-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,ORDER_ITEM,info,success,60,synthetic_service,186,181,50,14.31
SERVICE-ORDER_ITEM-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,ORDER_ITEM,info,success,60,synthetic_service,119,117,28,14.69
SERVICE-ORDER_ITEM-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,ORDER_ITEM,info,success,60,synthetic_service,76,71,85,18.21
SERVICE-ORDER_ITEM-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,ORDER_ITEM,info,success,60,synthetic_service,124,120,57,13.47
SERVICE-ORDER_ITEM-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,ORDER_ITEM,major,failed,3600,synthetic_service,291,289,46,15.81
SERVICE-ORDER_ITEM-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,ORDER_ITEM,info,success,60,synthetic_service,112,109,31,5.87
SERVICE-ORDER_ITEM-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,ORDER_ITEM,info,success,60,synthetic_service,185,182,30,15.16
SERVICE-ORDER_ITEM-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,ORDER_ITEM,info,success,60,synthetic_service,68,67,51,17.14
SERVICE-ORDER_ITEM-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,ORDER_ITEM,info,success,60,synthetic_service,260,255,22,8.81
SERVICE-ORDER_ITEM-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,ORDER_ITEM,info,success,60,synthetic_service,206,202,90,13.0
SERVICE-ORDER_ITEM-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,ORDER_ITEM,info,success,60,synthetic_service,215,211,21,33.26
SERVICE-ORDER_ITEM-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,ORDER_ITEM,info,success,60,synthetic_service,167,163,43,21.3
SERVICE-ORDER_ITEM-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,ORDER_ITEM,info,success,60,synthetic_service,124,119,99,8.66
SERVICE-ORDER_ITEM-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,ORDER_ITEM,info,success,60,synthetic_service,157,154,35,27.51
SERVICE-ORDER_ITEM-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,ORDER_ITEM,info,success,60,synthetic_service,133,129,74,26.55
SERVICE-ORDER_ITEM-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,ORDER_ITEM,info,success,60,synthetic_service,264,259,30,13.08
SERVICE-ORDER_ITEM-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,ORDER_ITEM,info,success,60,synthetic_service,284,283,63,20.63
SERVICE-ORDER_ITEM-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,ORDER_ITEM,info,success,60,synthetic_service,266,263,99,32.77
SERVICE-ORDER_ITEM-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,ORDER_ITEM,info,success,60,synthetic_service,80,79,94,25.03
SERVICE-ORDER_ITEM-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,ORDER_ITEM,info,success,60,synthetic_service,150,148,64,23.12
SERVICE-ORDER_ITEM-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,ORDER_ITEM,info,success,60,synthetic_service,97,94,59,13.77
SERVICE-ORDER_ITEM-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,ORDER_ITEM,info,success,60,synthetic_service,211,207,60,6.13
SERVICE-ORDER_ITEM-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,ORDER_ITEM,info,success,60,synthetic_service,249,245,89,15.22
SERVICE-ORDER_ITEM-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,ORDER_ITEM,info,success,60,synthetic_service,118,116,65,26.82
SERVICE-ORDER_ITEM-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,ORDER_ITEM,info,success,60,synthetic_service,63,58,48,6.11
SERVICE-ORDER_ITEM-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,ORDER_ITEM,info,success,60,synthetic_service,99,98,85,19.59
SERVICE-ORDER_ITEM-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,ORDER_ITEM,info,success,60,synthetic_service,282,278,91,30.01
SERVICE-ORDER_ITEM-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,ORDER_ITEM,info,success,60,synthetic_service,236,234,68,34.66
SERVICE-ORDER_ITEM-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,ORDER_ITEM,info,success,60,synthetic_service,156,152,77,16.69
SERVICE-ORDER_ITEM-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,ORDER_ITEM,info,success,60,synthetic_service,204,203,50,25.02
SERVICE-ORDER_ITEM-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,ORDER_ITEM,info,success,60,synthetic_service,147,144,84,15.19
SERVICE-ORDER_ITEM-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,ORDER_ITEM,info,success,60,synthetic_service,132,129,56,14.78
SERVICE-ORDER_ITEM-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,ORDER_ITEM,info,success,60,synthetic_service,294,292,36,7.13
SERVICE-ORDER_ITEM-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,ORDER_ITEM,info,success,60,synthetic_service,300,298,26,16.25
SERVICE-ORDER_ITEM-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,ORDER_ITEM,info,success,60,synthetic_service,175,173,81,23.2
SERVICE-ORDER_ITEM-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,ORDER_ITEM,info,success,60,synthetic_service,106,105,97,33.03
SERVICE-ORDER_ITEM-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,ORDER_ITEM,info,success,60,synthetic_service,280,279,68,5.48
SERVICE-ORDER_ITEM-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,ORDER_ITEM,info,success,60,synthetic_service,75,71,35,15.88
SERVICE-ORDER_ITEM-05-63,SUB0026,KHA,KV2,active,2026-08-20 15:00:00,ORDER_ITEM,info,success,60,synthetic_service,204,203,82,12.22
