restoration_event_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-RESTORATION_EVENT-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,219,218,71,15.03
SERVICE-RESTORATION_EVENT-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,255,251,26,9.51
SERVICE-RESTORATION_EVENT-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,199,197,62,19.58
SERVICE-RESTORATION_EVENT-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,RESTORATION_EVENT,major,failed,3600,synthetic_service,98,95,56,28.6
SERVICE-RESTORATION_EVENT-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,158,154,23,12.87
SERVICE-RESTORATION_EVENT-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,292,291,32,24.98
SERVICE-RESTORATION_EVENT-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,293,288,31,17.93
SERVICE-RESTORATION_EVENT-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,74,72,77,20.46
SERVICE-RESTORATION_EVENT-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,124,119,68,21.44
SERVICE-RESTORATION_EVENT-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,50,49,74,31.09
SERVICE-RESTORATION_EVENT-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,72,70,41,9.64
SERVICE-RESTORATION_EVENT-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,105,101,31,29.98
SERVICE-RESTORATION_EVENT-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,51,48,53,29.3
SERVICE-RESTORATION_EVENT-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,RESTORATION_EVENT,major,failed,3600,synthetic_service,285,281,23,9.8
SERVICE-RESTORATION_EVENT-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,164,159,68,23.4
SERVICE-RESTORATION_EVENT-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,57,52,55,32.62
SERVICE-RESTORATION_EVENT-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,185,180,98,16.88
SERVICE-RESTORATION_EVENT-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,260,258,48,7.22
SERVICE-RESTORATION_EVENT-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,71,68,78,9.39
SERVICE-RESTORATION_EVENT-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,232,227,41,21.84
SERVICE-RESTORATION_EVENT-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,88,87,88,19.08
SERVICE-RESTORATION_EVENT-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,50,46,56,28.64
SERVICE-RESTORATION_EVENT-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,183,179,72,18.92
SERVICE-RESTORATION_EVENT-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,133,131,94,24.92
SERVICE-RESTORATION_EVENT-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,194,193,44,23.96
SERVICE-RESTORATION_EVENT-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,155,152,27,30.1
