service_config_history_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_CONFIG_HISTORY-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,221,220,61,25.31
SERVICE-SERVICE_CONFIG_HISTORY-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,152,151,82,9.42
SERVICE-SERVICE_CONFIG_HISTORY-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,112,108,36,6.32
SERVICE-SERVICE_CONFIG_HISTORY-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,SERVICE_CONFIG_HISTORY,major,failed,3600,synthetic_service,167,166,66,26.83
SERVICE-SERVICE_CONFIG_HISTORY-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,253,251,82,11.9
SERVICE-SERVICE_CONFIG_HISTORY-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,239,236,27,30.85
SERVICE-SERVICE_CONFIG_HISTORY-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,196,192,77,7.81
SERVICE-SERVICE_CONFIG_HISTORY-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,205,201,59,16.56
SERVICE-SERVICE_CONFIG_HISTORY-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,147,144,71,26.88
SERVICE-SERVICE_CONFIG_HISTORY-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,241,237,68,19.77
SERVICE-SERVICE_CONFIG_HISTORY-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,53,51,86,18.47
SERVICE-SERVICE_CONFIG_HISTORY-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,210,207,53,23.95
SERVICE-SERVICE_CONFIG_HISTORY-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,50,49,59,5.65
SERVICE-SERVICE_CONFIG_HISTORY-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,SERVICE_CONFIG_HISTORY,major,failed,3600,synthetic_service,200,199,92,6.97
SERVICE-SERVICE_CONFIG_HISTORY-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,146,145,53,6.73
SERVICE-SERVICE_CONFIG_HISTORY-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,270,265,46,31.13
SERVICE-SERVICE_CONFIG_HISTORY-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,233,229,89,8.74
SERVICE-SERVICE_CONFIG_HISTORY-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,240,236,70,5.22
SERVICE-SERVICE_CONFIG_HISTORY-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,52,51,88,12.95
SERVICE-SERVICE_CONFIG_HISTORY-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,86,81,52,22.57
SERVICE-SERVICE_CONFIG_HISTORY-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,157,154,72,9.9
SERVICE-SERVICE_CONFIG_HISTORY-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,299,296,53,17.42
SERVICE-SERVICE_CONFIG_HISTORY-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,112,107,23,8.98
SERVICE-SERVICE_CONFIG_HISTORY-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,173,168,72,7.42
SERVICE-SERVICE_CONFIG_HISTORY-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,260,259,67,24.58
SERVICE-SERVICE_CONFIG_HISTORY-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,122,120,24,25.17
SERVICE-SERVICE_CONFIG_HISTORY-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,116,114,87,16.29
SERVICE-SERVICE_CONFIG_HISTORY-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,92,87,52,8.27
SERVICE-SERVICE_CONFIG_HISTORY-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,259,256,65,26.0
SERVICE-SERVICE_CONFIG_HISTORY-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,76,73,36,5.88
SERVICE-SERVICE_CONFIG_HISTORY-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,140,139,96,23.71
