service_health_hourly_id,subscription_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_HEALTH_HOURLY-00-00,SUB0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,52.43,index,valid,synthetic_service,268,266,29,17.92
SERVICE-SERVICE_HEALTH_HOURLY-00-01,SUB0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,57.68,index,valid,synthetic_service,232,227,90,20.93
SERVICE-SERVICE_HEALTH_HOURLY-00-02,SUB0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,84.07,index,valid,synthetic_service,246,243,39,11.92
SERVICE-SERVICE_HEALTH_HOURLY-00-03,SUB0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,27.01,index,valid,synthetic_service,152,147,62,10.03
SERVICE-SERVICE_HEALTH_HOURLY-00-04,SUB0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,30.27,index,valid,synthetic_service,130,125,74,19.29
SERVICE-SERVICE_HEALTH_HOURLY-00-05,SUB0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,23.52,index,valid,synthetic_service,167,163,30,23.93
SERVICE-SERVICE_HEALTH_HOURLY-00-06,SUB0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,61.26,index,valid,synthetic_service,198,195,93,10.81
SERVICE-SERVICE_HEALTH_HOURLY-00-07,SUB0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,27.85,index,valid,synthetic_service,100,97,39,33.35
SERVICE-SERVICE_HEALTH_HOURLY-00-08,SUB0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,18.35,index,valid,synthetic_service,261,257,57,31.73
SERVICE-SERVICE_HEALTH_HOURLY-00-09,SUB0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,67.53,index,valid,synthetic_service,227,222,43,13.54
SERVICE-SERVICE_HEALTH_HOURLY-00-10,SUB0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,72.16,index,valid,synthetic_service,248,247,83,23.36
SERVICE-SERVICE_HEALTH_HOURLY-00-11,SUB0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,42.6,index,valid,synthetic_service,148,146,71,5.59
SERVICE-SERVICE_HEALTH_HOURLY-00-12,SUB0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,63.75,index,valid,synthetic_service,53,52,23,10.04
SERVICE-SERVICE_HEALTH_HOURLY-00-13,SUB0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,45.68,index,valid,synthetic_service,147,146,85,19.04
SERVICE-SERVICE_HEALTH_HOURLY-00-14,SUB0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,81.66,index,valid,synthetic_service,272,268,22,21.89
SERVICE-SERVICE_HEALTH_HOURLY-00-15,SUB0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,48.7,index,valid,synthetic_service,271,266,85,18.27
SERVICE-SERVICE_HEALTH_HOURLY-00-16,SUB0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,27.78,index,valid,synthetic_service,65,62,38,22.17
SERVICE-SERVICE_HEALTH_HOURLY-00-17,SUB0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,65.4,index,valid,synthetic_service,97,95,28,32.48
SERVICE-SERVICE_HEALTH_HOURLY-00-18,SUB0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,39.22,index,valid,synthetic_service,234,230,42,17.55
SERVICE-SERVICE_HEALTH_HOURLY-00-19,SUB0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,35.75,index,valid,synthetic_service,205,201,87,7.39
SERVICE-SERVICE_HEALTH_HOURLY-00-20,SUB0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,74.06,index,valid,synthetic_service,65,64,40,22.99
SERVICE-SERVICE_HEALTH_HOURLY-00-21,SUB0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,55.83,index,valid,synthetic_service,106,104,22,22.29
SERVICE-SERVICE_HEALTH_HOURLY-00-22,SUB0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,78.94,index,valid,synthetic_service,254,249,76,29.64
SERVICE-SERVICE_HEALTH_HOURLY-00-23,SUB0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,70.59,index,valid,synthetic_service,271,266,42,5.63
SERVICE-SERVICE_HEALTH_HOURLY-00-24,SUB0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,48.95,index,valid,synthetic_service,193,190,46,25.88
SERVICE-SERVICE_HEALTH_HOURLY-00-25,SUB0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,38.79,index,valid,synthetic_service,149,147,84,31.22
SERVICE-SERVICE_HEALTH_HOURLY-00-26,SUB0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,79.45,index,valid,synthetic_service,233,232,37,6.61
SERVICE-SERVICE_HEALTH_HOURLY-00-27,SUB0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,60.16,index,degraded,synthetic_service,251,246,67,20.41
SERVICE-SERVICE_HEALTH_HOURLY-00-28,SUB0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,42.71,index,valid,synthetic_service,295,293,93,31.94
SERVICE-SERVICE_HEALTH_HOURLY-00-29,SUB0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,38.34,index,valid,synthetic_service,110,106,37,34.08
SERVICE-SERVICE_HEALTH_HOURLY-00-30,SUB0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,29.63,index,valid,synthetic_service,286,285,70,32.7
SERVICE-SERVICE_HEALTH_HOURLY-00-31,SUB0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,47.63,index,valid,synthetic_service,208,207,68,31.15
SERVICE-SERVICE_HEALTH_HOURLY-00-32,SUB0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,80.82,index,valid,synthetic_service,284,279,90,6.63
SERVICE-SERVICE_HEALTH_HOURLY-00-33,SUB0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,79.77,index,valid,synthetic_service,257,256,86,20.84
SERVICE-SERVICE_HEALTH_HOURLY-00-34,SUB0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,37.06,index,valid,synthetic_service,111,107,69,31.97
SERVICE-SERVICE_HEALTH_HOURLY-00-35,SUB0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,72.99,index,valid,synthetic_service,149,146,85,14.47
SERVICE-SERVICE_HEALTH_HOURLY-00-36,SUB0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,82.46,index,valid,synthetic_service,119,116,33,8.11
SERVICE-SERVICE_HEALTH_HOURLY-00-37,SUB0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,24.0,index,valid,synthetic_service,144,139,33,9.24
SERVICE-SERVICE_HEALTH_HOURLY-00-38,SUB0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,27.45,index,valid,synthetic_service,140,136,68,20.99
SERVICE-SERVICE_HEALTH_HOURLY-00-39,SUB0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,78.94,index,valid,synthetic_service,94,92,92,29.05
SERVICE-SERVICE_HEALTH_HOURLY-00-40,SUB0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,18.12,index,valid,synthetic_service,253,252,39,16.48
SERVICE-SERVICE_HEALTH_HOURLY-00-41,SUB0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,66.81,index,valid,synthetic_service,134,130,74,19.85
SERVICE-SERVICE_HEALTH_HOURLY-00-42,SUB0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,43.79,index,valid,synthetic_service,133,131,72,32.92
SERVICE-SERVICE_HEALTH_HOURLY-00-43,SUB0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,72.59,index,valid,synthetic_service,54,53,46,32.43
SERVICE-SERVICE_HEALTH_HOURLY-00-44,SUB0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,59.37,index,valid,synthetic_service,144,141,38,21.92
SERVICE-SERVICE_HEALTH_HOURLY-00-45,SUB0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,20.12,index,valid,synthetic_service,232,227,60,12.32
SERVICE-SERVICE_HEALTH_HOURLY-00-46,SUB0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,65.55,index,valid,synthetic_service,238,233,77,11.56
