service_migration_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_MIGRATION-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,190,188,89,14.87
SERVICE-SERVICE_MIGRATION-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,246,241,98,18.15
SERVICE-SERVICE_MIGRATION-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,280,279,90,13.91
SERVICE-SERVICE_MIGRATION-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,SERVICE_MIGRATION,major,failed,3600,synthetic_service,62,59,50,33.65
SERVICE-SERVICE_MIGRATION-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,162,161,36,32.33
SERVICE-SERVICE_MIGRATION-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,148,144,29,8.13
SERVICE-SERVICE_MIGRATION-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,56,55,74,30.64
SERVICE-SERVICE_MIGRATION-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,172,171,42,21.23
SERVICE-SERVICE_MIGRATION-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,247,244,94,25.82
SERVICE-SERVICE_MIGRATION-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,249,244,100,16.7
SERVICE-SERVICE_MIGRATION-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,245,244,34,22.48
SERVICE-SERVICE_MIGRATION-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,199,194,52,7.44
SERVICE-SERVICE_MIGRATION-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,165,162,61,31.91
SERVICE-SERVICE_MIGRATION-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,SERVICE_MIGRATION,major,failed,3600,synthetic_service,142,141,77,24.89
SERVICE-SERVICE_MIGRATION-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,233,229,66,27.07
SERVICE-SERVICE_MIGRATION-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,275,270,48,25.2
SERVICE-SERVICE_MIGRATION-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,147,146,63,17.97
SERVICE-SERVICE_MIGRATION-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,177,176,91,18.57
