service_notification_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_NOTIFICATION-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,164,160,45,12.26
SERVICE-SERVICE_NOTIFICATION-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,74,70,97,23.77
SERVICE-SERVICE_NOTIFICATION-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,106,103,87,31.88
SERVICE-SERVICE_NOTIFICATION-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,SERVICE_NOTIFICATION,major,failed,3600,synthetic_service,175,174,84,10.71
SERVICE-SERVICE_NOTIFICATION-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,89,86,43,11.82
SERVICE-SERVICE_NOTIFICATION-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,190,186,82,28.86
SERVICE-SERVICE_NOTIFICATION-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,95,90,86,21.19
SERVICE-SERVICE_NOTIFICATION-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,58,53,77,28.66
SERVICE-SERVICE_NOTIFICATION-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,144,142,51,13.64
SERVICE-SERVICE_NOTIFICATION-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,192,187,71,28.99
SERVICE-SERVICE_NOTIFICATION-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,163,160,71,24.19
SERVICE-SERVICE_NOTIFICATION-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,154,150,59,29.63
SERVICE-SERVICE_NOTIFICATION-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,288,287,95,7.1
SERVICE-SERVICE_NOTIFICATION-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,SERVICE_NOTIFICATION,major,failed,3600,synthetic_service,211,206,86,28.7
SERVICE-SERVICE_NOTIFICATION-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,149,146,82,21.88
SERVICE-SERVICE_NOTIFICATION-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,65,62,98,23.14
SERVICE-SERVICE_NOTIFICATION-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,290,287,26,22.24
SERVICE-SERVICE_NOTIFICATION-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,187,183,100,28.62
SERVICE-SERVICE_NOTIFICATION-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,94,89,33,13.48
SERVICE-SERVICE_NOTIFICATION-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,73,68,62,22.04
SERVICE-SERVICE_NOTIFICATION-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,178,177,30,20.42
SERVICE-SERVICE_NOTIFICATION-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,209,207,79,10.33
SERVICE-SERVICE_NOTIFICATION-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,55,54,46,11.61
SERVICE-SERVICE_NOTIFICATION-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,102,100,29,29.93
SERVICE-SERVICE_NOTIFICATION-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,265,264,96,9.99
SERVICE-SERVICE_NOTIFICATION-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,281,276,28,33.4
