service_order_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_ORDER-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,SERVICE_ORDER,info,success,60,synthetic_service,285,283,79,26.12
SERVICE-SERVICE_ORDER-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,SERVICE_ORDER,info,success,60,synthetic_service,269,264,37,17.69
SERVICE-SERVICE_ORDER-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,SERVICE_ORDER,info,success,60,synthetic_service,131,129,35,5.81
SERVICE-SERVICE_ORDER-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,SERVICE_ORDER,major,failed,3600,synthetic_service,264,262,97,11.35
SERVICE-SERVICE_ORDER-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,SERVICE_ORDER,info,success,60,synthetic_service,204,199,24,8.92
SERVICE-SERVICE_ORDER-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,SERVICE_ORDER,info,success,60,synthetic_service,62,60,28,19.87
SERVICE-SERVICE_ORDER-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,SERVICE_ORDER,info,success,60,synthetic_service,115,111,54,15.57
SERVICE-SERVICE_ORDER-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,SERVICE_ORDER,info,success,60,synthetic_service,57,53,95,31.33
SERVICE-SERVICE_ORDER-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,SERVICE_ORDER,info,success,60,synthetic_service,205,202,70,20.08
SERVICE-SERVICE_ORDER-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,SERVICE_ORDER,info,success,60,synthetic_service,151,146,62,28.71
SERVICE-SERVICE_ORDER-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,SERVICE_ORDER,info,success,60,synthetic_service,155,153,39,13.74
SERVICE-SERVICE_ORDER-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,SERVICE_ORDER,info,success,60,synthetic_service,243,238,50,23.79
SERVICE-SERVICE_ORDER-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,SERVICE_ORDER,info,success,60,synthetic_service,118,116,38,32.22
SERVICE-SERVICE_ORDER-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,SERVICE_ORDER,major,failed,3600,synthetic_service,85,82,57,10.58
SERVICE-SERVICE_ORDER-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,SERVICE_ORDER,info,success,60,synthetic_service,171,170,22,22.3
SERVICE-SERVICE_ORDER-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,SERVICE_ORDER,info,success,60,synthetic_service,119,115,37,14.9
SERVICE-SERVICE_ORDER-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,SERVICE_ORDER,info,success,60,synthetic_service,108,105,88,29.72
SERVICE-SERVICE_ORDER-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,SERVICE_ORDER,info,success,60,synthetic_service,73,70,85,21.14
SERVICE-SERVICE_ORDER-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,SERVICE_ORDER,info,success,60,synthetic_service,55,50,91,34.61
SERVICE-SERVICE_ORDER-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,SERVICE_ORDER,info,success,60,synthetic_service,101,98,75,11.26
SERVICE-SERVICE_ORDER-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,SERVICE_ORDER,info,success,60,synthetic_service,158,156,73,11.35
SERVICE-SERVICE_ORDER-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,SERVICE_ORDER,info,success,60,synthetic_service,189,185,29,29.39
SERVICE-SERVICE_ORDER-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,SERVICE_ORDER,info,success,60,synthetic_service,194,191,59,18.0
SERVICE-SERVICE_ORDER-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,SERVICE_ORDER,info,success,60,synthetic_service,63,61,94,26.63
SERVICE-SERVICE_ORDER-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,SERVICE_ORDER,info,success,60,synthetic_service,115,114,82,23.27
SERVICE-SERVICE_ORDER-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,SERVICE_ORDER,info,success,60,synthetic_service,297,294,64,9.99
SERVICE-SERVICE_ORDER-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,SERVICE_ORDER,info,success,60,synthetic_service,67,62,89,21.27
SERVICE-SERVICE_ORDER-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,SERVICE_ORDER,info,success,60,synthetic_service,88,84,98,8.42
SERVICE-SERVICE_ORDER-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,SERVICE_ORDER,info,success,60,synthetic_service,194,193,56,21.19
SERVICE-SERVICE_ORDER-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,SERVICE_ORDER,info,success,60,synthetic_service,244,240,90,5.46
SERVICE-SERVICE_ORDER-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,SERVICE_ORDER,info,success,60,synthetic_service,210,208,90,5.22
SERVICE-SERVICE_ORDER-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,SERVICE_ORDER,info,success,60,synthetic_service,289,286,59,11.8
SERVICE-SERVICE_ORDER-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,SERVICE_ORDER,info,success,60,synthetic_service,104,101,90,7.57
SERVICE-SERVICE_ORDER-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,SERVICE_ORDER,info,success,60,synthetic_service,247,242,22,14.67
SERVICE-SERVICE_ORDER-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,SERVICE_ORDER,info,success,60,synthetic_service,83,82,44,32.2
SERVICE-SERVICE_ORDER-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,SERVICE_ORDER,info,success,60,synthetic_service,243,239,29,10.38
SERVICE-SERVICE_ORDER-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,SERVICE_ORDER,info,success,60,synthetic_service,163,159,42,21.82
SERVICE-SERVICE_ORDER-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,SERVICE_ORDER,info,success,60,synthetic_service,80,78,85,17.46
SERVICE-SERVICE_ORDER-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,SERVICE_ORDER,info,success,60,synthetic_service,186,183,41,18.81
SERVICE-SERVICE_ORDER-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,SERVICE_ORDER,info,success,60,synthetic_service,224,223,52,7.07
SERVICE-SERVICE_ORDER-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,SERVICE_ORDER,info,success,60,synthetic_service,51,49,26,32.61
SERVICE-SERVICE_ORDER-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,SERVICE_ORDER,info,success,60,synthetic_service,208,207,86,19.6
SERVICE-SERVICE_ORDER-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,SERVICE_ORDER,info,success,60,synthetic_service,235,231,72,30.46
SERVICE-SERVICE_ORDER-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,SERVICE_ORDER,info,success,60,synthetic_service,53,52,79,19.41
SERVICE-SERVICE_ORDER-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,SERVICE_ORDER,info,success,60,synthetic_service,235,233,35,14.16
SERVICE-SERVICE_ORDER-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,SERVICE_ORDER,info,success,60,synthetic_service,72,70,37,12.23
SERVICE-SERVICE_ORDER-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,SERVICE_ORDER,info,success,60,synthetic_service,218,215,23,19.62
SERVICE-SERVICE_ORDER-05-63,SUB0026,KHA,KV2,active,2026-08-20 15:00:00,SERVICE_ORDER,info,success,60,synthetic_service,231,229,79,32.25
