service_usage_hourly_id,subscription_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_USAGE_HOURLY-00-00,SUB0001,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,46.34,index,valid,synthetic_service,95,91,77,33.12
SERVICE-SERVICE_USAGE_HOURLY-00-01,SUB0001,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,47.25,index,valid,synthetic_service,250,248,23,22.82
SERVICE-SERVICE_USAGE_HOURLY-00-02,SUB0001,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,60.18,index,valid,synthetic_service,87,85,92,24.7
SERVICE-SERVICE_USAGE_HOURLY-00-03,SUB0001,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,73.23,index,valid,synthetic_service,139,134,76,23.16
SERVICE-SERVICE_USAGE_HOURLY-00-04,SUB0001,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,22.11,index,valid,synthetic_service,171,169,97,11.59
SERVICE-SERVICE_USAGE_HOURLY-00-05,SUB0001,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,84.22,index,valid,synthetic_service,109,105,26,33.11
SERVICE-SERVICE_USAGE_HOURLY-00-06,SUB0001,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,49.99,index,valid,synthetic_service,293,291,71,17.42
SERVICE-SERVICE_USAGE_HOURLY-00-07,SUB0001,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,23.59,index,valid,synthetic_service,145,140,80,32.34
SERVICE-SERVICE_USAGE_HOURLY-00-08,SUB0001,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,62.4,index,valid,synthetic_service,73,68,90,25.56
SERVICE-SERVICE_USAGE_HOURLY-00-09,SUB0001,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,71.17,index,valid,synthetic_service,284,279,24,16.47
SERVICE-SERVICE_USAGE_HOURLY-00-10,SUB0001,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,28.4,index,valid,synthetic_service,116,113,50,10.19
SERVICE-SERVICE_USAGE_HOURLY-00-11,SUB0001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,38.44,index,valid,synthetic_service,119,114,83,19.29
SERVICE-SERVICE_USAGE_HOURLY-00-12,SUB0001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,38.41,index,valid,synthetic_service,176,174,61,33.3
SERVICE-SERVICE_USAGE_HOURLY-00-13,SUB0001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,48.14,index,valid,synthetic_service,281,280,32,27.67
SERVICE-SERVICE_USAGE_HOURLY-00-14,SUB0001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,66.97,index,valid,synthetic_service,261,259,92,9.16
SERVICE-SERVICE_USAGE_HOURLY-00-15,SUB0001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,62.74,index,valid,synthetic_service,265,260,25,30.26
SERVICE-SERVICE_USAGE_HOURLY-00-16,SUB0001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,77.59,index,valid,synthetic_service,129,125,44,14.7
SERVICE-SERVICE_USAGE_HOURLY-00-17,SUB0001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,43.57,index,valid,synthetic_service,199,196,45,10.99
SERVICE-SERVICE_USAGE_HOURLY-00-18,SUB0001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,63.82,index,valid,synthetic_service,121,120,91,8.54
SERVICE-SERVICE_USAGE_HOURLY-00-19,SUB0001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,68.49,index,valid,synthetic_service,145,141,22,25.48
SERVICE-SERVICE_USAGE_HOURLY-00-20,SUB0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,22.29,index,valid,synthetic_service,206,205,71,33.0
SERVICE-SERVICE_USAGE_HOURLY-00-21,SUB0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,72.38,index,valid,synthetic_service,95,90,53,11.74
SERVICE-SERVICE_USAGE_HOURLY-00-22,SUB0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,81.79,index,valid,synthetic_service,282,281,30,19.96
SERVICE-SERVICE_USAGE_HOURLY-00-23,SUB0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,69.28,index,valid,synthetic_service,290,287,66,8.31
SERVICE-SERVICE_USAGE_HOURLY-00-24,SUB0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,78.76,index,valid,synthetic_service,206,205,74,19.37
SERVICE-SERVICE_USAGE_HOURLY-00-25,SUB0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,83.91,index,valid,synthetic_service,263,260,27,9.84
SERVICE-SERVICE_USAGE_HOURLY-00-26,SUB0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,27.32,index,valid,synthetic_service,105,101,77,6.43
SERVICE-SERVICE_USAGE_HOURLY-00-27,SUB0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,64.96,index,degraded,synthetic_service,192,190,83,8.26
SERVICE-SERVICE_USAGE_HOURLY-00-28,SUB0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,54.28,index,valid,synthetic_service,179,175,61,25.43
SERVICE-SERVICE_USAGE_HOURLY-00-29,SUB0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,23.1,index,valid,synthetic_service,200,196,75,14.36
SERVICE-SERVICE_USAGE_HOURLY-00-30,SUB0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,58.12,index,valid,synthetic_service,247,244,65,9.33
SERVICE-SERVICE_USAGE_HOURLY-00-31,SUB0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,31.9,index,valid,synthetic_service,127,124,82,10.82
SERVICE-SERVICE_USAGE_HOURLY-00-32,SUB0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,62.36,index,valid,synthetic_service,298,293,64,6.34
SERVICE-SERVICE_USAGE_HOURLY-00-33,SUB0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,48.68,index,valid,synthetic_service,119,116,28,9.59
SERVICE-SERVICE_USAGE_HOURLY-00-34,SUB0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,33.32,index,valid,synthetic_service,300,296,43,29.23
SERVICE-SERVICE_USAGE_HOURLY-00-35,SUB0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,82.0,index,valid,synthetic_service,195,191,43,28.98
SERVICE-SERVICE_USAGE_HOURLY-00-36,SUB0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,43.64,index,valid,synthetic_service,292,291,85,8.6
SERVICE-SERVICE_USAGE_HOURLY-00-37,SUB0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,39.18,index,valid,synthetic_service,203,200,79,19.61
SERVICE-SERVICE_USAGE_HOURLY-00-38,SUB0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,57.2,index,valid,synthetic_service,275,270,24,29.22
SERVICE-SERVICE_USAGE_HOURLY-00-39,SUB0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,29.02,index,valid,synthetic_service,115,113,84,19.97
SERVICE-SERVICE_USAGE_HOURLY-00-40,SUB0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,38.75,index,valid,synthetic_service,293,291,91,11.96
SERVICE-SERVICE_USAGE_HOURLY-00-41,SUB0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,44.73,index,valid,synthetic_service,66,65,38,27.47
SERVICE-SERVICE_USAGE_HOURLY-00-42,SUB0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,15.09,index,valid,synthetic_service,288,283,45,20.45
SERVICE-SERVICE_USAGE_HOURLY-00-43,SUB0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,41.67,index,valid,synthetic_service,136,131,66,31.37
