subscription_history_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SUBSCRIPTION_HISTORY-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,60,56,38,10.48
SERVICE-SUBSCRIPTION_HISTORY-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,77,76,35,15.44
SERVICE-SUBSCRIPTION_HISTORY-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,191,187,26,6.15
SERVICE-SUBSCRIPTION_HISTORY-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,SUBSCRIPTION_HISTORY,major,failed,3600,synthetic_service,202,198,67,19.43
SERVICE-SUBSCRIPTION_HISTORY-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,144,143,98,23.4
SERVICE-SUBSCRIPTION_HISTORY-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,293,291,100,8.52
SERVICE-SUBSCRIPTION_HISTORY-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,89,86,78,27.29
SERVICE-SUBSCRIPTION_HISTORY-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,131,126,33,19.13
SERVICE-SUBSCRIPTION_HISTORY-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,118,115,38,28.4
SERVICE-SUBSCRIPTION_HISTORY-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,268,265,97,24.9
SERVICE-SUBSCRIPTION_HISTORY-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,144,143,86,5.02
SERVICE-SUBSCRIPTION_HISTORY-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,245,241,66,22.62
SERVICE-SUBSCRIPTION_HISTORY-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,61,59,24,19.67
SERVICE-SUBSCRIPTION_HISTORY-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,SUBSCRIPTION_HISTORY,major,failed,3600,synthetic_service,68,65,76,24.79
SERVICE-SUBSCRIPTION_HISTORY-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,199,197,51,31.58
SERVICE-SUBSCRIPTION_HISTORY-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,89,85,75,10.57
