suspension_event_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SUSPENSION_EVENT-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,105,100,42,7.84
SERVICE-SUSPENSION_EVENT-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,66,64,84,5.05
SERVICE-SUSPENSION_EVENT-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,172,171,44,13.93
SERVICE-SUSPENSION_EVENT-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,SUSPENSION_EVENT,major,failed,3600,synthetic_service,91,88,78,26.5
SERVICE-SUSPENSION_EVENT-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,191,190,44,10.46
SERVICE-SUSPENSION_EVENT-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,279,276,54,15.38
SERVICE-SUSPENSION_EVENT-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,200,197,55,14.49
SERVICE-SUSPENSION_EVENT-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,223,221,65,11.31
SERVICE-SUSPENSION_EVENT-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,157,153,36,17.21
SERVICE-SUSPENSION_EVENT-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,199,194,93,11.94
SERVICE-SUSPENSION_EVENT-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,110,107,53,21.77
SERVICE-SUSPENSION_EVENT-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,232,227,45,11.77
SERVICE-SUSPENSION_EVENT-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,211,207,81,20.87
SERVICE-SUSPENSION_EVENT-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,SUSPENSION_EVENT,major,failed,3600,synthetic_service,243,238,70,17.11
SERVICE-SUSPENSION_EVENT-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,94,92,88,11.06
SERVICE-SUSPENSION_EVENT-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,109,104,87,8.54
SERVICE-SUSPENSION_EVENT-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,75,74,46,34.49
SERVICE-SUSPENSION_EVENT-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,119,114,97,9.18
SERVICE-SUSPENSION_EVENT-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,275,272,52,10.7
SERVICE-SUSPENSION_EVENT-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,210,206,48,20.84
SERVICE-SUSPENSION_EVENT-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,199,197,82,26.02
SERVICE-SUSPENSION_EVENT-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,295,293,44,10.16
