termination_event_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-TERMINATION_EVENT-00-00,SUB0001,DBN,KV1,active,2026-08-18 00:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,197,194,59,13.41
SERVICE-TERMINATION_EVENT-00-09,SUB0001,DBN,KV1,active,2026-08-18 09:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,137,132,98,19.45
SERVICE-TERMINATION_EVENT-00-18,SUB0001,DBN,KV1,active,2026-08-18 18:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,253,252,30,30.85
SERVICE-TERMINATION_EVENT-00-27,SUB0001,DBN,KV1,degraded,2026-08-19 03:00:00,TERMINATION_EVENT,major,failed,3600,synthetic_service,198,196,40,24.95
SERVICE-TERMINATION_EVENT-00-36,SUB0001,DBN,KV1,active,2026-08-19 12:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,129,128,45,11.1
SERVICE-TERMINATION_EVENT-00-45,SUB0001,DBN,KV1,active,2026-08-19 21:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,97,95,69,23.6
SERVICE-TERMINATION_EVENT-00-54,SUB0001,DBN,KV1,active,2026-08-20 06:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,285,283,60,27.35
SERVICE-TERMINATION_EVENT-00-63,SUB0001,DBN,KV1,active,2026-08-20 15:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,227,223,73,22.16
SERVICE-TERMINATION_EVENT-01-00,SUB0007,SLA,KV1,active,2026-08-18 00:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,291,287,74,16.55
SERVICE-TERMINATION_EVENT-01-09,SUB0007,SLA,KV1,active,2026-08-18 09:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,176,173,63,30.73
SERVICE-TERMINATION_EVENT-01-18,SUB0007,SLA,KV1,active,2026-08-18 18:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,71,69,55,17.62
SERVICE-TERMINATION_EVENT-01-27,SUB0007,SLA,KV1,active,2026-08-19 03:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,277,274,93,18.19
SERVICE-TERMINATION_EVENT-01-36,SUB0007,SLA,KV1,active,2026-08-19 12:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,68,65,40,33.01
SERVICE-TERMINATION_EVENT-01-45,SUB0007,SLA,KV1,degraded,2026-08-19 21:00:00,TERMINATION_EVENT,major,failed,3600,synthetic_service,88,85,36,21.29
SERVICE-TERMINATION_EVENT-01-54,SUB0007,SLA,KV1,active,2026-08-20 06:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,215,214,88,16.97
SERVICE-TERMINATION_EVENT-01-63,SUB0007,SLA,KV1,active,2026-08-20 15:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,197,193,25,29.86
SERVICE-TERMINATION_EVENT-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,250,246,97,14.55
SERVICE-TERMINATION_EVENT-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,171,170,39,25.86
SERVICE-TERMINATION_EVENT-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,199,196,30,27.85
SERVICE-TERMINATION_EVENT-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,277,273,60,10.46
SERVICE-TERMINATION_EVENT-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,78,77,45,25.6
SERVICE-TERMINATION_EVENT-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,51,46,35,26.4
SERVICE-TERMINATION_EVENT-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,200,195,100,17.24
SERVICE-TERMINATION_EVENT-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,164,160,94,32.21
SERVICE-TERMINATION_EVENT-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,244,240,47,11.68
SERVICE-TERMINATION_EVENT-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,107,103,27,34.62
SERVICE-TERMINATION_EVENT-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,263,258,39,5.37
SERVICE-TERMINATION_EVENT-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,152,148,33,9.1
SERVICE-TERMINATION_EVENT-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,247,243,21,9.06
SERVICE-TERMINATION_EVENT-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,289,286,26,6.88
SERVICE-TERMINATION_EVENT-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,165,164,52,29.24
SERVICE-TERMINATION_EVENT-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,85,81,42,6.93
SERVICE-TERMINATION_EVENT-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,300,297,42,17.29
SERVICE-TERMINATION_EVENT-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,239,234,53,6.45
SERVICE-TERMINATION_EVENT-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,87,83,45,10.84
SERVICE-TERMINATION_EVENT-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,244,243,89,16.67
SERVICE-TERMINATION_EVENT-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,176,171,56,22.17
SERVICE-TERMINATION_EVENT-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,146,142,76,19.57
SERVICE-TERMINATION_EVENT-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,224,221,30,23.33
SERVICE-TERMINATION_EVENT-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,78,77,90,27.89
SERVICE-TERMINATION_EVENT-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,297,293,20,29.16
SERVICE-TERMINATION_EVENT-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,298,294,57,27.99
SERVICE-TERMINATION_EVENT-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,170,169,54,9.8
SERVICE-TERMINATION_EVENT-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,188,185,59,10.07
SERVICE-TERMINATION_EVENT-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,246,243,60,24.9
SERVICE-TERMINATION_EVENT-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,232,231,34,9.92
SERVICE-TERMINATION_EVENT-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,TERMINATION_EVENT,info,success,60,synthetic_service,243,242,60,34.31
