bgp_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-BGP_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,40.79,index,valid,synthetic_transport,1000,25.77,13.0,0.05
TRANSPORT-BGP_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,78.32,index,valid,synthetic_transport,1000,48.07,6.32,0.05
TRANSPORT-BGP_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,74.16,index,valid,synthetic_transport,1000,27.93,13.97,0.05
TRANSPORT-BGP_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,34.06,index,valid,synthetic_transport,1000,45.93,6.02,0.05
TRANSPORT-BGP_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,37.98,index,valid,synthetic_transport,1000,50.62,14.59,0.05
TRANSPORT-BGP_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,59.51,index,valid,synthetic_transport,1000,31.47,12.94,0.05
TRANSPORT-BGP_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,26.83,index,valid,synthetic_transport,1000,58.8,5.98,0.05
TRANSPORT-BGP_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,50.55,index,valid,synthetic_transport,1000,69.74,7.62,0.05
TRANSPORT-BGP_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,26.48,index,valid,synthetic_transport,1000,39.81,6.27,0.05
TRANSPORT-BGP_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,72.21,index,valid,synthetic_transport,1000,29.45,11.34,0.05
TRANSPORT-BGP_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,71.17,index,valid,synthetic_transport,1000,71.55,3.14,0.05
TRANSPORT-BGP_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,35.57,index,valid,synthetic_transport,1000,25.96,14.67,0.05
TRANSPORT-BGP_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,68.02,index,valid,synthetic_transport,1000,60.16,13.19,0.05
TRANSPORT-BGP_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,35.76,index,valid,synthetic_transport,1000,63.84,3.81,0.05
TRANSPORT-BGP_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,37.12,index,valid,synthetic_transport,1000,59.7,5.49,0.05
TRANSPORT-BGP_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,39.31,index,valid,synthetic_transport,1000,53.26,5.83,0.05
TRANSPORT-BGP_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,52.89,index,valid,synthetic_transport,1000,55.38,10.2,0.05
TRANSPORT-BGP_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,42.92,index,valid,synthetic_transport,1000,30.68,2.34,0.05
TRANSPORT-BGP_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,69.8,index,valid,synthetic_transport,1000,38.49,7.22,0.05
TRANSPORT-BGP_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,32.08,index,valid,synthetic_transport,1000,34.15,6.17,0.05
TRANSPORT-BGP_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,69.14,index,valid,synthetic_transport,1000,74.64,11.44,0.05
TRANSPORT-BGP_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,75.43,index,valid,synthetic_transport,1000,70.37,5.19,0.05
TRANSPORT-BGP_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,51.97,index,valid,synthetic_transport,1000,61.24,11.65,0.05
TRANSPORT-BGP_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,21.61,index,valid,synthetic_transport,1000,35.19,2.46,0.05
TRANSPORT-BGP_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,77.01,index,valid,synthetic_transport,1000,36.56,9.33,0.05
TRANSPORT-BGP_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,35.59,index,valid,synthetic_transport,1000,61.7,8.18,0.05
TRANSPORT-BGP_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,62.42,index,valid,synthetic_transport,1000,45.74,2.45,0.05
TRANSPORT-BGP_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,98.21,index,degraded,synthetic_transport,1000,37.66,39.46,2.5
TRANSPORT-BGP_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,52.58,index,valid,synthetic_transport,1000,51.58,6.0,0.05
TRANSPORT-BGP_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,33.64,index,valid,synthetic_transport,1000,65.0,4.95,0.05
TRANSPORT-BGP_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,60.11,index,valid,synthetic_transport,1000,69.51,13.05,0.05
TRANSPORT-BGP_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,41.72,index,valid,synthetic_transport,1000,42.26,6.98,0.05
