fiber_fault_event_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-FIBER_FAULT_EVENT-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,56.87,5.91,0.05
TRANSPORT-FIBER_FAULT_EVENT-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,41.66,5.59,0.05
TRANSPORT-FIBER_FAULT_EVENT-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,45.25,8.2,0.05
TRANSPORT-FIBER_FAULT_EVENT-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,FIBER_FAULT_EVENT,major,failed,3600,synthetic_transport,1000,43.05,36.44,2.5
TRANSPORT-FIBER_FAULT_EVENT-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,29.66,13.07,0.05
TRANSPORT-FIBER_FAULT_EVENT-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,34.31,10.56,0.05
TRANSPORT-FIBER_FAULT_EVENT-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,25.07,5.22,0.05
TRANSPORT-FIBER_FAULT_EVENT-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,71.58,3.27,0.05
TRANSPORT-FIBER_FAULT_EVENT-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,53.58,6.1,0.05
TRANSPORT-FIBER_FAULT_EVENT-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,55.07,10.37,0.05
