link_alarm_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-LINK_ALARM-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,47.5,2.35,0.05
TRANSPORT-LINK_ALARM-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,73.62,7.62,0.05
TRANSPORT-LINK_ALARM-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,41.57,6.89,0.05
TRANSPORT-LINK_ALARM-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,LINK_ALARM,major,failed,3600,synthetic_transport,1000,47.53,39.9,2.5
TRANSPORT-LINK_ALARM-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,53.99,5.89,0.05
TRANSPORT-LINK_ALARM-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,41.51,3.41,0.05
TRANSPORT-LINK_ALARM-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,67.61,14.47,0.05
TRANSPORT-LINK_ALARM-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,48.44,13.36,0.05
TRANSPORT-LINK_ALARM-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,25.34,8.31,0.05
TRANSPORT-LINK_ALARM-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,58.33,6.63,0.05
TRANSPORT-LINK_ALARM-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,39.04,10.25,0.05
TRANSPORT-LINK_ALARM-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,61.99,14.87,0.05
TRANSPORT-LINK_ALARM-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,26.45,11.97,0.05
TRANSPORT-LINK_ALARM-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,LINK_ALARM,major,failed,3600,synthetic_transport,1000,65.98,40.48,2.5
TRANSPORT-LINK_ALARM-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,26.09,13.68,0.05
TRANSPORT-LINK_ALARM-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,26.93,4.85,0.05
TRANSPORT-LINK_ALARM-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,73.73,8.1,0.05
TRANSPORT-LINK_ALARM-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,31.88,14.29,0.05
TRANSPORT-LINK_ALARM-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,43.25,7.5,0.05
TRANSPORT-LINK_ALARM-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,62.51,14.14,0.05
TRANSPORT-LINK_ALARM-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,43.23,2.38,0.05
TRANSPORT-LINK_ALARM-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,46.23,3.39,0.05
TRANSPORT-LINK_ALARM-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,34.12,13.32,0.05
TRANSPORT-LINK_ALARM-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,57.81,5.5,0.05
TRANSPORT-LINK_ALARM-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,36.9,11.04,0.05
TRANSPORT-LINK_ALARM-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,55.23,4.88,0.05
TRANSPORT-LINK_ALARM-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,74.02,5.79,0.05
TRANSPORT-LINK_ALARM-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,36.55,3.48,0.05
TRANSPORT-LINK_ALARM-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,31.02,4.35,0.05
TRANSPORT-LINK_ALARM-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,26.88,2.23,0.05
TRANSPORT-LINK_ALARM-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,64.05,7.99,0.05
TRANSPORT-LINK_ALARM-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,32.55,14.98,0.05
TRANSPORT-LINK_ALARM-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,65.87,6.35,0.05
TRANSPORT-LINK_ALARM-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,37.13,14.15,0.05
TRANSPORT-LINK_ALARM-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,32.17,14.48,0.05
TRANSPORT-LINK_ALARM-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,42.62,9.24,0.05
TRANSPORT-LINK_ALARM-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,56.28,8.23,0.05
