link_id,from_station_id,to_station_id,province_code,date_hour,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct,availability_pct,link_type,vendor,status
LINK01,ST0101,ST0102,DBN,2026-08-18-00,1000,34.9,7.07,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-00,1000,35.76,9.55,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-00,1000,39.23,8.31,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-00,1000,46.59,9.16,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-00,1000,45.23,3.87,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-00,1000,33.96,6.51,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-00,1000,31.49,3.59,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-00,1000,37.42,9.2,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-00,1000,64.54,2.8,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-00,1000,33.25,4.82,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-00,1000,41.33,6.15,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-00,1000,33.6,5.74,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-01,1000,63.69,6.93,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-01,1000,36.71,5.55,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-01,1000,25.77,3.35,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-01,1000,56.13,6.63,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-01,1000,51.22,3.58,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-01,1000,58.01,5.42,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-01,1000,30.31,3.29,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-01,1000,35.38,9.32,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-01,1000,47.37,7.04,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-01,1000,57.76,2.59,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-01,1000,47.8,4.55,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-01,1000,38.87,8.66,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-02,1000,27.9,3.7,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-02,1000,37.3,8.13,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-02,1000,61.63,4.17,0.05,99.9,fiber,zte,up
