microwave_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-MICROWAVE_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,80.4,index,valid,synthetic_transport,1000,67.51,9.09,0.05
TRANSPORT-MICROWAVE_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,55.55,index,valid,synthetic_transport,1000,27.87,9.59,0.05
TRANSPORT-MICROWAVE_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,61.18,index,valid,synthetic_transport,1000,28.45,8.33,0.05
TRANSPORT-MICROWAVE_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,57.1,index,valid,synthetic_transport,1000,51.82,6.02,0.05
TRANSPORT-MICROWAVE_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,56.34,index,valid,synthetic_transport,1000,48.34,5.83,0.05
TRANSPORT-MICROWAVE_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,72.46,index,valid,synthetic_transport,1000,51.57,5.07,0.05
TRANSPORT-MICROWAVE_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,52.0,index,valid,synthetic_transport,1000,67.51,7.32,0.05
TRANSPORT-MICROWAVE_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,16.66,index,valid,synthetic_transport,1000,43.69,14.76,0.05
TRANSPORT-MICROWAVE_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,52.95,index,valid,synthetic_transport,1000,73.66,13.51,0.05
TRANSPORT-MICROWAVE_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,52.01,index,valid,synthetic_transport,1000,25.56,4.46,0.05
TRANSPORT-MICROWAVE_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,62.95,index,valid,synthetic_transport,1000,72.28,7.28,0.05
