mpls_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-MPLS_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,31.03,index,valid,synthetic_transport,1000,74.65,12.18,0.05
TRANSPORT-MPLS_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,22.41,index,valid,synthetic_transport,1000,44.47,10.51,0.05
TRANSPORT-MPLS_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,31.14,index,valid,synthetic_transport,1000,30.42,11.46,0.05
TRANSPORT-MPLS_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,57.6,index,valid,synthetic_transport,1000,47.02,4.51,0.05
TRANSPORT-MPLS_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,50.4,index,valid,synthetic_transport,1000,67.33,3.53,0.05
TRANSPORT-MPLS_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,59.19,index,valid,synthetic_transport,1000,48.96,6.03,0.05
TRANSPORT-MPLS_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,45.55,index,valid,synthetic_transport,1000,52.61,12.24,0.05
TRANSPORT-MPLS_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,28.09,index,valid,synthetic_transport,1000,62.07,7.02,0.05
TRANSPORT-MPLS_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,58.25,index,valid,synthetic_transport,1000,51.21,10.66,0.05
TRANSPORT-MPLS_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,51.01,index,valid,synthetic_transport,1000,62.45,9.19,0.05
TRANSPORT-MPLS_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,78.3,index,valid,synthetic_transport,1000,29.07,9.15,0.05
TRANSPORT-MPLS_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,24.87,index,valid,synthetic_transport,1000,53.79,12.6,0.05
TRANSPORT-MPLS_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,71.6,index,valid,synthetic_transport,1000,69.2,11.26,0.05
