optical_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-OPTICAL_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,37.13,index,valid,synthetic_transport,1000,68.36,7.14,0.05
TRANSPORT-OPTICAL_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,34.33,index,valid,synthetic_transport,1000,31.6,7.38,0.05
TRANSPORT-OPTICAL_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,69.53,index,valid,synthetic_transport,1000,71.06,4.4,0.05
TRANSPORT-OPTICAL_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,15.3,index,valid,synthetic_transport,1000,57.47,14.97,0.05
TRANSPORT-OPTICAL_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,70.54,index,valid,synthetic_transport,1000,74.49,2.66,0.05
TRANSPORT-OPTICAL_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,38.98,index,valid,synthetic_transport,1000,71.54,5.3,0.05
TRANSPORT-OPTICAL_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,75.97,index,valid,synthetic_transport,1000,41.4,9.1,0.05
TRANSPORT-OPTICAL_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,31.21,index,valid,synthetic_transport,1000,68.83,9.28,0.05
TRANSPORT-OPTICAL_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,60.78,index,valid,synthetic_transport,1000,55.19,4.23,0.05
TRANSPORT-OPTICAL_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,18.52,index,valid,synthetic_transport,1000,57.42,8.28,0.05
TRANSPORT-OPTICAL_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,70.27,index,valid,synthetic_transport,1000,35.53,7.7,0.05
TRANSPORT-OPTICAL_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,54.74,index,valid,synthetic_transport,1000,66.54,6.47,0.05
TRANSPORT-OPTICAL_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,35.64,index,valid,synthetic_transport,1000,70.41,3.3,0.05
TRANSPORT-OPTICAL_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,29.65,index,valid,synthetic_transport,1000,35.39,6.95,0.05
TRANSPORT-OPTICAL_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,64.19,index,valid,synthetic_transport,1000,27.0,14.07,0.05
TRANSPORT-OPTICAL_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,25.04,index,valid,synthetic_transport,1000,42.4,3.13,0.05
TRANSPORT-OPTICAL_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,81.64,index,valid,synthetic_transport,1000,42.38,8.88,0.05
TRANSPORT-OPTICAL_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,59.99,index,valid,synthetic_transport,1000,71.46,2.72,0.05
TRANSPORT-OPTICAL_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,40.16,index,valid,synthetic_transport,1000,38.91,6.93,0.05
TRANSPORT-OPTICAL_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,69.11,index,valid,synthetic_transport,1000,55.19,5.62,0.05
TRANSPORT-OPTICAL_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,68.87,index,valid,synthetic_transport,1000,39.82,10.75,0.05
TRANSPORT-OPTICAL_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,49.89,index,valid,synthetic_transport,1000,48.48,11.19,0.05
TRANSPORT-OPTICAL_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,17.48,index,valid,synthetic_transport,1000,57.11,13.17,0.05
TRANSPORT-OPTICAL_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,20.52,index,valid,synthetic_transport,1000,57.03,13.94,0.05
TRANSPORT-OPTICAL_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,80.72,index,valid,synthetic_transport,1000,30.24,3.31,0.05
TRANSPORT-OPTICAL_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,16.22,index,valid,synthetic_transport,1000,74.51,2.21,0.05
TRANSPORT-OPTICAL_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,34.04,index,valid,synthetic_transport,1000,72.2,2.81,0.05
TRANSPORT-OPTICAL_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,54.34,index,degraded,synthetic_transport,1000,46.61,36.11,2.5
TRANSPORT-OPTICAL_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,30.89,index,valid,synthetic_transport,1000,61.85,7.09,0.05
TRANSPORT-OPTICAL_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,81.77,index,valid,synthetic_transport,1000,25.8,13.98,0.05
TRANSPORT-OPTICAL_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,26.7,index,valid,synthetic_transport,1000,43.82,10.75,0.05
TRANSPORT-OPTICAL_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,57.66,index,valid,synthetic_transport,1000,68.47,12.08,0.05
TRANSPORT-OPTICAL_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,22.24,index,valid,synthetic_transport,1000,69.21,3.28,0.05
TRANSPORT-OPTICAL_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,80.17,index,valid,synthetic_transport,1000,56.55,10.66,0.05
TRANSPORT-OPTICAL_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,30.43,index,valid,synthetic_transport,1000,54.32,6.16,0.05
TRANSPORT-OPTICAL_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,48.33,index,valid,synthetic_transport,1000,54.77,2.29,0.05
TRANSPORT-OPTICAL_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,40.97,index,valid,synthetic_transport,1000,71.69,2.58,0.05
TRANSPORT-OPTICAL_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,61.72,index,valid,synthetic_transport,1000,58.3,5.91,0.05
TRANSPORT-OPTICAL_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,19.19,index,valid,synthetic_transport,1000,43.54,7.6,0.05
TRANSPORT-OPTICAL_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,22.57,index,valid,synthetic_transport,1000,69.73,3.93,0.05
TRANSPORT-OPTICAL_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,82.97,index,valid,synthetic_transport,1000,40.66,9.88,0.05
TRANSPORT-OPTICAL_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,22.02,index,valid,synthetic_transport,1000,67.51,7.33,0.05
TRANSPORT-OPTICAL_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,27.43,index,valid,synthetic_transport,1000,72.64,14.52,0.05
TRANSPORT-OPTICAL_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,17.85,index,valid,synthetic_transport,1000,38.17,14.06,0.05
TRANSPORT-OPTICAL_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,39.19,index,valid,synthetic_transport,1000,63.56,12.77,0.05
TRANSPORT-OPTICAL_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,37.96,index,valid,synthetic_transport,1000,34.67,9.07,0.05
TRANSPORT-OPTICAL_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,55.2,index,valid,synthetic_transport,1000,62.54,5.64,0.05
TRANSPORT-OPTICAL_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,45.63,index,valid,synthetic_transport,1000,38.46,13.26,0.05
TRANSPORT-OPTICAL_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,40.19,index,valid,synthetic_transport,1000,35.76,10.7,0.05
TRANSPORT-OPTICAL_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,23.54,index,valid,synthetic_transport,1000,44.21,3.17,0.05
TRANSPORT-OPTICAL_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,68.41,index,valid,synthetic_transport,1000,71.7,7.47,0.05
TRANSPORT-OPTICAL_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,69.12,index,valid,synthetic_transport,1000,57.94,2.02,0.05
TRANSPORT-OPTICAL_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,64.81,index,valid,synthetic_transport,1000,70.59,11.29,0.05
TRANSPORT-OPTICAL_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,83.33,index,valid,synthetic_transport,1000,43.26,2.48,0.05
TRANSPORT-OPTICAL_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,57.21,index,valid,synthetic_transport,1000,27.13,9.66,0.05
TRANSPORT-OPTICAL_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,39.12,index,valid,synthetic_transport,1000,28.19,9.33,0.05
TRANSPORT-OPTICAL_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,31.19,index,valid,synthetic_transport,1000,25.23,12.55,0.05
