path_reroute_event_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-PATH_REROUTE_EVENT-00-00,ST0101,DBN,KV1,active,2026-08-18 00:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,33.64,5.65,0.05
TRANSPORT-PATH_REROUTE_EVENT-00-09,ST0101,DBN,KV1,active,2026-08-18 09:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,34.56,8.25,0.05
TRANSPORT-PATH_REROUTE_EVENT-00-18,ST0101,DBN,KV1,active,2026-08-18 18:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,30.46,11.2,0.05
TRANSPORT-PATH_REROUTE_EVENT-00-27,ST0101,DBN,KV1,degraded,2026-08-19 03:00:00,PATH_REROUTE_EVENT,major,failed,3600,synthetic_transport,1000,38.77,39.25,2.5
TRANSPORT-PATH_REROUTE_EVENT-00-36,ST0101,DBN,KV1,active,2026-08-19 12:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,55.26,3.31,0.05
TRANSPORT-PATH_REROUTE_EVENT-00-45,ST0101,DBN,KV1,active,2026-08-19 21:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,57.98,11.66,0.05
TRANSPORT-PATH_REROUTE_EVENT-00-54,ST0101,DBN,KV1,active,2026-08-20 06:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,25.44,5.0,0.05
TRANSPORT-PATH_REROUTE_EVENT-00-63,ST0101,DBN,KV1,active,2026-08-20 15:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,26.64,6.98,0.05
TRANSPORT-PATH_REROUTE_EVENT-01-00,ST0202,SLA,KV1,active,2026-08-18 00:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,37.99,3.76,0.05
TRANSPORT-PATH_REROUTE_EVENT-01-09,ST0202,SLA,KV1,active,2026-08-18 09:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,63.11,8.98,0.05
