port_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-PORT_HOURLY-00-00,ST0101,DBN,KV1,active,2026-08-18-00,2026-08-18 00:00:00,82.72,index,valid,synthetic_transport,1000,70.23,2.61,0.05
TRANSPORT-PORT_HOURLY-00-01,ST0101,DBN,KV1,active,2026-08-18-01,2026-08-18 01:00:00,49.87,index,valid,synthetic_transport,1000,44.66,11.13,0.05
TRANSPORT-PORT_HOURLY-00-02,ST0101,DBN,KV1,active,2026-08-18-02,2026-08-18 02:00:00,43.24,index,valid,synthetic_transport,1000,39.18,6.51,0.05
TRANSPORT-PORT_HOURLY-00-03,ST0101,DBN,KV1,active,2026-08-18-03,2026-08-18 03:00:00,68.52,index,valid,synthetic_transport,1000,45.92,12.58,0.05
TRANSPORT-PORT_HOURLY-00-04,ST0101,DBN,KV1,active,2026-08-18-04,2026-08-18 04:00:00,71.6,index,valid,synthetic_transport,1000,53.05,5.61,0.05
TRANSPORT-PORT_HOURLY-00-05,ST0101,DBN,KV1,active,2026-08-18-05,2026-08-18 05:00:00,46.39,index,valid,synthetic_transport,1000,73.71,4.44,0.05
TRANSPORT-PORT_HOURLY-00-06,ST0101,DBN,KV1,active,2026-08-18-06,2026-08-18 06:00:00,47.49,index,valid,synthetic_transport,1000,42.76,3.92,0.05
TRANSPORT-PORT_HOURLY-00-07,ST0101,DBN,KV1,active,2026-08-18-07,2026-08-18 07:00:00,31.0,index,valid,synthetic_transport,1000,43.89,6.06,0.05
TRANSPORT-PORT_HOURLY-00-08,ST0101,DBN,KV1,active,2026-08-18-08,2026-08-18 08:00:00,82.63,index,valid,synthetic_transport,1000,46.86,14.68,0.05
TRANSPORT-PORT_HOURLY-00-09,ST0101,DBN,KV1,active,2026-08-18-09,2026-08-18 09:00:00,70.76,index,valid,synthetic_transport,1000,51.63,8.0,0.05
TRANSPORT-PORT_HOURLY-00-10,ST0101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,82.81,index,valid,synthetic_transport,1000,64.3,4.89,0.05
TRANSPORT-PORT_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,34.69,index,valid,synthetic_transport,1000,68.98,10.43,0.05
TRANSPORT-PORT_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,74.4,index,valid,synthetic_transport,1000,37.92,14.3,0.05
TRANSPORT-PORT_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,36.31,index,valid,synthetic_transport,1000,60.53,5.66,0.05
TRANSPORT-PORT_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,28.88,index,valid,synthetic_transport,1000,66.84,10.8,0.05
TRANSPORT-PORT_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,53.84,index,valid,synthetic_transport,1000,33.77,11.2,0.05
TRANSPORT-PORT_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,19.09,index,valid,synthetic_transport,1000,40.54,13.69,0.05
TRANSPORT-PORT_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,68.36,index,valid,synthetic_transport,1000,39.96,8.31,0.05
TRANSPORT-PORT_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,72.01,index,valid,synthetic_transport,1000,64.01,14.43,0.05
TRANSPORT-PORT_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,22.25,index,valid,synthetic_transport,1000,33.87,10.75,0.05
TRANSPORT-PORT_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,44.0,index,valid,synthetic_transport,1000,27.15,14.91,0.05
TRANSPORT-PORT_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,31.49,index,valid,synthetic_transport,1000,65.36,8.35,0.05
TRANSPORT-PORT_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,58.58,index,valid,synthetic_transport,1000,64.53,2.08,0.05
